id;left;kwic;right;VNP?;doc.txtype_group
1;Ale/ale/J^------------- ne/ne/TT------------- jedinou/jediný/AAFS4----1A---- ,/,/Z:------------- stejnou/stejný/AAFS4----1A----;přízeň/přízeň/NNFS4-----A---- návštěvníci/návštěvník/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--;k/k/RR--3---------- experimentální/experimentální/AAFS3----1A---- tavbě/tavba/NNFS3-----A---- kovu/kov/NNIS2-----A---- ././Z:-------------;1;NMG: publicistika
2;Detektivními/detektivní/AAFP7----1A---- schopnostmi/schopnost/NNFP7-----A---- obdařil/obdařit/VpMS----R-AAP-- matematika/matematik/NNMS4-----A---- Miroslava/Miroslav/NNMS4-----A---- Nedbala/Nedbal/NNMS4-----A---- ,/,/Z:------------- tak/tak/Db------------- trochu/trochu/Db------------- životního/životní/AAMS4----1A---- ztracence/ztracenec/NNMS4-----A---- ,/,/Z:------------- marně/marně/Dg-------1A---- shánějícího/shánějící/AGMS4-----A---- byt/byt/NNIS4-----A---- a/a/J^------------- usilujícího/usilující/AGMS4-----A---- o/o/RR--4----------;přízeň/přízeň/NNFS4-----A---- krásné/krásný/AAFS2----1A---- studentky/studentka/NNFS2-----A---- Marcely/Marcela/NNFS2-----A---- Laskavé/Laskavá/NNFS2-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- příliš/příliš/Db------------- laskavě/laskavě/Dg-------1A---- nechová/chovat/VB-S---3P-NAI--;././Z:-------------;0;NMG: publicistika
3;Aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- monarchie/monarchie/NNFS1-----A---- zachovala/zachovat/VpFS----R-AAP--;přízeň/přízeň/NNFS4-----A---- ,/,/Z:------------- členové/člen/NNMP1-----A---- královské/královský/AAFS2----1A---- rodiny/rodina/NNFS2-----A---- se/se/P7--4---------- musejí/muset/VB-P---3P-AAI-- podle/podle/RR--2---------- toho/ten/PDNS2---------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
4;"„/""/Z:------------- Mám/mít/VB-S---1P-AAI-- radost/radost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- podle/podle/RR--2---------- dosavadních/dosavadní/AAIP2----1A---- výsledků/výsledek/NNIP2-----A---- si/se/P7--3---------- největší/velký/AAFS4----3A----";"přízeň/přízeň/NNFS4-----A---- návštěvníků/návštěvník/NNMP2-----A---- udržují/udržovat/VB-P---3P-AAI-- právě/právě/Db------------- slovácké/slovácký/AAFP1----1A---- klobásky/klobáska/NNFP1-----A---- a/a/J^------------- naplňují/naplňovat/VB-P---3P-AAI-- nám/my/PP-P3--1------- smysl/smysl/NNIS4-----A---- soutěže/soutěž/NNFS2-----A---- ,/,/Z:------------- kterým/který/P4IS7---------- je/být/VB-S---3P-AAI-- podpořit/podpořit/Vf--------A-P-- a/a/J^------------- uchovat/uchovat/Vf--------A-P-- tradiční/tradiční/AAFP4----1A---- moravské/moravský/AAFP4----1A---- receptury/receptura/NNFP4-----A---- této/tento/PDFS2---------- nezdravé/zdravý/AAFS2----1N---- pochutiny/pochutina/NNFS2-----A---- ,/,/Z:------------- “/""/Z:------------- libuje/libovat/VB-S---3P-AAI-- si/se/P7--3---------- Tonda/Tonda/NNMS1-----A---- Vrba/Vrba/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- doufá/doufat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- letos/letos/Db------------- budou/být/VB-P---3F-AAI-- návštěvníci/návštěvník/NNMP1-----A---- chovat/chovat/Vf--------A-I--";korektně/korektně/Dg-------1A---- a/a/J^------------- ne/ne/TT------------- hamižně/hamižně/Dg-------1A---- ,/,/Z:------------- jak/jak/Db------------- tomu/ten/PDNS3---------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- posledních/poslední/AANP6----1A---- letech/rok/NNNP6-----A---- ,/,/Z:------------- kdy/kdy/Db------------- si/se/P7--3---------- někteří/některý/PZMP1---------- neurvalci/neurvalec/NNMP1-----A---- cpali/cpát/VpMP----R-AAI-- klobásy/klobása/NNFP4-----A---- do/do/RR--2---------- tašky/taška/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
5;Jenže/jenže/J^------------- Klára/Klára/NNFS1-----A---- -/-/Z:------------- všude/všude/Db------------- ji/on/PPFS4--3------- ve/v/RV--6---------- společnosti/společnost/NNFS6-----A---- přijímali/přijímat/VpMP----R-AAI-- ,/,/Z:------------- prokazovali/prokazovat/VpMP----R-AAI-- jí/on/PPFS3--3------- všude/všude/Db-------------;přízeň/přízeň/NNFS4-----A---- -/-/Z:------------- skutečně/skutečně/TT------------- -/-/Z:------------- chovali/chovat/VpMP----R-AAI--;se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- -/-/Z:------------- zkrátka/zkrátka/TT------------- mohla/moci/VpFS----R-AAI-- si/se/P7--3---------- snadno/snadno/Dg-------1A---- udělat/udělat/Vf--------A-P-- pozici/pozice/NNFS4-----A---- ,/,/Z:------------- chápeš/chápat/VB-S---2P-AAI-- -/-/Z:------------- jenže/jenže/J^------------- Klára/Klára/NNFS1-----A---- ,/,/Z:------------- jednoho/jeden/ClIS2---------- dne/den/NNIS2-----A---- -/-/Z:------------- sotva/sotva/Db------------- dva/dva/ClIP4---------- roky/rok/NNIP4-----A---- po/po/RR--6---------- svatbě/svatba/NNFS6-----A---- :/:/Z:------------- zčistajasna/zčistajasna/Db------------- je/být/VB-S---3P-AAI-- prostě/prostě/TT------------- pryč/pryč/Db------------- ././Z:-------------;0;FIC: beletrie
6;Ne/ne/TT------------- ,/,/Z:------------- takovou/takový/PDFS4----------;přízeň/přízeň/NNFS4-----A---- ke/k/RV--3---------- mně/já/PP-S3--1------- žádná/žádný/PWFS1---------- nechovala/chovat/VpFS----R-NAI--;././Z:-------------;1;FIC: beletrie
7;Vždyť/vždyť/J^------------- panstvu/panstvo/NNNS3-----A---- u/u/RR--2---------- dvora/dvůr/NNIS2-----A---- ,/,/Z:------------- které/který/P4NS1---------- nezřídka/zřídka/Dg-------1N---- věnuje/věnovat/VB-S---3P-AAB--;přízeň/přízeň/NNFS4-----A---- pochlebníkům/pochlebník/NNMP3-----A---- a/a/J^------------- chová/chovat/VB-S---3P-AAI--;v/v/RR--6---------- úctě/úcta/NNFS6-----A---- licoměrníky/licoměrník/NNMP4-----A---- ,/,/Z:------------- není/být/VB-S---3P-NAI-- zatěžko/zatěžko/Db------------- namluvit/namluvit/Vf--------A-P-- lež/lež/NNFS4-----A---- ././Z:-------------;0;FIC: beletrie
8;"„/""/Z:------------- Děkujeme/děkovat/VB-P---1P-AAI-- čtenářům/čtenář/NNMP3-----A---- za/za/RR--4---------- obrovskou/obrovský/AAFS4----1A----";přízeň/přízeň/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- této/tento/PDFS3---------- anketě/anketa/NNFS3-----A---- chovají/chovat/VB-P---3P-AAI--;././Z:-------------;3;NMG: publicistika
9;Opětuji/opětovat/VB-S---1P-AAI-1 Tvůj/tvůj/PSIS4-S2------- pozdrav/pozdrav/NNIS4-----A---- a/a/J^------------- děkuji/děkovat/VB-S---1P-AAI-1 za/za/RR--4----------;přízeň/přízeň/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chováš/chovat/VB-S---2P-AAI--;k/k/RR--3---------- mému/můj/PSNS3-S1------- snažení/snažení/NNNS3-----A---- sochařskému/sochařský/AANS3----1A---- ././Z:-------------;3;NFC: oborová literatura
10;Monika/Monika/NNFS1-----A---- Dvorská/Dvorská/NNFS1-----A---- a/a/J^------------- Marcel/Marcel/NNMS1-----A---- Müller/Müller/NNMS1-----A---- Novomanželům/novomanžel/NNMP3-----A---- Müllerovým/Müllerův/AUIS7M--------- srdečně/srdečně/Dg-------1A---- gratulujeme/gratulovat/VB-P---1P-AAI-- a/a/J^------------- zároveň/zároveň/Db------------- děkujeme/děkovat/VB-P---1P-AAI-- za/za/RR--4----------;přízeň/přízeň/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chováte/chovat/VB-P---2P-AAI--;k/k/RR--3---------- našemu/náš/PSIS3-P1------- časopisu/časopis/NNIS3-----A---- ././Z:-------------;3;NFC: oborová literatura
