id;left;kwic;right;VNP?;doc.txtype_group
1;A/a/J^------------- protože/protože/J,------------- i/i/J^------------- kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- zákazník/zákazník/NNMS1-----A---- očividně/očividně/Dg-------1A---- mýlil/mýlit/VpMS----R-AAI-- ,/,/Z:------------- obsluha/obsluha/NNFS1-----A---- mu/on/PHMS3--3------- to/ten/PDNS4---------- nesmí/smět/VB-S---3P-NAI-- dát/dát/Vf--------A-P-- najevo/najevo/Db------------- a/a/J^------------- musí/muset/VB-S---3P-AAI-- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3-------;chovat/chovat/Vf--------A-I-- zdvořile/zdvořile/Dg-------1A---- a/a/J^------------- s/s/RR--7---------- úctou/úcta/NNFS7-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- udržela/udržet/VpFS----R-AAP-- jeho/jeho/PSFS4-S3------- přízeň/přízeň/NNFS4-----A----;././Z:-------------;0;NMG: publicistika
2;Pornostar/pornostar/NNFS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8MP3---------- fanouškům/fanoušek/NNMP3-----A----;chovala/chovat/VpFS----R-AAI-- velmi/velmi/Db------------- přátelsky/přátelsky/Dg-------1A---- ,/,/Z:------------- děkovala/děkovat/VpFS----R-AAI-- jim/oni/PPMP3--3------- za/za/RR--4---------- přízeň/přízeň/NNFS4-----A----;a/a/J^------------- rozdávala/rozdávat/VpFS----R-AAI-- úsměvy/úsměv/NNIP4-----A---- ././Z:-------------;0;NMG: publicistika
3;Generální/generální/AAMS1----1A---- manažer/manažer/NNMS1-----A---- Letců/letec/NNMP2-----A---- Bob/Bob/NNMS1-----A---- Clarke/Clarke/NNMS1-----A---- v/v/RR--6---------- poslední/poslední/AAFS6----1A---- sezonách/sezóna/NNFP6-----A---- překvapoval/překvapovat/VpMS----R-AAI-- svými/svůj/P8IP7---------- tahy/tah/NNIP7-----A---- v/v/RR--6---------- kádru/kádr/NNIS6-----A---- a/a/J^------------- navíc/navíc/Db------------- nikdy/nikdy/Db-------------;nechoval/chovat/VpMS----R-NAI-- k/k/RR--3---------- Evropanům/Evropan/NNMP3-----A---- přehnanou/přehnaný/AAFS4----1A---- přízeň/přízeň/NNFS4-----A----;,/,/Z:------------- o/o/RR--4---------- to/ten/PDNS4---------- více/hodně/Dg-------2A---- překvapilo/překvapit/VpNS----R-AAP-- ,/,/Z:------------- že/že/J,------------- si/se/P7--3---------- v/v/RR--6---------- létě/léto/NNNS6-----A---- na/na/RR--6---------- starém/starý/AAIS6----1A---- kontinentu/kontinent/NNIS6-----A---1 vybral/vybrat/VpMS----R-AAP-- zajímavé/zajímavý/AAFP4----1A---- posily/posila/NNFP4-----A---- ././Z:-------------;1;NMG: publicistika
4;K/k/RR--3---------- někomu/někdo/PZM-3----------;chováme/chovat/VB-P---1P-AAI-- přízeň/přízeň/NNFS4-----A----;okamžitě/okamžitě/Dg-------1A---- ,/,/Z:------------- jiný/jiný/AAMS1----1A---- nám/my/PP-P3--1------- pije/pít/VB-S---3P-AAI-- krev/krev/NNFS4-----A---- ././Z:-------------;1;NMG: publicistika
5;Oznámil/oznámit/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- sestrám/sestra/NNFP3-----A---- svůj/svůj/P8IS4---------- odchod/odchod/NNIS4-----A---- ,/,/Z:------------- ani/ani/J^------------- jedna/jeden/ClFS1---------- ke/k/RV--3---------- mně/já/PP-S3--1-------;nechovala/chovat/VpFS----R-NAI-- přízeň/přízeň/NNFS4-----A----;a/a/J^------------- na/na/RR--4---------- nějaké/nějaký/PZNS4---------- dojemné/dojemný/AANS4----1A---- divadýlko/divadélko/NNNS4-----A---- jsem/být/VB-S---1P-AAI-- nebyl/být/VpMS----R-NAI-- zvědavý/zvědavý/AAMS1----1A---- ././Z:-------------;1;FIC: beletrie
6;Věda/věda/NNFS1-----A---- se/se/P7--4---------- někdy/někdy/Db-------------;chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- žena/žena/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- odpírá/odpírat/VB-S---3P-AAI-- svoji/svůj/P8FS4---------- přízeň/přízeň/NNFS4-----A----;dvořícímu/dvořící/AGMS3-----A---- se/se/P7--4---------- nápadníkovi/nápadník/NNMS3-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- užuž/užuž/Db------------- vzdává/vzdávat/VB-S---3P-AAI-- veškeré/veškerý/PLFS2---------- naděje/naděje/NNFS2-----A---- ,/,/Z:------------- pomyslel/pomyslet/VpMS----R-AAP-- si/se/P7--3---------- pobaveně/pobaveně/Dg-------1A---- ././Z:-------------;0;FIC: beletrie
7;To/ten/PDNS1---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------;chovala/chovat/VpFS----R-AAI-- ke/k/RV--3---------- strýcovi/strýc/NNMS3-----A---1 ,/,/Z:------------- považovala/považovat/VpFS----R-AAI-- za/za/RR--4---------- prostopášnost/prostopášnost/NNFS4-----A---- a/a/J^------------- záviděla/závidět/VpFS----R-AAI-- jí/on/PPFS3--3------- jeho/jeho/PSFS4-S3------- přízeň/přízeň/NNFS4-----A----;,/,/Z:------------- neboť/neboť/J^------------- on/on/PPMS1--3------- jí/on/PPFS3--3------- buď/buď/J^------------- daroval/darovat/VpMS----R-AAB-- nebo/nebo/J^------------- jí/on/PPFS3--3------- dovolil/dovolit/VpMS----R-AAP-- sebrat/sebrat/Vf--------A-P-- různé/různý/AAIP4----1A---- šperky/šperk/NNIP4-----A---- po/po/RR--6---------- nebožce/nebožka/NNFS6-----A---- ženě/žena/NNFS6-----A---- ,/,/Z:------------- a/a/J^------------- nadto/nadto/Db------------- ji/on/PPFS4--3------- obdaroval/obdarovat/VpMS----R-AAP-- zvláštním/zvláštní/AANS7----1A---- věnem/věno/NNNS7-----A---- ,/,/Z:------------- což/co/PE--1---------- už/už/Db------------- se/se/P7--4---------- babičce/babička/NNFS3-----A---- zdálo/zdát/VpNS----R-AAI-- přílišné/přílišný/AANS1----1A---- ././Z:-------------;0;FIC: beletrie
8;Vlk/vlk/NNMS1-----A---- se/se/P7--4----------;chová/chovat/VB-S---3P-AAI-- člověku/člověk/NNMS3-----A---- chladně/chladně/Dg-------1A---- a/a/J^------------- třeba/třeba/TT------------- k/k/RR--3---------- chovateli/chovatel/NNMS3-----A---- Viktoru/Viktor/NNMS3-----A---1 Ambrožovi/Ambrož/NNMS3-----A---1 se/se/P7--4---------- přijde/přijít/VB-S---3P-AAP-- často/často/Dg-------1A---- tulit/tulit/Vf--------A-I-- statný/statný/AAMS1----1A---- lev/lev/NNMS1-----A---- ,/,/Z:------------- o/o/RR--6---------- pohlazení/pohlazení/NNNS6-----A---- a/a/J^------------- podrbání/podrbání/NNNS6-----A---- si/se/P7--3---------- řekne/říci/VB-S---3P-AAP-- i/i/J^------------- lvice/lvice/NNFS1-----A---- ,/,/Z:------------- ale/ale/J^------------- vlk/vlk/NNMS1-----A---- o/o/RR--4---------- takovou/takový/PDFS4---------- přízeň/přízeň/NNFS4-----A----;nestojí/stát/VB-S---3P-NAI-- ././Z:-------------;0;NMG: publicistika
9;Gentleman/gentleman/NNMS1-----A---- by/být/Vc----------I-- se/se/P7--4----------;nechoval/chovat/VpMS----R-NAI-- k/k/RR--3---------- dámě/dáma/NNFS3-----A---- tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- Anthony/Anthony/NNMS1-----A---- ke/k/RV--3---------- Kate/Kate/NNFS3-----A---- Sheffieldové/Sheffieldová/NNFS3-----A---- ,/,/Z:------------- a/a/J^------------- tudíž/tudíž/J^------------- nemohl/moci/VpMS----R-NAI-- předpokládat/předpokládat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- mu/on/PHMS3--3------- bude/být/VB-S---3F-AAI-- projevovat/projevovat/Vf--------A-I-- přízeň/přízeň/NNFS4-----A----;././Z:-------------;0;FIC: beletrie
10;V/v/RR--6---------- poslední/poslední/AAFS6----1A---- době/doba/NNFS6-----A---- se/se/P7--4----------;choval/chovat/VpMS----R-AAI-- odtažitě/odtažitě/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- ona/on/PPFS1--3------- přesto/přesto/Db------------- toužila/toužit/VpFS----R-AAI-- po/po/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- jí/on/PPFS3--3------- dával/dávat/VpMS----R-AAI-- najevo/najevo/Db------------- přízeň/přízeň/NNFS4-----A----;././Z:-------------;0;FIC: beletrie
