id;left;kwic;right;VNP?;doc.txtype_group
1;Velký/velký/AAIS4----1A----;"respekt/respekt/NNIS4-----A---- mám/mít/VB-S---1P-AAI-- také/také/Db------------- z/z/RR--2---------- proudů/proud/NNIP2-----A---- ,/,/Z:------------- ty/ten/PDIP1---------- ale/ale/J^------------- u/u/RR--2---------- nás/my/PP-P2--1------- naštěstí/naštěstí/Db------------- moc/moc/Db------------- nejsou/být/VB-P---3P-NAI-- ,/,/Z:------------- “/""/Z:------------- říká/říkat/VB-S---3P-AAI-- Alena/Alena/NNFS1-----A---- Voráčková/Voráčková/NNFS1-----A---- a/a/J^------------- dodává/dodávat/VB-S---3P-AAI-- :/:/Z:------------- „/""/Z:------------- Potápěč/potápěč/NNMS1-----A---- je/být/VB-S---3P-AAI-- zkrátka/zkrátka/TT------------- pod/pod/RR--7---------- vodou/voda/NNFS7-----A---- pouze/pouze/Db------------- na/na/RR--6---------- krátké/krátký/AAFS6----1A---- návštěvě/návštěva/NNFS6-----A---- a/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- by/být/Vc----------I-- se/se/P7--4---------- měl/mít/VpMS----R-AAI-- chovat/chovat/Vf--------A-I--";././Z:-------------;0;NMG: publicistika
2;Kanaďan/Kanaďan/NNMS1-----A---- ocení/ocenit/VB-S---3P-AAP-- věcnost/věcnost/NNFS4-----A---- a/a/J^------------- stručnost/stručnost/NNFS4-----A---- ,/,/Z:------------- má/mít/VB-S---3P-AAI-- malý/malý/AAIS4----1A----;respekt/respekt/NNIS4-----A---- k/k/RR--3---------- titulům/titul/NNIP3-----A---- ,/,/Z:------------- hodnota/hodnota/NNFS1-----A---- jedince/jedinec/NNMS2-----A---- je/být/VB-S---3P-AAI-- stanovena/stanovit/VsFS------APP-- tím/ten/PDNS7---------- ,/,/Z:------------- co/co/PQ--4---------- dělá/dělat/VB-S---3P-AAI-- a/a/J^------------- jak/jak/Db------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--;,/,/Z:------------- ne/ne/TT------------- titulem/titul/NNIS7-----A---- ././Z0------------- 6/6/C=------------- ././Z:-------------;0;NFC: oborová literatura
3;Řekl/říci/VpMS----R-AAP-- bych/být/Vc-S---1----I-- ,/,/Z:------------- že/že/J,------------- devadesát/devadesát/Cn-S1---------- pět/pět/Cn-S1---------- procent/procento/NNNP2-----A---- veřejnosti/veřejnost/NNFS2-----A---- ten/ten/PDIS1----------;respekt/respekt/NNIS4-----A---- z/z/RR--2---------- policie/policie/NNFS2-----A---- má/mít/VB-S---3P-AAI-- ,/,/Z:------------- zbytek/zbytek/NNIS1-----A---- se/se/P7--4---------- prostě/prostě/TT------------- chová/chovat/VB-S---3P-AAI--;jinak/jinak/Db------------- ,/,/Z:------------- ať/ať/J,------------- už/už/Db------------- na/na/RR--6---------- cestě/cesta/NNFS6-----A---- nebo/nebo/J^------------- jinde/jinde/Db------------- ././Z:-------------;0;NMG: publicistika
4;Chci/chtít/VB-S---1P-AAI-- prezidenta/prezident/NNMS4-----A---- ,/,/Z:------------- který/který/P4MS1---------- má/mít/VB-S---3P-AAI--;respekt/respekt/NNIS4-----A---- ostatních/ostatní/AAMP2----1A---- a/a/J^------------- chová/chovat/VB-S---3P-AAI--;se/se/P7--4---------- důstojně/důstojně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
5;Vybojovali/vybojovat/VpMP----R-AAP-- si/se/P7--3---------- úctu/úcta/NNFS4-----A---- a/a/J^-------------;respekt/respekt/NNIS4-----A---- protivníka/protivník/NNMS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- podle/podle/RR--2---------- toho/ten/PDNS2---------- také/také/Db------------- choval/chovat/VpMS----R-AAI--;././Z:-------------;0;FIC: beletrie
6;Podívej/podívat/Vi-S---2--A-P-- se/se/P7--4---------- na/na/RR--4---------- úctu/úcta/NNFS4-----A---- a/a/J^-------------;respekt/respekt/NNIS4-----A---- ,/,/Z:------------- které/který/P4IP1---------- chovají/chovat/VB-P---3P-AAI--;ke/k/RV--3---------- svým/svůj/P8FP3---------- manželkám/manželka/NNFP3-----A---- a/a/J^------------- dětem/dítě/NNFP3-----A---- ././Z:-------------;3;FIC: beletrie
7;Ostatně/ostatně/TT------------- a/a/J^------------- posledně/posledně/Dg-------1A---- mou/můj/PSFS4-S1------1 manželku/manželka/NNFS4-----A---- jako/jako/J,------------- i/i/J^------------- pánův/pánův/AUIS4M--------- poručníkův/poručníkův/AUIS4M--------- snažně/snažně/Dg-------1A---- žádám/žádat/VB-S---1P-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mé/můj/PSFP4-S1------1 děti/dítě/NNFP4-----A---- ona/on/PPFS1--3------- ve/v/RV--6---------- věci/věc/NNFS6-----A---- kázně/kázeň/NNFS2-----A---- k/k/RR--3---------- dobrému/dobrý/AANS3----1A---- v/v/RR--6---------- pobožnosti/pobožnost/NNFS6-----A---- vedla/vést/VpFS----R-AAI-- ,/,/Z:------------- jim/oni/PPFP3--3------- v/v/RR--6---------- ničem/nic/PW--6---------- neubližovala/ubližovat/VpFS----R-NAI-- a/a/J^------------- s/s/RR--7---------- nimi/oni/P5FP7--3------- mateřsky/mateřsky/Dg-------1A---- zacházela/zacházet/VpFS----R-AAI-- ,/,/Z:------------- ony/onen/PDFP1---------- pak/pak/Db------------- děti/dítě/NNFP1-----A---- mé/můj/PSFP1-S1------1 budou/být/VB-P---3F-AAI-- naproti/naproti/RR--3---------- tomu/ten/PDNS3---------- povinny/povinný/ACFP------A---- jí/on/PPFS3--3------- všelikou/všeliký/PZFS4---------- uctivost/uctivost/NNFS4-----A---- ,/,/Z:------------- bázeň/bázeň/NNFS4-----A---- ,/,/Z:-------------;respekt/respekt/NNIS4-----A---- a/a/J^------------- poslušnost/poslušnost/NNFS4-----A---- prokazovati/prokazovat/Vf--------A-I-2 ,/,/Z:------------- k/k/RR--3---------- ní/on/P5FS3--3------- se/se/P7--4---------- věrně/věrně/Dg-------1A---- chovati/chovat/Vf--------A-I-2;a/a/J^------------- žádných/žádný/PWFP2---------- protivností/protivnost/NNFP2-----A---- jí/on/PPFS3--3------- nečiniti/činit/Vf--------N-I-2 ,/,/Z:------------- nýbrž/nýbrž/J^------------- ve/v/RV--6---------- všem/všechen/PLNS6---------- dobrém/dobrý/AANS6----1A---- ochotně/ochotně/Dg-------1A---- poslouchati/poslouchat/Vf--------A-I-2 pod/pod/RR--7---------- uvarováním/uvarování/NNNS7-----A---- hněvu/hněv/NNIS2-----A---- a/a/J^------------- trestu/trest/NNIS2-----A---- Božího/boží/AAIS2----1A---- ././Z:-------------;0;FIC: beletrie
8;Možná/možná/TT------------- si/se/P7--3---------- svůj/svůj/P8IS4---------- vztah/vztah/NNIS4-----A---- s/s/RR--7---------- prarodiči/prarodič/NNMP7-----A---- pamatujete/pamatovat/VB-P---2P-AAI-- docela/docela/Db------------- jinak/jinak/Db------------- :/:/Z:------------- měli/mít/VpMP----R-AAI-- jste/být/VB-P---2P-AAI-- před/před/RR--7---------- nimi/oni/P5MP7--3------- obrovský/obrovský/AAIS4----1A----;respekt/respekt/NNIS4-----A---- ,/,/Z:------------- chovali/chovat/VpMP----R-AAI--;jste/být/VB-P---2P-AAI-- se/se/P7--4---------- slušně/slušně/Dg-------1A---- a/a/J^------------- o/o/RR--6---------- nějakém/nějaký/PZNS6---------- odmlouvání/odmlouvání/NNNS6-----A---- nebo/nebo/J^------------- kamarádíčkování/kamarádíčkování/NNNS6-----A---- nemohlo/moci/VpNS----R-NAI-- být/být/Vf--------A-I-- řeči/řeč/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
9;Ohrozil/ohrozit/VpMS----R-AAP-- bych/být/Vc-S---1----I-- svůj/svůj/P8IS4---------- mistrovský/mistrovský/AAIS4----1A---- titul/titul/NNIS4-----A---- a/a/J^-------------;respekt/respekt/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- chovají/chovat/VB-P---3P-AAI--;ostatní/ostatní/AAMP1----1A---- mistři/mistr/NNMP1-----A---- ?/?/Z:-------------;3;FIC: beletrie
10;Člověk/člověk/NNMS1-----A---- k/k/RR--3---------- tomu/ten/PDIS3---------- sportu/sport/NNIS3-----A---- prostě/prostě/TT------------- musí/muset/VB-S---3P-AAI-- mít/mít/Vf--------A-I--;respekt/respekt/NNIS4-----A---- a/a/J^------------- nesmí/smět/VB-S---3P-NAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- blázen/blázen/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
