id;left;kwic;right;VNP?;doc.txtype_group
1;Benedikt/Benedikt/NNMS1-----A---- XVI/XVI/C}------------- ././Z0------------- se/se/P7--4---------- poté/poté/Db------------- snažil/snažit/VpMS----R-AAI-- opakovaně/opakovaně/Dg-------1A---- vysvětlit/vysvětlit/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- byl/být/VpMS----R-AAI-- špatně/špatně/Dg-------1A---- pochopen/pochopit/VsMS------APP-- a/a/J^------------- že/že/J,------------- vůči/vůči/RR--3---------- islámu/islám/NNIS3-----A----;chová/chovat/VB-S---3P-AAI-- respekt/respekt/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
2;;Chováme/chovat/VB-P---1P-AAI-- k/k/RR--3---------- Turkům/Turek/NNMP3-----A---- ten/ten/PDIS4---------- největší/velký/AAIS4----3A---- možný/možný/AAIS4----1A---- respekt/respekt/NNIS4-----A----;",/,/Z:------------- ""/""/Z:------------- zachoval/zachovat/VpMS----R-AAP-- opatrnost/opatrnost/NNFS4-----A---- asistent/asistent/NNMS1-----A---- trenéra/trenér/NNMS2-----A---- Rui/Rui/X@------------- Cacador/Cacador/X@------------- ././Z:-------------";1;NMG: publicistika
3;K/k/RR--3---------- Jaroslavu/Jaroslav/NNMS3-----A---1 Holíkovi/Holík/NNMS3-----A---- jsem/být/VB-S---1P-AAI-- vždy/vždy/Db-------------;choval/chovat/VpMS----R-AAI-- velký/velký/AAIS4----1A---- respekt/respekt/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
4;Oni/oni/PPMP1--3------- ale/ale/J^------------- shromáždili/shromáždit/VpMP----R-AAP-- hluboké/hluboký/AAFP4----1A---- znalosti/znalost/NNFP4-----A---- přírodního/přírodní/AANS2----1A---- prostředí/prostředí/NNNS2-----A---- ,/,/Z:------------- v/v/RR--6---------- němž/jenž/P9NS6---------- žijí/žít/VB-P---3P-AAI-1 ,/,/Z:------------- a/a/J^-------------;chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- velký/velký/AAIS4----1A---- respekt/respekt/NNIS4-----A----;././Z:-------------;1;NFC: oborová literatura
5;"BOHAČÍK/Bohačík/NNMS1-----A---- :/:/Z:------------- „/""/Z:-------------";Chovali/chovat/VpMP----R-AAI-- jsme/být/VB-P---1P-AAI-- neskutečný/skutečný/AAIS4----1N---- respekt/respekt/NNIS4-----A----;k/k/RR--3---------- celému/celý/AAIS3----1A---- týmu/tým/NNIS3-----A---- ././Z:-------------;1;NMG: publicistika
6;Podle/podle/RR--2---------- kořeněné/kořeněný/AAFS2----1A---- vůně/vůně/NNFS2-----A---- linoucí/linoucí/AGFS2-----A---- se/se/P7--4---------- prostorem/prostor/NNIS7-----A---- poznal/poznat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- šéf/šéf/NNMS1-----A---- kuchyně/kuchyně/NNFS2-----A----;chová/chovat/VB-S---3P-AAI-- stejný/stejný/AAIS4----1A---- respekt/respekt/NNIS4-----A----;k/k/RR--3---------- česneku/česnek/NNIS3-----A---- jako/jako/J,------------- on/on/PPMS1--3------- sám/sám/PLMS1---------- ././Z:-------------;1;FIC: beletrie
7;;"Choval/chovat/VpMS----R-AAI-- se/se/P7--4---------- nejen/nejen/Db------------- hrubě/hrubě/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- přímo/přímo/Dg-------1A---- sprostě/sprostě/Dg-------1A---- (/(/Z:------------- ""/""/Z:------------- zůstanu/zůstat/VB-S---1P-AAP-- na/na/RR--6---------- frontě/fronta/NNFS6-----A---- ještě/ještě/Db------------- dva/dva/ClIP4---------- týdny/týden/NNIP4-----A---- ,/,/Z:------------- pak/pak/Db------------- mi/já/PH-S3--1------- koukejte/koukat/Vi-P---2--A-I-- dát/dát/Vf--------A-P-- dovolenou/dovolená/NNFS4-----A---- ""/""/Z:------------- -/-/Z:------------- komu/kdo/PKM-3---------- by/být/Vc----------I-- tohle/tenhle/PDNS1---------- u/u/RR--2---------- Lenina/Lenin/NNMS2-----A---- prošlo/projít/VpNS----R-AAP-- ?/?/Z:------------- )/)/Z:------------- ,/,/Z:------------- ale/ale/J^------------- právě/právě/Db------------- svou/svůj/P8FS7---------1 zatvrzelostí/zatvrzelost/NNFS7-----A---- ,/,/Z:------------- neústupností/neústupnost/NNFS7-----A---- si/se/P7--3---------- získal/získat/VpMS----R-AAP-- Leninův/Leninův/AUIS4M--------- respekt/respekt/NNIS4-----A----";././Z:-------------;0;FIC: beletrie
8;"„/""/Z:------------- Na/na/RR--4---------- české/český/AAIP4----1A---- poměry/poměry/NNIP4-----A---- máme/mít/VB-P---1P-AAI-- trenéry/trenér/NNMP4-----A---- hodně/hodně/Dg-------1A---- nadstandardní/nadstandardní/AAMP4----1A---- ,/,/Z:-------------";chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- nim/oni/P5MP3--3------- velký/velký/AAIS4----1A---- respekt/respekt/NNIS4-----A----;,/,/Z:------------- ale/ale/J^------------- samozřejmě/samozřejmě/TT------------- jsme/být/VB-P---1P-AAI-- přemýšleli/přemýšlet/VpMP----R-AAI-- o/o/RR--6---------- všemožných/všemožný/AANP6----1A---- řešeních/řešení/NNNP6-----A---- ,/,/Z:------------- asi/asi/TT------------- by/být/Vc----------I-- nebylo/být/VpNS----R-NAI-- v/v/RR--6---------- pořádku/pořádek/NNIS6-----A---- ,/,/Z:------------- kdybychom/kdyby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- s/s/RR--7---------- tou/ten/PDFS7---------- situací/situace/NNFS7-----A---- nesnažili/snažit/VpMP----R-NAI-- něco/něco/PZ--4---------- dělat/dělat/Vf--------A-I-- ././Z:-------------;1;NMG: publicistika
9;Jak/jak/Db------------- jinak/jinak/Db------------- bych/být/Vc-S---1----I-- se/se/P7--4---------- byla/být/VpFS----R-AAI-- musela/muset/VpFS----R-AAI--;chovat/chovat/Vf--------A-I-- ,/,/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- si/se/P7--3---------- získala/získat/VpFS----R-AAP-- váš/váš/PSIS4-P2------- respekt/respekt/NNIS4-----A----;"?/?/Z:------------- ""/""/Z:-------------";0;FIC: beletrie
10;Záminkou/záminka/NNFS7-----A---- k/k/RR--3---------- vyvolání/vyvolání/NNNS3-----A---- pochybností/pochybnost/NNFP2-----A---- o/o/RR--6---------- sociálnědemokratickém/sociálnědemokratický/AAMS6----1A---- zástupci/zástupce/NNMS6-----A---- starosty/starosta/NNMS2-----A---- byla/být/VpFS----R-AAI-- předem/předem/Db------------- neohlášená/ohlášený/AAFS1----1N---- víkendová/víkendový/AAFS1----1A---- návštěva/návštěva/NNFS1-----A---- Petry/Petra/NNFS2-----A---- Buzkové/Buzková/NNFS2-----A---- ,/,/Z:------------- ke/k/RV--3---------- které/který/P4FS3---------- prý/prý/TT------------- Tůma/Tůma/NNMS1-----A----;nechoval/chovat/VpMS----R-NAI-- patřičný/patřičný/AAIS4----1A---- respekt/respekt/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
