id;left;kwic;right;VNP?;doc.txtype_group
1;Ovdovělý/ovdovělý/AAMS1----1A---- kastelán/kastelán/NNMS1-----A---- v/v/RR--6---------- podání/podání/NNNS6-----A---- Martina/Martin/NNMS2-----A---- Dejdara/Dejdar/NNMS2-----A---- je/být/VB-S---3P-AAI-- smutkem/smutek/NNIS7-----A---- paralyzovaný/paralyzovaný/AAMS1----1A---- vdovec/vdovec/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- má/mít/VB-S---3P-AAI-- divoké/divoký/AAIP4----1A----;sny/sen/NNIP4-----A---- a/a/J^------------- v/v/RR--6---------- jejich/jejich/PSIS6-P3------- důsledku/důsledek/NNIS6-----A---- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--;agresivně/agresivně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
2;"Autorka/autorka/NNFS1-----A---- snímek/snímek/NNIS4-----A---- charakterizovala/charakterizovat/VpFS----R-AAB-- jako/jako/J,------------- :/:/Z:------------- ""/""/Z:------------- Absurdní/absurdní/AAFS1----1A---- roadmovie/roadmovie/X@------------- ,/,/Z:------------- ve/v/RV--6---------- kterém/který/P4IS6---------- babička/babička/NNFS1-----A---- naplní/naplnit/VB-S---3P-AAP-- svůj/svůj/P8IS4----------";sen/sen/NNIS4-----A---- ,/,/Z:------------- matka/matka/NNFS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8FP3---------- dcerám/dcera/NNFP3-----A---- přestane/přestat/VB-S---3P-AAP-- chovat/chovat/Vf--------A-I--;"jako/jako/J,------------- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- ,/,/Z:------------- dcery/dcera/NNFP1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8MP3---------- manželům/manžel/NNMP3-----A---- přestanou/přestat/VB-P---3P-AAP-- chovat/chovat/Vf--------A-I-- jako/jako/J,------------- k/k/RR--3---------- idiotům/idiot/NNMP3-----A---- a/a/J^------------- otcův/otcův/AUIS1M--------- popel/popel/NNIS1-----A---- je/být/VB-S---3P-AAI-- rozptýlen/rozptýlit/VsIS------APP-- po/po/RR--6---------- celé/celý/AAFS6----1A---- zemi/země/NNFS6-----A---- a/a/J^------------- ještě/ještě/Db------------- dál/dál/Db------------- ././Z:------------- ""/""/Z:-------------";0;NMG: publicistika
3;Absurdní/absurdní/AAIS1----1A---- příběh/příběh/NNIS1-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- babička/babička/NNFS1-----A---- naplní/naplnit/VB-S---3P-AAP-- svůj/svůj/P8IS4----------;sen/sen/NNIS4-----A---- ,/,/Z:------------- matka/matka/NNFS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8FP3---------- dcerám/dcera/NNFP3-----A---- přestane/přestat/VB-S---3P-AAP-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- ,/,/Z:------------- dcery/dcera/NNFP4-----A---- ke/k/RV--3---------- svým/svůj/P8MP3---------- manželům/manžel/NNMP3-----A---- jako/jako/J,------------- k/k/RR--3---------- idiotům/idiot/NNMP3-----A---- a/a/J^------------- otcův/otcův/AUIS1M--------- popel/popel/NNIS1-----A---- je/být/VB-S---3P-AAI-- rozptýlen/rozptýlit/VsIS------APP-- po/po/RR--6---------- celé/celý/AAFS6----1A---- zemi/země/NNFS6-----A---- a/a/J^------------- ještě/ještě/Db------------- dál/daleko/Dg-------2A---- ././Z0------------- (/(/Z:------------- 17/17/C=------------- ././Z0------------- 00/00/C=------------- ,/,/Z:------------- 19/19/C=------------- ././Z0------------- 30/30/C=------------- )/)/Z:------------- GALERIE/galerie/NNFS1-----A---- V/V/BN------------- ././Z0------------- A/A/BN------------- ././Z0------------- ŠRŮTKA/Šrůtek/NNMS2-----A---- :/:/Z:------------- Václav/Václav/NNMS1-----A---- Macháň/Macháň/NNMS1-----A---- -/-/Z:------------- Obrazy/obraz/NNIP1-----A---- ././Z:-------------;0;NMG: publicistika
4;Absurdní/absurdní/AAIS1----1A---- příběh/příběh/NNIS1-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- babička/babička/NNFS1-----A---- naplní/naplnit/VB-S---3P-AAP-- svůj/svůj/P8IS4----------;sen/sen/NNIS4-----A---- ,/,/Z:------------- matka/matka/NNFS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8FP3---------- dcerám/dcera/NNFP3-----A---- přestane/přestat/VB-S---3P-AAP-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- ,/,/Z:------------- dcery/dcera/NNFP4-----A---- ke/k/RV--3---------- svým/svůj/P8MP3---------- manželům/manžel/NNMP3-----A---- jako/jako/J,------------- k/k/RR--3---------- idiotům/idiot/NNMP3-----A---- a/a/J^------------- otcův/otcův/AUIS1M--------- popel/popel/NNIS1-----A---- je/být/VB-S---3P-AAI-- rozptýlen/rozptýlit/VsIS------APP-- po/po/RR--6---------- celé/celý/AAFS6----1A---- zemi/země/NNFS6-----A---- a/a/J^------------- ještě/ještě/Db------------- dál/daleko/Dg-------2A---- ././Z0------------- (/(/Z:------------- 20/20/C=------------- ././Z0------------- 00/00/C=------------- )/)/Z:------------- Deník/deník/NNIS1-----A---- Bridget/Bridget/NNFS2-----A---- Jonesové/Jonesová/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
5;Ale/ale/J^------------- jestli/jestli/J,-------------;sen/sen/NNIS4-----A---- chováme/chovat/VB-P---1P-AAI--;dost/dost/Dg-------1A---- blízko/blízko/Dg-------1A---- u/u/RR--2---------- srdce/srdce/NNNS2-----A---- a/a/J^------------- uplatníme/uplatnit/VB-P---1P-AAP-- s/s/RR--7---------- fantazií/fantazie/NNFS7-----A---- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--4---------- máme/mít/VB-P---1P-AAI-- po/po/RR--6---------- ruce/ruka/NNFS6-----A---- ,/,/Z:------------- stále/stále/Dg-------1A---- ještě/ještě/Db------------- není/být/VB-S---3P-NAI-- nic/nic/PW--1---------- nemožné/možný/AANS1----1N---- ././Z:-------------;1;FIC: beletrie
6;Jaký/jaký/P4IS4---------- si/se/P7--3---------- vysnila/vysnít/VpFS----R-AAP-- bláhový/bláhový/AAIS4----1A----;sen/sen/NNIS4-----A---- ,/,/Z:------------- jen/jen/Db------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--;laskavě/laskavě/Dg-------1A---- a/a/J^------------- někdy/někdy/Db------------- i/i/J^------------- roztouženě/roztouženě/Dg-------1A---- ././Z:-------------;0;FIC: beletrie
7;zářivého/zářivý/AANS2----1A---- a/a/J^------------- hřejivého/hřejivý/AANS2----1A---- ,/,/Z:------------- co/co/PQ--1---------- rozdává/rozdávat/VB-S---3P-AAI-- lidem/člověk/NNMP3-----A---- krásu/krása/NNFS4-----A---- a/a/J^------------- povznáší/povznášet/VB-S---3P-AAI-- jejich/jejich/PSNS4-P3------- srdce/srdce/NNNS4-----A---- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- jim/oni/PPMP3--3------- připomíná/připomínat/VB-S---3P-AAI-- odvahu/odvaha/NNFS4-----A---- a/a/J^------------- čest/čest/NNFS4-----A---- a/a/J^------------- naději/naděje/NNFS4-----A---- a/a/J^------------- hrdost/hrdost/NNFS4-----A---- a/a/J^------------- soucit/soucit/NNIS4-----A---- a/a/J^------------- obětavost/obětavost/NNFS4-----A---- ,/,/Z:------------- všechno/všechen/PLNS4---------- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--1---------- vždy/vždy/Db------------- bylo/být/VpNS----R-AAI-- pýchou/pýcha/NNFS7-----A---- lidského/lidský/AAIS2----1A---- rodu/rod/NNIS2-----A---- )/)/Z:------------- ,/,/Z:------------- a/a/J^------------- stále/stále/Dg-------1A---- častěji/často/Dg-------2A---- mě/já/PH-S4--1------- ,/,/Z:------------- Richarde/Richard/NNMS5-----A---- ,/,/Z:------------- obtěžuje/obtěžovat/VB-S---3P-AAI-- takovýto/takovýto/PDIS4---------- románový/románový/AAIS4----1A----;sen/sen/NNIS4-----A---- (/(/Z:------------- a/a/J^------------- jím/on/PPIS7--3------- bych/být/Vc-S---1----I-- ten/ten/PDIS4---------- jinačí/jinačí/AAIS4----1A---- román/román/NNIS4-----A---- ,/,/Z:------------- kdybych/kdyby|být/J,-------------|Vc-S---1----I-- ho/on/PHIS4--3------- napsal/napsat/VpMS----R-AAP-- ,/,/Z:------------- zakončil/zakončit/VpMS----R-AAP-- anebo/anebo/J^------------- naopak/naopak/TT------------- otevřel/otevřít/VpMS----R-AAP-- )/)/Z:------------- :/:/Z:------------- je/být/VB-S---3P-AAI-- počátek/počátek/NNIS1-----A---- osmdesátých/osmdesátý/CrNP2---------- let/rok/NNNP2-----A---- ,/,/Z:------------- hrábli/hrábnout/VpMP----R-AAP-1 po/po/RR--6---------- mně/já/PP-S6--1------- a/a/J^------------- vydávají/vydávat/VB-P---3P-AAI-- mně/já/PP-S3--1------- knížky/knížka/NNFP1-----A---- a/a/J^------------- jsem/být/VB-S---1P-AAI-- oficiální/oficiální/AAMS1----1A---- autor/autor/NNMS1-----A---- a/a/J^------------- možná/možná/TT------------- i/i/J^------------- informátor/informátor/NNMS1-----A---- Státní/státní/AAFS2----1A---- bezpečnosti/bezpečnost/NNFS2-----A---- a/a/J^------------- smím/smět/VB-S---1P-AAI-- cestovat/cestovat/Vf--------A-I-- do/do/RR--2---------- kapitalistické/kapitalistický/AAFS2----1A---- ciziny/cizina/NNFS2-----A---- a/a/J^------------- jedu/jet/VB-S---1P-AAI-- v/v/RR--6---------- přátelské/přátelský/AAFS6----1A---- pohodě/pohoda/NNFS6-----A---- se/s/RV--7---------- Sorrym/Sorrym/X@------------- a/a/J^------------- Květuškou/Květuška/NNFS7-----A---- do/do/RR--2---------- Němec/Němec/NNMS1-----A---- a/a/J^------------- tam/tam/Db------------- se/se/P7--4---------- pak/pak/Db------------- vypravíme/vypravit/VB-P---1P-AAP-- za/za/RR--7---------- vámi/vy/PP-P7--2------- ,/,/Z:------------- Richarde/Richard/NNMS5-----A---- ,/,/Z:------------- a/a/J^------------- vy/vy/PP-P1--2------- se/se/P7--4---------- k/k/RR--3---------- nám/my/PP-P3--1------- chováte/chovat/VB-P---2P-AAI--;s/s/RR--7---------- laskavou/laskavý/AAFS7----1A---- shovívavostí/shovívavost/NNFS7-----A---- těch/ten/PDMP2---------- ,/,/Z:------------- co/co/J,------------- vědí/vědět/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- všichni/všechen/PLMP1---------- ,/,/Z:------------- co/co/J,------------- neemigrovali/emigrovat/VpMP----R-NAB-- ,/,/Z:------------- museli/muset/VpMP----R-AAI-- nutně/nutně/Dg-------1A---- skončit/skončit/Vf--------A-P-- jako/jako/J,------------- větší/velký/AAMP1----2A---- či/či/J^------------- menší/malý/AAMP1----2A---- kolaboranti/kolaborant/NNMP1-----A---- ,/,/Z:------------- a/a/J^------------- to/ten/PDNS1---------- ,/,/Z:------------- že/že/J,------------- mi/já/PH-S3--1------- vycházejí/vycházet/VB-P---3P-AAI-- knížky/knížka/NNFP1-----A---- ,/,/Z:------------- vám/vy/PP-P3--2------- ,/,/Z:------------- Richarde/Richard/NNMS5-----A---- ,/,/Z:------------- vůbec/vůbec/TT------------- nevadí/vadit/VB-S---3P-NAI-- ,/,/Z:------------- protože/protože/J,------------- to/ten/PDNS1---------- jsou/být/VB-P---3P-AAI-- přeci/přece/TT------------- jen/jen/TT------------- takové/takový/PDFP1---------- socialistické/socialistický/AAFP1----1A---- sračky/sračka/NNFP1-----A---- ,/,/Z:------------- které/který/P4FP1---------- nestojí/stát/VB-P---3P-NAI-- za/za/RR--4----------;0;FIC: beletrie
8;Výlet/výlet/NNIS1-----A---- je/být/VB-S---3P-AAI-- uváděn/uvádět/VsIS------API-- jako/jako/J,------------- absurdní/absurdní/AAIS1----1A---- road/road/F%------------- movie/movie/F%------------- ,/,/Z:------------- ve/v/RV--6---------- kterém/který/P4IS6---------- babička/babička/NNFS1-----A---- naplní/naplnit/VB-S---3P-AAP-- svůj/svůj/P8IS4----------;sen/sen/NNIS4-----A---- ,/,/Z:------------- matka/matka/NNFS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8FP3---------- dcerám/dcera/NNFP3-----A---- přestane/přestat/VB-S---3P-AAP-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- ,/,/Z:------------- dcery/dcera/NNFP1-----A---- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8MP3---------- manželům/manžel/NNMP3-----A---- přestanou/přestat/VB-P---3P-AAP-- chovat/chovat/Vf--------A-I-- jako/jako/J,------------- k/k/RR--3---------- idiotům/idiot/NNMP3-----A---- a/a/J^------------- otcův/otcův/AUIS1M--------- popel/popel/NNIS1-----A---- je/být/VB-S---3P-AAI-- rozptýlen/rozptýlit/VsIS------APP-- po/po/RR--6---------- celé/celý/AAFS6----1A---- zemi/země/NNFS6-----A---- a/a/J^------------- ještě/ještě/Db------------- dál/daleko/Dg-------2A---- ././Z:-------------;0;NMG: publicistika
9;Podobný/podobný/AAIS4----1A----;sen/sen/NNIS4-----A---- chovali/chovat/VpMP----R-AAI--;"také/také/Db------------- umělci/umělec/NNMP1-----A---- německé/německý/AAFS2----1A---- průmyslové/průmyslový/AAFS2----1A---- školy/škola/NNFS2-----A---- ""/""/Z:------------- Bauhaus/Bauhaus/NNIS1-----A---- ""/""/Z:------------- ,/,/Z:------------- založené/založený/AAFS2----1A---- v/v/RR--6---------- roce/rok/NNIS6-----A---1 1919/1919/C=------------- ve/v/RV--6---------- Výmaru/Výmar/NNIS6-----A---- Walterem/Walter/NNMS7-----A---- Gropiusem/Gropius/NNMS7-----A---- ././Z:-------------";1;NFC: oborová literatura
10;Jsou/být/VB-P---3P-AAI-- trochu/trochu/Db------------- jako/jako/J,------------- Michel/Michel/NNMS1-----A---- Montaigne/Montaigne/NNMS1-----A---- ve/v/RV--6---------- Francii/Francie/NNFS6-----A---- před/před/RR--7---------- pár/pár/Db------------- stoletími/století/NNNP7-----A---- ,/,/Z:------------- který/který/P4MS1---------- dokázal/dokázat/VpMS----R-AAP-- popsat/popsat/Vf--------A-P-- naše/náš/PSIP4-P1-------;sny/sen/NNIP4-----A---- a/a/J^------------- naše/náš/PSFP4-P1------- slabosti/slabost/NNFP4-----A---- ,/,/Z:------------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- přemýšlíme/přemýšlet/VB-P---1P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- chováme/chovat/VB-P---1P-AAI--;,/,/Z:------------- koho/kdo/PKM-4---------- milujeme/milovat/VB-P---1P-AAI-- ././Z:-------------;0;NMG: publicistika
