id;left;kwic;right
"1";"LN/LN/BN-------------";"Chováte/chovat/VB-P---2P-AAI-- ve/v/RV--6---------- svém/svůj/P8NS6---------- nitru/nitro/NNNS6-----A---- ještě/ještě/Db------------- nějaké/nějaký/PZIP4---------- sny/sen/NNIP4-----A----";"?/?/Z:-------------"
"2";"""/""/Z:------------- Chceme/chtít/VB-P---1P-AAI-- dokázat/dokázat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- člověk/člověk/NNMS1-----A---- může/moci/VB-S---3P-AAI-- žít/žít/Vf--------A-I-- v/v/RR--6---------- komfortu/komfort/NNIS6-----A---1 ,/,/Z:------------- který/který/P4IS1---------- poskytuje/poskytovat/VB-S---3P-AAI-- 21/21/C=------------- ././Z0------------- století/století/NNNS4-----A---- a/a/J^------------- přitom/přitom/Db------------- se/se/P7--4----------";"nechovat/chovat/Vf--------N-I-- bezohledně/bezohledně/Dg-------1A---- ke/k/RV--3---------- svému/svůj/P8NS3---------- přírodnímu/přírodní/AANS3----1A---- okolí/okolí/NNNS3-----A---- ,/,/Z:------------- ""/""/Z:------------- konstatoval/konstatovat/VpMS----R-AAB-- jeden/jeden/ClMS1---------- z/z/RR--2---------- iniciátorů/iniciátor/NNMP2-----A---- projektu/projekt/NNIS2-----A---- ředitel/ředitel/NNMS1-----A---- Správy/správa/NNFS2-----A---- Chráněné/chráněný/AAFS2----1A---- krajinné/krajinný/AAFS2----1A---- oblasti/oblast/NNFS2-----A---- Český/český/AAIS1----1A---- ráj/ráj/NNIS1-----A---- Tomáš/Tomáš/NNMS1-----A---- Tomsa/Tomsa/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- kvůli/kvůli/RR--3---------- možnosti/možnost/NNFS3-----A---- uskutečnit/uskutečnit/Vf--------A-P-- svůj/svůj/P8IS4---------- dlouholetý/dlouholetý/AAIS4----1A---- sen/sen/NNIS4-----A----";"nyní/nyní/Db------------- opouští/opouštět/VB-S---3P-AAI-- ředitelský/ředitelský/AAIS4----1A---- post/post/NNIS4-----A---- ././Z:-------------"
"3";"Sergio/Sergio/NNMS1-----A---- Castillo/Castillo/NNMS1-----A---- v/v/RR--6---------- sobě/se/P6--6---------- po/po/RR--4---------- celý/celý/AAIS4----1A---- život/život/NNIS4-----A----";"choval/chovat/VpMS----R-AAI-- tajný/tajný/AAIS4----1A---- sen/sen/NNIS4-----A----";":/:/Z:------------- chtěl/chtít/VpMS----R-AAI-- se/se/P7--4---------- oženit/oženit/Vf--------A-P-- v/v/RR--6---------- Las/Las/F%------------- Vegas/Vegas/NNNS6-----A---- v/v/RR--6---------- kostýmu/kostým/NNIS6-----A---- Elvise/Elvis/NNMS2-----A---- Presleyho/Presley/NNMS2-----A---- ././Z:-------------"
"4";"Každý/každý/PLMS1---------- člověk/člověk/NNMS1-----A---- je/být/VB-S---3P-AAI-- originál/originál/NNIS1-----A---- ,/,/Z:------------- jinak/jinak/Db------------- myslí/myslet/VB-S---3P-AAI-- ,/,/Z:------------- jinak/jinak/Db------------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- má/mít/VB-S---3P-AAI-- jiné/jiný/AAFP4----1A---- touhy/touha/NNFP4-----A---- a/a/J^------------- sny/sen/NNIP4-----A----";"././Z:-------------"
"5";"Tommy/Tommy/NNMS1-----A---- ale/ale/J^-------------";"choval/chovat/VpMS----R-AAI-- jiný/jiný/AAIS4----1A---- ,/,/Z:------------- snad/snad/TT------------- směšný/směšný/AAIS4----1A---- sen/sen/NNIS4-----A----";"././Z:-------------"
"6";"";"Choval/chovat/VpMS----R-AAI-- totiž/totiž/TT------------- v/v/RR--6---------- svém/svůj/P8NS6---------- srdci/srdce/NNNS6-----A---- překrásný/překrásný/AAIS4----1A---- sen/sen/NNIS4-----A----";",/,/Z:------------- se/s/RV--7---------- kterým/který/P4IS7---------- se/se/P7--4---------- nechtěl/chtít/VpMS----R-NAI-- a/a/J^------------- nemohl/moci/VpMS----R-NAI-- rozloučit/rozloučit/Vf--------A-P-- ././Z:-------------"
"7";"Odjakživa/odjakživa/Db-------------";"chovala/chovat/VpFS----R-AAI-- tajný/tajný/AAIS4----1A---- sen/sen/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- se/se/P7--4---------- do/do/RR--2---------- nádražního/nádražní/AANS2----1A---- městečka/městečko/NNNS2-----A---- jednou/jednou/Db------------- odstěhuje/odstěhovat/VB-S---3P-AAP-- ,/,/Z:------------- neboť/neboť/J^------------- je/oni/PPIP4--3------- poněkud/poněkud/Db------------- romanticky/romanticky/Dg-------1A---- viděla/vidět/VpFS----R-AAI-- jako/jako/J,------------- třešňový/třešňový/AAIS4----1A---- sad/sad/NNIS4-----A---- na/na/RR--6---------- třech/tři/ClFP6---------- stranách/strana/NNFP6-----A---- povlovně/povlovně/Dg-------1A---- přecházející/přecházející/AGIS4-----A---- v/v/RR--4---------- hluboký/hluboký/AAIS4----1A---- borový/borový/AAIS4----1A---- les/les/NNIS4-----A---- ././Z:-------------"
"8";"„/""/Z:------------- Chci/chtít/VB-S---1P-AAI-- zůstat/zůstat/Vf--------A-P-- zdravá/zdravý/AAFS1----1A---- a/a/J^------------- získávat/získávat/Vf--------A-I-- mezinárodní/mezinárodní/AAFP4----1A---- zkušenosti/zkušenost/NNFP4-----A---- ,/,/Z:------------- “/""/Z:------------- plánuje/plánovat/VB-S---3P-AAI-- opatrně/opatrně/Dg-------1A---- své/svůj/P8IP4---------1 další/další/AAIP4----1A---- plány/plán/NNIP4-----A---- Freiherrová/Freiherrová/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- ale/ale/J^------------- v/v/RR--6---------- sobě/se/P6--6----------";"chová/chovat/VB-S---3P-AAI-- jeden/jeden/ClIS4---------- velký/velký/AAIS4----1A---- sen/sen/NNIS4-----A----";":/:/Z:------------- olympijské/olympijský/AAFP1----1A---- hry/hra/NNFP1-----A---- ././Z:-------------"
"9";"U/u/RR--2---------- srdce/srdce/NNNS2-----A---- nejblíže/blízko/Dg-------3A---1";"chovám/chovat/VB-S---1P-AAI-- ,/,/Z:------------- Harry/Harry/NNMS1-----A---- ,/,/Z:------------- vzpomínku/vzpomínka/NNFS4-----A---- na/na/RR--4---------- naše/náš/PSFP4-P1------- milované/milovaný/AAFP4----1A---- děti/dítě/NNFP4-----A---- a/a/J^------------- také/také/Db------------- nesmrtelný/smrtelný/AAIS4----1N---- sen/sen/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- jednoho/jeden/ClIS2---------- dne/den/NNIS2-----A---- vrátím/vrátit/VB-S---1P-AAP-- –/-/Z:------------- právě/právě/Db------------- ten/ten/PDIS1---------- mi/já/PH-S3--1------- propůjčí/propůjčit/VB-S---3P-AAP-- sílu/síla/NNFS4-----A---- a/a/J^------------- chuť/chuť/NNFS4-----A---- k/k/RR--3---------- životu/život/NNIS3-----A---- ././Z:-------------"
"10";"""/""/Z:------------- Vypadalo/vypadat/VpNS----R-AAI-- to/ten/PDNS1---------- všechno/všechen/PLNS1---------- tak/tak/Db------------- skutečně/skutečně/TT------------- ,/,/Z:------------- ""/""/Z:------------- pokračuje/pokračovat/VB-S---3P-AAI-- Martha/Marta/NNFS1-----A---- a/a/J^------------- začne/začít/VB-S---3P-AAP-- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- Meryl/Meryl/NNFS1-----A---- Streepová/Streepová/NNFS1-----A---- ,/,/Z:------------- když/když/J,------------- hrála/hrát/VpFS----R-AAI-- v/v/RR--6---------- S/S/BN------------- ilkwoodové/ilkwoodové/X@------------- ,/,/Z:------------- a/a/J^------------- vymýšlet/vymýšlet/Vf--------A-I-- si/se/P7--3---------- sen/sen/NNIS4-----A----";"././Z:-------------"
