id;left;kwic;right;VNP?;doc.txtype_group
1;Mezi/mezi/RR--4---------- základní/základní/AAIP4----1A---- body/bod/NNIP4-----A---- programu/program/NNIS2-----A---- Hnutí/hnutí/NNNS2-----A---- patří/patřit/VB-S---3P-AAI-- velký/velký/AAIS1----1A---- důraz/důraz/NNIS1-----A---- na/na/RR--4---------- ochranu/ochrana/NNFS4-----A---- životního/životní/AANS2----1A---- prostředí/prostředí/NNNS2-----A---- ,/,/Z:------------- populisté/populista/NNMP1-----A----;chovají/chovat/VB-P---3P-AAI-- i/i/J^------------- skepsi/skepse/NNFS4-----A----;vůči/vůči/RR--3---------- velkým/velký/AAFP3----1A---- nadnárodním/nadnárodní/AAFP3----1A---- firmám/firma/NNFP3-----A---- ,/,/Z:------------- jakou/jaký/P4FS7---------- je/být/VB-S---3P-AAI-- ArcelorMittal/ArcelorMittal/NNIS1-----A---- ././Z:-------------;1;NMG: publicistika
2;"""/""/Z:-------------";Chovám/chovat/VB-S---1P-AAI-- určitou/určitý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;k/k/RR--3---------- výrokům/výrok/NNIP3-----A---- :/:/Z:------------- nasytíme/nasytit/VB-P---1P-AAP-- jimi/oni/PPIP7--3------- hladovějící/hladovějící/AGIP4-----A---- miliony/milion/CzIP4---------- ././Z:-------------;1;NMG: publicistika
3;Coby/coby/J,------------- autor/autor/NNMS1-----A---- hitových/hitový/AAIP2----1A---- singlů/singl/NNIP2-----A----;choval/chovat/VpMS----R-AAI-- stejnou/stejný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;"k/k/RR--3---------- dlouhohrajícím/dlouhohrající/AANP3----1A---- albům/album/NNNP3-----A---- :/:/Z:------------- ""/""/Z:------------- Album/album/NNNS1-----A---- znamená/znamenat/VB-S---3P-AAI-- dva/dva/ClIP4---------- hity/hit/NNIP4-----A---- a/a/J^------------- desetkrát/desetkrát/Cv------------- vata/vata/NNFS1-----A---- ././Z:------------- ""/""/Z:-------------";1;NMG: publicistika
4;Kritici/kritik/NNMP1-----A---- namítají/namítat/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- Donald/Donald/NNMS1-----A---- Trump/Trump/NNMS1-----A---- pouze/pouze/Db------------- hledá/hledat/VB-S---3P-AAI-- záminky/záminka/NNFP4-----A---- ,/,/Z:------------- proč/proč/Db------------- z/z/RR--2---------- New/New/F%------------- START/start/NNIS4-----A---- vycouvat/vycouvat/Vf--------A-P-- ,/,/Z:------------- neboť/neboť/J^-------------;chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- mezinárodním/mezinárodní/AAFP3----1A---- dohodám/dohoda/NNFP3-----A---- bytostnou/bytostný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
5;Úplně/úplně/Dg-------1A---- od/od/RR--2---------- začátku/začátek/NNIS2-----A---- ,/,/Z:------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- Carla/Carlo/NNMS4-----A---- Collinse/Collins/NNMS4-----A---- poznal/poznat/VpMS----R-AAP-- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- a/a/J^------------- celému/celý/AAIS3----1A---- tomu/ten/PDIS3---------- jeho/jeho/PSIS3-S3------- projektu/projekt/NNIS3-----A----;choval/chovat/VpMS----R-AAI-- jistou/jistý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;,/,/Z:------------- možná/možná/TT------------- nespravedlivou/spravedlivý/AAFS4----1N---- nedůvěru/nedůvěra/NNFS4-----A---- ././Z:-------------;1;FIC: beletrie
6;Z/z/RR--2---------- důvodů/důvod/NNIP2-----A---- ,/,/Z:------------- které/který/P4IP4---------- by/být/Vc----------I-- asi/asi/TT------------- psycholog/psycholog/NNMS1-----A---- vysvětlil/vysvětlit/VpMS----R-AAP-- lépe/dobře/Dg-------2A---- než/než/J,------------- já/já/PP-S1--1------- ,/,/Z:-------------;chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- tvrdí/tvrdit/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- chtějí/chtít/VB-P---3P-AAI-- moje/můj/PSNS4-S1------- dobro/dobro/NNNS4-----A---- ,/,/Z:------------- jistou/jistý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
7;Lakotný/lakotný/AAMS1----1A---- Brahe/Brahe/NNMS1-----A---- například/například/TT-------------;choval/chovat/VpMS----R-AAI-- hlubokou/hluboký/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;vůči/vůči/RR--3---------- obchodům/obchod/NNIP3-----A---- a/a/J^------------- obchodování/obchodování/NNNS3-----A---- ././Z:-------------;1;FIC: beletrie
8;Lidé/člověk/NNMP1-----A---- se/se/P7--4---------- začnou/začít/VB-P---3P-AAP--;chovat/chovat/Vf--------A-I-- jinak/jinak/Db------------- ,/,/Z:------------- propadají/propadat/VB-P---3P-AAI-- euforii/euforie/NNFS3-----A---- ,/,/Z:------------- nebo/nebo/J^------------- naopak/naopak/TT------------- skepsi/skepse/NNFS4-----A----;././Z:-------------;0;NMG: publicistika
9;Metternich/Metternich/NNMS1-----A---- již/již/Db------------- roku/rok/NNIS2-----A---1 1809/1809/C=-------------;choval/chovat/VpMS----R-AAI-- skepsi/skepse/NNFS4-----A----;vůči/vůči/RR--3---------- Stadionovu/Stadionovu/X@------------- pokusu/pokus/NNIS3-----A---- využít/využít/Vf--------A-P-- německého/německý/AANS2----1A---- národního/národní/AANS2----1A---- vědomí/vědomí/NNNS2-----A---- v/v/RR--6---------- boji/boj/NNIS6-----A---- proti/proti/RR--3---------- Napoleonovi/Napoleon/NNMS3-----A---- a/a/J^------------- udržoval/udržovat/VpMS----R-AAI-- si/se/P7--3---------- chladný/chladný/AAIS4----1A---- odstup/odstup/NNIS4-----A---- vůči/vůči/RR--3---------- pruskoněmeckým/pruskoněmeckým/X@------------- vlasteneckým/vlastenecký/AAMP3----1A---- politikům/politik/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- tehdy/tehdy/Db------------- hledali/hledat/VpMP----R-AAI-- útočiště/útočiště/NNNS4-----A---- pod/pod/RR--7---------- ochranou/ochrana/NNFS7-----A---- Rakouska/Rakousko/NNNS2-----A---- ././Z:-------------;1;NFC: oborová literatura
10;Forss/Forss/X@-------------;choval/chovat/VpMS----R-AAI-- ke/k/RV--3---------- Stiltonovým/Stiltonovým/X@------------- informacím/informace/NNFP3-----A---- silnou/silný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
11;Vezmeme/vzít/VB-P---1P-AAP-- -/-/Z0------------- li/li/J,------------- však/však/J^------------- v/v/RR--4---------- úvahu/úvaha/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- Václav/Václav/NNMS1-----A---- Klíma/Klíma/NNMS1-----A---- prožil/prožít/VpMS----R-AAP-- více/hodně/Dg-------2A---- než/než/J,------------- dvacet/dvacet/Cn-S4---------- osm/osm/Cn-S4---------- let/rok/NNNP2-----A---- ve/v/RV--6---------- věznicích/věznice/NNFP6-----A---- ,/,/Z:------------- kam/kam/Db------------- se/se/P7--4---------- jako/jako/J,------------- nenapravitelný/napravitelný/AAMS1----1N---- recidivista/recidivista/NNMS1-----A---- vždy/vždy/Db------------- znovu/znovu/Db------------- a/a/J^------------- znovu/znovu/Db------------- vracel/vracet/VpMS----R-AAI-- ,/,/Z:------------- není/být/VB-S---3P-NAI-- divu/div/NNIS2-----A---- ,/,/Z:------------- že/že/J,------------- vůči/vůči/RR--3---------- pravdivosti/pravdivost/NNFS3-----A---- příběhu/příběh/NNIS2-----A---- jeho/jeho/PSFS2-S3------- cesty/cesta/NNFS2-----A---- k/k/RR--3---------- víře/víra/NNFS3-----A---- ,/,/Z:------------- tak/tak/J^------------- jak/jak/Db------------- jej/on/PPMS4--3------2 podává/podávat/VB-S---3P-AAI-- ,/,/Z:------------- lze/lze/Db-------------;chovat/chovat/Vf--------A-I-- jistou/jistý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
12;Pravdouale/Pravdouale/X@------------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- žekježděnípo/žekježděnípo/X@------------- hlavním/hlavní/AANS6----1A---- městě/město/NNNS6-----A----;chovám/chovat/VB-S---1P-AAI-- stále/stále/Dg-------1A---- silnější/silný/AAFS4----2A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
13;Ještě/ještě/Db------------- také/také/Db------------- musím/muset/VB-S---1P-AAI-- říct/říci/Vf--------A-P-- ,/,/Z:------------- že/že/J,-------------;chovám/chovat/VB-S---1P-AAI-- velké/velký/AAFP4----1A---- sympatie/sympatie/NNFP4-----A---- k/k/RR--3---------- Ondřeji/Ondřej/NNMS3-----A---- Horákovi/Horák/NNMS3-----A---- ,/,/Z:------------- zejména/zejména/TT------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- v/v/RR--6---------- sobě/se/P6--6---------- má/mít/VB-S---3P-AAI-- takovou/takový/PDFS4---------- zdravou/zdravý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;a/a/J^------------- jistý/jistý/AAIS4----1A---- odstup/odstup/NNIS4-----A---- od/od/RR--2---------- literárního/literární/AANS2----1A---- hemžení/hemžení/NNNS2-----A---- ,/,/Z:------------- ale/ale/J^------------- ten/ten/PDMS1---------- jeho/jeho/PSMS1-S3------- Nebožtík/nebožtík/NNMS1-----A---- ,/,/Z:------------- nevím/vědět/VB-S---1P-NAI-- ,/,/Z:------------- co/co/PQ--4---------- s/s/RR--7---------- ním/on/P5MS7--3------- udělat/udělat/Vf--------A-P-- …/.../Z:-------------;0;NFC: oborová literatura
14;Nicméně/nicméně/J^------------- ,/,/Z:------------- ještě/ještě/Db------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- vystupoval/vystupovat/VpMS----R-AAI-- z/z/RR--2---------- auta/auto/NNNS2-----A---- na/na/RR--6---------- parkovišti/parkoviště/NNNS6-----A---- před/před/RR--7---------- vchodem/vchod/NNIS7-----A---- ,/,/Z:-------------;choval/chovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- nim/oni/P5MP3--3------- značnou/značný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
15;Jak/jak/Db------------- velkou/velký/AAFS4----1A----;chovám/chovat/VB-S---1P-AAI-- naději/naděje/NNFS4-----A---- či/či/J^------------- skepsi/skepse/NNFS4-----A----;"k/k/RR--3---------- takové/takový/PDFS3---------- možnosti/možnost/NNFS3-----A---- ,/,/Z:------------- si/se/P7--3---------- nechám/nechat/VB-S---1P-AAP-- pro/pro/RR--4---------- sebe/se/P6--4---------- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- prezident/prezident/NNMS1-----A---- ././Z:-------------";1;NMG: publicistika
16;"Ale/ale/J^------------- ničím/nic/PW--7---------- asi/asi/TT------------- nepodráždil/podráždit/VpIS----R-NAP-- tamní/tamní/AAIS4----1A---- režim/režim/NNIS4-----A---- tolik/tolik/Db------------- jako/jako/J,------------- slovy/slovo/NNNP7-----A---- :/:/Z:------------- ""/""/Z:------------- Opravdu/opravdu/TT-------------";chovám/chovat/VB-S---1P-AAI-- určitou/určitý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;"vůči/vůči/RR--3---------- severokorejskému/severokorejský/AAMS3----1A---- vůdci/vůdce/NNMS3-----A---- ././Z:------------- ""/""/Z:-------------";1;NMG: publicistika
17;Jen/jen/Db------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,-------------;chovám/chovat/VB-S---1P-AAI-- zdravou/zdravý/AAFS4----1A---- akademickou/akademický/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;"–/-/Z:------------- “/""/Z:-------------";1;FIC: beletrie
18;Zdá/zdát/VB-S---3P-AAI-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- elektromobilům/elektromobil/NNIP3-----A----;chováte/chovat/VB-P---2P-AAI-- nezvykle/nezvykle/Dg-------1A---- velkou/velký/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NFC: oborová literatura
19;"K/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- ""/""/Z:------------- Evropa/Evropa/NNFS1-----A---- ""/""/Z:------------- byla/být/VpFS----R-AAI-- něco/něco/PZ--1---------- jiného/jiný/AANS2----1A---- než/než/J,------------- jen/jen/Db------------- billboardový/billboardový/AAIS1----1A---- slogan/slogan/NNIS1-----A---- ,/,/Z:-------------";chová/chovat/VB-S---3P-AAI-- zdravou/zdravý/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
20;Vědci/vědec/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- jsou/být/VB-P---3P-AAI-- na/na/RR--4---------- rozdíl/rozdíl/NNIS4-----A---- od/od/RR--2---------- týmu/tým/NNIS2-----A---- z/z/RR--2---------- Ústavu/ústav/NNIS2-----A---- struktury/struktura/NNFS2-----A---- a/a/J^------------- mechaniky/mechanika/NNFS2-----A---- hornin/hornina/NNFP2-----A---- tradičními/tradiční/AAMP7----1A---- seismology/seizmolog/NNMP7-----A---- ,/,/Z:-------------;chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- nadějím/naděje/NNFP3-----A---- kolegů/kolega/NNMP2-----A---- spíše/spíš/TT------------- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
21;Navíc/navíc/Db------------- čelní/čelný/AAMP1----1A---- představitelé/představitel/NNMP1-----A---- Ligy/liga/NNFS2-----A----;chovají/chovat/VB-P---3P-AAI-- podle/podle/RR--2---------- korespondenta/korespondent/NNMS2-----A---- BBC/BBC/BN------------- značnou/značný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;vůči/vůči/RR--3---------- americký/americký/AAFS3----1A---6 úmyslům/úmysl/NNIP3-----A---- ././Z:-------------;1;NMG: publicistika
22;Většina/většina/NNFS1-----A---- Otců/otec/NNMP2-----A---- poutníků/poutník/NNMP2-----A---- -/-/Z:------------- vesměs/vesměs/Db------------- náleželi/náležet/VpMP----R-AAI-- mezi/mezi/RR--4---------- bílé/bílý/AAMP4----1A---- a/a/J^------------- zpravidla/zpravidla/Db------------- bohaté/bohatý/AAMP4----1A---- muže/muž/NNMP4-----A---- 18/18/C=------------- ././Z0------------- století/století/NNNS2-----A---- -/-/Z:------------- byla/být/VpFS----R-AAI-- produktem/produkt/NNIS7-----A---- osvícenství/osvícenství/NNNS2-----A---- a/a/J^------------- k/k/RR--3---------- organizovanému/organizovaný/AANS3----1A---- náboženství/náboženství/NNNS3-----A---- či/či/J^------------- k/k/RR--3---------- mocné/mocný/AAFS3----1A---- církvi/církev/NNFS3-----A----;chovala/chovat/VpFS----R-AAI-- značnou/značný/AAFS4----1A---- skepsi/skepse/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
