id;left;kwic;right
"1";"Zakladatel/zakladatel/NNMS1-----A---- Spojených/spojený/AAIP2----1A---- států/stát/NNIP2-----A---- a/a/J^------------- první/první/CrMS1---------- americký/americký/AAMS1----1A---- prezident/prezident/NNMS1-----A---- měl/mít/VpMS----R-AAI--";"slabost/slabost/NNFS4-----A---- pro/pro/RR--4---------- domácí/domácí/AANP4----1A---- americká/americký/AANP4----1A---- plemena/plemeno/NNNP4-----A---- -/-/Z:------------- choval/chovat/VpMS----R-AAI--";"černotříslové/černotříslový/AAFP4----1A---- coonhoundy/coonhoundy/X@------------- ,/,/Z:------------- které/který/P4FP4---------- využíval/využívat/VpMS----R-AAI-- k/k/RR--3---------- lovu/lov/NNIS3-----A---- ,/,/Z:------------- nebo/nebo/J^------------- psy/pes/NNMP4-----A---- z/z/RR--2---------- plemene/plemeno/NNNS2-----A---1 american/american/F%------------- staghound/staghound/X@------------- ././Z:-------------"
"2";"František/František/NNMS1-----A---- pro/pro/RR--4---------- svoji/svůj/P8FS4---------- tělesnou/tělesný/AAFS4----1A----";"slabost/slabost/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";"naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- do/do/RR--2---------- pole/pole/NNNS2-----A---- nepůjde/jít/VB-S---3F-NAI-- ././Z:-------------"
"3";"„/""/Z:------------- Nevím/vědět/VB-S---1P-NAI-- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- -/-/Z0------------- li/li/J,------------- skladatel/skladatel/NNMS1-----A---- pro/pro/RR--4---------- slepice/slepice/NNFP4-----A---- nějakou/nějaký/PZFS4---------- zvláštní/zvláštní/AAFS4----1A----";"slabost/slabost/NNFS4-----A---- ,/,/Z:------------- ale/ale/J^------------- tady/tady/Db------------- na/na/RR--6---------- zahradě/zahrada/NNFS6-----A---- v/v/RR--6---------- centru/centrum/NNNS6-----A---- města/město/NNNS2-----A---- ,/,/Z:------------- což/co/PE--1---------- je/být/VB-S---3P-AAI-- dnes/dnes/Db------------- těžko/těžko/Dg-------1A---- uvěřitelné/uvěřitelný/AANS1----1A---- ,/,/Z:------------- Janáčkovi/Janáček/NNMS3-----A---- malý/malý/AAIS1----1A---- houf/houf/NNIS1-----A---- slepic/slepice/NNFP2-----A---- chovali/chovat/VpMP----R-AAI--";"././Z:-------------"
"4";"Jinak/jinak/Db------------- mají/mít/VB-P---3P-AAI-- pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- nesmějí/smět/VB-P---3P-NAI-- ukázat/ukázat/Vf--------A-P-- žádnou/žádný/PWFS4----------";"slabost/slabost/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- snaží/snažit/VB-P---3P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- tvrďáci/tvrďák/NNMP1-----A---- ,/,/Z:------------- které/který/P4MP4---------- nic/nic/PW--1---------- nerozhází/rozházet/VB-S---3P-NAP-- ././Z:-------------"
"5";"Nedal/dát/VpMS----R-NAP-- na/na/RR--6---------- sobě/se/P6--6---------- znát/znát/Vf--------A-I--";"slabost/slabost/NNFS4-----A---- ,/,/Z:------------- nedovolil/dovolit/VpMS----R-NAP-- nikomu/nikdo/PWM-3---------- nahlédnout/nahlédnout/Vf--------A-P-- do/do/RR--2---------- svého/svůj/P8NS2---------- nitra/nitro/NNNS2-----A---- ,/,/Z:------------- choval/chovat/VpMS----R-AAI--";"se/se/P7--4---------- až/až/TT------------- překvapivě/překvapivě/Dg-------1A---- statečně/statečně/Dg-------1A---- ././Z:-------------"
"6";"Mohli/moci/VpMP----R-AAI-- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- všichni/všechen/PLMP1---------- schovat/schovat/Vf--------A-P-- nebo/nebo/J^------------- na/na/RR--4---------- chvíli/chvíle/NNFS4-----A---- zmizet/zmizet/Vf--------A-P-- dolu/důl/NNIS2-----A---- do/do/RR--2---------- Piperville/Piperville/X@------------- ,/,/Z:------------- jenže/jenže/J^------------- na/na/RR--6---------- půdě/půda/NNFS6-----A---- byl/být/VpMS----R-AAI-- děda/děda/NNMS1-----A---- ,/,/Z:------------- a/a/J^------------- já/já/PP-S1--1------- mám/mít/VB-S---1P-AAI-- celkem/celkem/Db-------------";"slabost/slabost/NNFS4-----A---- pro/pro/RR--4---------- toho/ten/PDMS4---------- malýho/malý/AAMS4----1A---6 pofresora/pofresora/X@------------- ,/,/Z:------------- co/co/J,------------- ho/on/PHMS4--3------- chováme/chovat/VB-P---1P-AAI--";"v/v/RR--6---------- láhvi/láhev/NNFS6-----A---- ././Z:-------------"
"7";"Zdálo/zdát/VpNS----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- má/mít/VB-S---3P-AAI-- stále/stále/Dg-------1A---- pro/pro/RR--4---------- svoji/svůj/P8FS4---------- manželku/manželka/NNFS4-----A----";"slabost/slabost/NNFS4-----A---- ,/,/Z:------------- protože/protože/J,------------- jinak/jinak/Db------------- by/být/Vc----------I-- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- nechoval/chovat/VpMS----R-NAI--";"tak/tak/Db------------- pěkně/pěkně/Dg-------1A---- ././Z:-------------"
"8";"Jayne/Jayne/NNFS1-----A---- měla/mít/VpFS----R-AAI-- velkou/velký/AAFS4----1A----";"slabost/slabost/NNFS4-----A---- pro/pro/RR--4---------- zvířátka/zvířátko/NNNP4-----A---- ,/,/Z:------------- chovala/chovat/VpFS----R-AAI--";"celou/celý/AAFS4----1A---- smečku/smečka/NNFS4-----A---- psů/pes/NNMP2-----A---- ,/,/Z:------------- která/který/P4FS1---------- měla/mít/VpFS----R-AAI-- na/na/RR--6---------- zahradě/zahrada/NNFS6-----A---- velký/velký/AAIS4----1A---- výběh/výběh/NNIS4-----A---- s/s/RR--7---------- boudami/bouda/NNFP7-----A---- ././Z:-------------"
"9";"Jsou/být/VB-P---3P-AAI-- trochu/trochu/Db------------- jako/jako/J,------------- Michel/Michel/NNMS1-----A---- Montaigne/Montaigne/NNMS1-----A---- ve/v/RV--6---------- Francii/Francie/NNFS6-----A---- před/před/RR--7---------- pár/pár/Db------------- stoletími/století/NNNP7-----A---- ,/,/Z:------------- který/který/P4MS1---------- dokázal/dokázat/VpMS----R-AAP-- popsat/popsat/Vf--------A-P-- naše/náš/PSIP4-P1------- sny/sen/NNIP4-----A---- a/a/J^------------- naše/náš/PSFP4-P1-------";"slabosti/slabost/NNFP4-----A---- ,/,/Z:------------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- přemýšlíme/přemýšlet/VB-P---1P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- chováme/chovat/VB-P---1P-AAI--";",/,/Z:------------- koho/kdo/PKM-4---------- milujeme/milovat/VB-P---1P-AAI-- ././Z:-------------"
"10";"Opět/opět/Db------------- jiný/jiný/AAMS1----1A---- se/se/P7--4---------- pro/pro/RR--4----------";"slabost/slabost/NNFS4-----A---- vůle/vůle/NNFS2-----A---- kloní/klonit/VB-S---3P-AAI-- jednou/jednou/Cv------------- k/k/RR--3---------- pohlavní/pohlavní/AAFS3----1A---- zdrženlivosti/zdrženlivost/NNFS3-----A---- a/a/J^------------- pak/pak/Db------------- zase/zase/Db------------- tento/tento/PDIS4---------- postoj/postoj/NNIS4-----A---- změní/změnit/VB-S---3P-AAP-- ,/,/Z:------------- protože/protože/J,------------- se/se/P7--4---------- nezná/znát/VB-S---3P-NAI-- a/a/J^------------- tím/ten/PDNS7---------- mu/on/PHMS3--3------- napadá/napadat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--";"tak/tak/Db------------- nebo/nebo/J^------------- onak/onak/Db------------- ,/,/Z:------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- mu/on/PHMS3--3------- okamžité/okamžitý/AANS4----1A---- chování/chování/NNNS4-----A---- diktují/diktovat/VB-P---3P-AAI-- jeho/jeho/PSIP1-S3------- sklony/sklon/NNIP1-----A---- ././Z:-------------"
