id;left;kwic;right;VNP?;doc.txtype_group
1;Aby/aby|být/J,-------------|Vc----------I-- ne/ne/TT------------- ,/,/Z:------------- když/když/J,------------- v/v/RR--6---------- duchu/duch/NNIS6-----A---- eklektické/eklektický/AAFS2----1A---- logiky/logika/NNFS2-----A---- býval/bývat/VpMS----R-AAI-- Hung/Hung/NNMS1-----A---- v/v/RR--6---------- mládí/mládí/NNNS6-----A---- notorickým/notorický/AAMS7----1A---- fanouškem/fanoušek/NNMS7-----A---- elektronického/elektronický/AAIS2----1A---- destruktora/destruktor/NNIS2-----A---1 Aphexe/Aphex/NNIS2-----A---- Twina/Twin/NNMS2-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- Power/Power/F%-------------;choval/chovat/VpIS----R-AAI-- slabost/slabost/NNFS4-----A----;pro/pro/RR--4---------- instrumentální/instrumentální/AAFP4----1A---- plochy/plocha/NNFP4-----A---- postrockových/postrockový/AANP2----1A---- Mogwai/Mogwai/X@------------- ././Z:-------------;1;NMG: publicistika
2;Václav/Václav/NNMS1-----A---- III/III/C}------------- ././Z0------------- se/se/P7--4---------- na/na/RR--6---------- počátku/počátek/NNIS6-----A---- své/svůj/P8FS2---------1 vlády/vláda/NNFS2-----A---- příliš/příliš/Db------------- vladařsky/vladařsky/Dg-------1A----;nechoval/chovat/VpMS----R-NAI-- a/a/J^------------- jeho/jeho/PSNS1-S3------- jednání/jednání/NNNS1-----A---- ,/,/Z:------------- rozdělující/rozdělující/AGNS1-----A---- šlechtickou/šlechtický/AAFS4----1A---- obec/obec/NNFS4-----A---- na/na/RR--4---------- obdarovávané/obdarovávaný/AAMP4----1A---- stoupence/stoupenec/NNMP4-----A---- a/a/J^------------- na/na/RR--4---------- okraj/okraj/NNIS4-----A---- dění/dění/NNNS2-----A---- odstrkávané/odstrkávaný/AAMP4----1A---- jedince/jedinec/NNMP4-----A---- ,/,/Z:------------- mohlo/moci/VpNS----R-AAI-- po/po/RR--6---------- jeho/jeho/PSFS6-S3------- smrti/smrt/NNFS6-----A---- zapříčinit/zapříčinit/Vf--------A-P-- téměř/téměř/Db------------- bratrovražedné/bratrovražedný/AANS4----1A---- napětí/napětí/NNNS4-----A---- mezi/mezi/RR--7---------- znepřátelenými/znepřátelený/AAFP7----1A---- stranami/strana/NNFP7-----A---- ,/,/Z:------------- jež/jenž/PJFP1---------- využívaly/využívat/VpFP----R-AAI-- mocenské/mocenský/AAFP4----1A---- slabosti/slabost/NNFP4-----A----;všech/všechen/PLMP2---------- jeho/jeho/PSMP2-S3------- nástupců/nástupce/NNMP2-----A---- ,/,/Z:------------- Rudolfa/Rudolf/NNMS4-----A---- Habsburského/Habsburský/NNMS4-----A---- ,/,/Z:------------- Jindřicha/Jindřich/NNMS4-----A---- Korutanského/Korutanský/NNMS4-----A---- a/a/J^------------- po/po/RR--4---------- mnoho/mnoho/Ca--4---------- let/rok/NNNP2-----A---- i/i/J^------------- Jana/Jan/NNMS4-----A---- Lucemburského/lucemburský/AAMS4----1A---- ././Z:-------------;0;NMG: publicistika
3;Ten/ten/PDMS1---------- přiznává/přiznávat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,-------------;chová/chovat/VB-S---3P-AAI-- pro/pro/RR--4---------- historii/historie/NNFS4-----A---- vinohradnictví/vinohradnictví/NNNS2-----A---- slabost/slabost/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
4;Americká/americký/AAFS1----1A---- psycholožka/psycholožka/NNFS1-----A---- Gloria/Glorie/NNFS1-----A---1 Leonová/Leonová/NNFS1-----A---- studovala/studovat/VpFS----R-AAI-- různě/různě/Dg-------1A---- namíchané/namíchaný/AAFP4----1A---- polární/polární/AAFP4----1A---- výpravy/výprava/NNFP4-----A---- a/a/J^------------- zjistila/zjistit/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- jsou/být/VB-P---3P-AAI-- v/v/RR--6---------- týmu/tým/NNIS6-----A---- přítomny/přítomný/ACFP------A---- ženy/žena/NNFP1-----A---- ,/,/Z:------------- muži/muž/NNMP1-----A---- se/se/P7--4----------;chovají/chovat/VB-P---3P-AAI-- odpovědněji/odpovědně/Dg-------2A---- a/a/J^------------- častěji/často/Dg-------2A---- vyjadřují/vyjadřovat/VB-P---3P-AAI-- emoce/emoce/NNFP4-----A---- –/-/Z:------------- v/v/RR--6---------- čistě/čistě/Dg-------1A---- mužském/mužský/AAIS6----1A---- kolektivu/kolektiv/NNIS6-----A---- by/být/Vc----------I-- to/ten/PDNS4---------- neudělali/udělat/VpMP----R-NAP-- z/z/RR--2---------- obavy/obava/NNFS2-----A---- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- bude/být/VB-S---3F-AAI-- považováno/považovat/VsNS------API-- za/za/RR--4---------- slabost/slabost/NNFS4-----A----;././Z:-------------;0;NMG: publicistika
5;Tušil/tušit/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- ,/,/Z:------------- jak/jak/Db------------- mu/on/PHMS3--3------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- protože/protože/J,------------- ačkoli/ačkoli/J,------------- se/se/P7--4----------;choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- našim/náš/PSMP3-P1------- pacientům/pacient/NNMP3-----A---- s/s/RR--7---------- veselou/veselý/AAFS7----1A---- bravurou/bravura/NNFS7-----A---- ,/,/Z:------------- neoklamal/oklamat/VpMS----R-NAP-- mě/já/PH-S4--1------- v/v/RR--6---------- jednom/jeden/ClNS6---------- -/-/Z:------------- měl/mít/VpMS----R-AAI-- slabost/slabost/NNFS4-----A----;pro/pro/RR--4---------- kočky/kočka/NNFP4-----A---- ././Z:-------------;0;FIC: beletrie
6;K/k/RR--3---------- ženám/žena/NNFP3-----A---- se/se/P7--4---------- vždy/vždy/Db-------------;choval/chovat/VpMS----R-AAI-- s/s/RR--7---------- obrovskou/obrovský/AAFS7----1A---- a/a/J^------------- neskrývanou/skrývaný/AAFS7----1N---- úctou/úcta/NNFS7-----A---- ,/,/Z:------------- ačkoliv/ačkoli/J,------------- neměl/mít/VpMS----R-NAI-- vůbec/vůbec/TT------------- smysl/smysl/NNIS4-----A---- pro/pro/RR--4---------- jejich/jejich/PSFP4-P3------- slabosti/slabost/NNFP4-----A----;-/-/Z:------------- kňourání/kňourání/NNNS4-----A---- ,/,/Z:------------- bolesti/bolest/NNFP4-----A---- hlavy/hlava/NNFS2-----A---- ,/,/Z:------------- nechutenství/nechutenství/NNNS1-----A---- a/a/J^------------- pláč/pláč/NNIS4-----A---- ho/on/PHMS4--3------- rozčilovaly/rozčilovat/VpFP----R-AAI-- ././Z:-------------;0;FIC: beletrie
7;,/,/Z:------------- který/který/P4MS1---------- byl/být/VpMS----R-AAI-- také/také/Db------------- velký/velký/AAMS1----1A---- básník/básník/NNMS1-----A---- ,/,/Z:------------- pak/pak/Db------------- se/se/P7--4---------- zbláznila/zbláznit/VpFS----R-AAP-- do/do/RR--2---------- knížete/kníže/NNMS2-----A---- Hermanna/Hermann/NNMS2-----A---- von/von/F%------------- Pückler/Pückler/NNMS1-----A---- -/-/Z0------------- Muskau/Muskau/X@------------- ,/,/Z:------------- který/který/P4MS1---------- sice/sice/J^------------- nebyl/být/VpMS----R-NAI-- velký/velký/AAMS1----1A---- básník/básník/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- psal/psát/VpMS----R-AAI-- knihy/kniha/NNFP4-----A---- (/(/Z:------------- byl/být/VpMS----R-AAI-- to/ten/PDNS1---------- ostatně/ostatně/TT------------- on/on/PPMS1--3------- ,/,/Z:------------- jemuž/jenž/PJMS3---------- je/být/VB-S---3P-AAI-- věnována/věnovat/VsFS------APB-- Korespondence/korespondence/NNFS1-----A---- Goetha/Goethe/NNMS2-----A---- s/s/RR--7---------- dítětem/dítě/NNNS7-----A---- )/)/Z:------------- ,/,/Z:------------- pak/pak/Db------------- ,/,/Z:------------- když/když/J,------------- už/už/Db------------- jí/on/PPFS3--3------- bylo/být/VpNS----R-AAI-- padesát/padesát/Cn-S1---------- ,/,/Z:-------------;"chovala/chovat/VpFS----R-AAI-- mateřsko-erotické/mateřsko-erotický/AAIP4----1A---- city/cit/NNIP4-----A---- k/k/RR--3---------- dvěma/dva/ClMP3---------- mladíkům/mladík/NNMP3-----A---- ,/,/Z:------------- Philippovi/Philipp/NNMS3-----A---- Nathusiusovi/Nathusiusovi/X@------------- a/a/J^------------- Juliusu/Juliusu/X@------------- Döringovi/Döring/NNMS3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- nepsali/psát/VpMP----R-NAI-- knihy/kniha/NNFP4-----A---- ,/,/Z:------------- ale/ale/J^------------- vyměňovali/vyměňovat/VpMP----R-AAI-- si/se/P7--3---------- s/s/RR--7---------- ní/on/P5FS7--3------- dopisy/dopis/NNIP4-----A---- (/(/Z:------------- tu/ten/PDFS4---------- korespondenci/korespondence/NNFS4-----A---- také/také/Db------------- částečně/částečně/Dg-------1A---- zveřejnila/zveřejnit/VpFS----R-AAP-- )/)/Z:------------- ,/,/Z:------------- obdivovala/obdivovat/VpFS----R-AAI-- se/se/P7--4---------- Karlu/Karel/NNMS3-----A---1 Marxovi/Marx/NNMS3-----A---1 ,/,/Z:------------- kterého/který/P4MS4---------- donutila/donutit/VpFS----R-AAP-- jít/jít/Vf--------A-I-- jednou/jednou/Cv------------- na/na/RR--4---------- dlouhou/dlouhý/AAFS4----1A---- noční/noční/AAFS4----1A---- procházku/procházka/NNFS4-----A---- ve/v/RV--6---------- dvou/dva/ClMP6---------- ,/,/Z:------------- když/když/J,------------- byla/být/VpFS----R-AAI-- na/na/RR--6---------- návštěvě/návštěva/NNFS6-----A---- u/u/RR--2---------- jeho/jeho/PSFS2-S3------- snoubenky/snoubenka/NNFS2-----A---- Jenny/Jenny/NNFS1-----A---- (/(/Z:------------- Marxovi/Marx/NNMS3-----A---1 se/se/P7--4---------- na/na/RR--4---------- procházku/procházka/NNFS4-----A---- nechtělo/chtít/VpNS----R-NAI-- ,/,/Z:------------- toužil/toužit/VpMS----R-AAI-- být/být/Vf--------A-I-- s/s/RR--7---------- Jenny/Jenny/NNFS7-----A---- a/a/J^------------- ne/ne/TT------------- s/s/RR--7---------- Bettinou/Bettina/NNFS7-----A---- ;/;/Z:------------- ale/ale/J^------------- ani/ani/J^------------- ten/ten/PDMS1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- byl/být/VpMS----R-AAI-- s/s/RR--4---------- to/ten/PDNS4---------- obrátit/obrátit/Vf--------A-P-- vzhůru/vzhůru/Db------------- nohama/noha/NNFD7-----A---- celý/celý/AAIS4----1A---- svět/svět/NNIS4-----A---- ,/,/Z:------------- nebyl/být/VpMS----R-NAI-- s/s/RR--4---------- to/ten/PDNS4---------- čelit/čelit/Vf--------A-I-- ženě/žena/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- tykala/tykat/VpFS----R-AAI-- Goethovi/Goethe/NNMS3-----A---- )/)/Z:------------- ,/,/Z:------------- měla/mít/VpFS----R-AAI-- slabost/slabost/NNFS4-----A----";pro/pro/RR--4---------- Franze/Franz/NNMS4-----A---- Liszta/Liszt/NNMS4-----A---- ,/,/Z:------------- ale/ale/J^------------- jen/jen/Db------------- prchavě/prchavě/Dg-------1A---- ,/,/Z:------------- protože/protože/J,------------- ji/on/PPFS4--3------- pohoršilo/pohoršit/VpNS----R-AAP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- Liszt/Liszt/NNMS1-----A---- neumí/umět/VB-S---3P-NAI-- starat/starat/Vf--------A-I-- než/než/J,------------- o/o/RR--4---------- vlastní/vlastní/AAFS4----1A---- slávu/sláva/NNFS4-----A---- ,/,/Z:------------- snažila/snažit/VpFS----R-AAI-- se/se/P7--4---------- vášnivě/vášnivě/Dg-------1A---- pomoci/pomoci/Vf--------A-P-- duševně/duševně/Dg-------1A---- nemocnému/nemocný/AAMS3----1A---- malíři/malíř/NNMS3-----A---- Karlu/Karel/NNMS3-----A---1 Blecherovi/Blecher/NNMS3-----A---- (/(/Z:------------- jeho/jeho/PSFS7-S3------- ženou/žena/NNFS7-----A---- opovrhovala/opovrhovat/VpFS----R-AAI-- neméně/málo/Dg-------2N---- než/než/J,------------- kdysi/kdysi/Db------------- paní/paní/NNFS4-----A---- Goethovou/Goethův/AUFS7M--------- )/)/Z:------------- ,/,/Z:------------- dala/dát/VpFS----R-AAP-- se/se/P7--4---------- do/do/RR--2---------- korespondence/korespondence/NNFS2-----A---- s/s/RR--7---------- dědicem/dědic/NNMS7-----A---- saského/saský/AAIS2----1A---- a/a/J^-------------;0;FIC: beletrie
8;Nicméně/nicméně/J^------------- už/už/Db------------- v/v/RR--6---------- 17/17/C=------------- ././Z0------------- století/století/NNNS6-----A---- byli/být/VpMP----R-AAI--;chováni/chovat/VsMP------API-- v/v/RR--6---------- císařské/císařský/AAFS6----1A---- oboře/obora/NNFS6-----A---- u/u/RR--2---------- Vídně/Vídeň/NNFS2-----A---- ,/,/Z:------------- panovník/panovník/NNMS1-----A---- František/František/NNMS1-----A---- Josef/Josef/NNMS1-----A---- I/I/C}------------- ././Z0------------- měl/mít/VpMS----R-AAI-- pro/pro/RR--4---------- vše/všechen/PLNS4---------1 kolem/kolem/RR--2---------- lovu/lov/NNIS2-----A---- slabost/slabost/NNFS4-----A----;././Z:-------------;0;NMG: publicistika
9;Výpověď/výpověď/NNFS1-----A----;chovala/chovat/VpFS----R-AAI-- slabost/slabost/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
10;;chovala/chovat/VpFS----R-AAI-- pro/pro/RR--4---------- tebe/ty/PP-S4--2------- slabost/slabost/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
