id;left;kwic;right
"1";"Před/před/RR--7---------- bezpečnostními/bezpečnostní/AAIP7----1A---- problémy/problém/NNIP7-----A---- Facebooku/Facebook/NNIS2-----A---- dlouho/dlouho/Dg-------1A---- varují/varovat/VB-P---3P-AAI-- orgány/orgán/NNIP1-----A---- Evropské/evropský/AAFS2----1A---- unie/unie/NNFS2-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- vřelé/vřelý/AAFP4----1A----";"sympatie/sympatie/NNFP4-----A---- k/k/RR--3---------- němu/on/P5IS3--3------- naopak/naopak/TT------------- chovají/chovat/VB-P---3P-AAI--";"ruští/ruský/AAMP1----1A---- podnikatelé/podnikatel/NNMP1-----A---- ././Z:-------------"
"2";"O/o/RR--4---------- mnoho/mnoho/Ca--4---------- let/rok/NNNP2-----A---- později/pozdě/Dg-------2A---- jsem/být/VB-S---1P-AAI-- měl/mít/VpMS----R-AAI-- příležitost/příležitost/NNFS4-----A---- znovu/znovu/Db------------- pozorovat/pozorovat/Vf--------A-I-- onen/onen/PDIS4---------- zvláštní/zvláštní/AAIS4----1A---- jev/jev/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- stojí/stát/VB-P---3P-AAI-- zdánlivě/zdánlivě/Dg-------1A---- na/na/RR--6---------- vaší/váš/PSFS6-P2------- straně/strana/NNFS6-----A---- ,/,/Z:------------- souhlasí/souhlasit/VB-P---3P-AAI-- s/s/RR--7---------- vámi/vy/PP-P7--2------- ,/,/Z:------------- dokonce/dokonce/TT------------- vám/vy/PP-P3--2------- projevují/projevovat/VB-P---3P-AAI--";"sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- leč/leč/J^------------- ve/v/RV--6---------- skutečnosti/skutečnost/NNFS6-----A---- se/se/P7--4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- chovají/chovat/VB-P---3P-AAI--";"hůře/špatně/Dg-------2A---- než/než/J,------------- oficiální/oficiální/AAFS1----1A---- vládnoucí/vládnoucí/AGFS1-----A---- skupina/skupina/NNFS1-----A---- ././Z:-------------"
"3";"Bývalý/bývalý/AAMS1----1A---- šéf/šéf/NNMS1-----A---- polské/polský/AAFS2----1A---- diplomacie/diplomacie/NNFS2-----A---- Bronislaw/Bronislav/NNMS1-----A---- Geremek/Geremek/NNMS1-----A---- tento/tento/PDIS4---------- týden/týden/NNIS4-----A---- varoval/varovat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- jeho/jeho/PSFS1-S3------- země/země/NNFS1-----A---- ztrácí/ztrácet/VB-S---3P-AAI-- všechny/všechen/PLFP4----------";"sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- k/k/RR--3---------- ní/on/P5FS3--3------- Západ/západ/NNIS1-----A---- choval/chovat/VpIS----R-AAI--";"././Z:-------------"
"4";"Ani/ani/J^------------- rozpad/rozpad/NNIS1-----A---- jejich/jejich/PSIS2-P3------- vztahu/vztah/NNIS2-----A---- však/však/J^------------- nesnížil/snížit/VpIS----R-NAP--";"sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- k/k/RR--3---------- němu/on/P5MS3--3------- prezident/prezident/NNMS1-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"5";"Ale/ale/J^------------- i/i/J^------------- přes/přes/RR--4---------- všechny/všechen/PLFP4---------- ty/ten/PDFP4---------- příjemné/příjemný/AAFP4----1A----";"sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP1---------- k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db------------- chovají/chovat/VB-P---3P-AAI--";",/,/Z:------------- málokdy/málokdy/Db------------- spolu/spolu/Db------------- mluví/mluvit/VB-P---3P-AAI-- soukromě/soukromě/Dg-------1A---- ././Z:-------------"
"6";"Pan/pán/NNMS1-----A---- Inocenc/Inocenc/NNMS1-----A---- byl/být/VpMS----R-AAI-- ve/v/RV--6---------- svém/svůj/P8IS6---------- soudu/soud/NNIS6-----A---1 umírněnější/umírněný/AAFS1----2A---- než/než/J,------------- já/já/PP-S1--1------- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- zvláštní/zvláštní/AAFP4----1A----";"sympatie/sympatie/NNFP4-----A---- pro/pro/RR--4---------- kardinála/kardinál/NNMS4-----A---- Pierra/Pierre/NNMS4-----A---- také/také/Db------------- nechoval/chovat/VpMS----R-NAI--";",/,/Z:------------- třebaže/třebaže/J,------------- snáze/snadno/Dg-------2A---1 než/než/J,------------- já/já/PP-S1--1------- uznával/uznávat/VpMS----R-AAI-- jeho/jeho/PSFP4-S3------- dobré/dobrý/AAFP4----1A---- vlastnosti/vlastnost/NNFP4-----A---- ,/,/Z:------------- kterých/který/P4FP2---------- nebylo/být/VpNS----R-NAI-- málo/málo/Dg-------1A---- ././Z:-------------"
"7";"Dvořákovým/Dvořákův/AUIS7M--------- největším/velký/AAIS7----3A---- handicapem/handicap/NNIS7-----A---- u/u/RR--2---------- soudu/soud/NNIS2-----A---- bude/být/VB-S---3F-AAI-- ,/,/Z:------------- že/že/J,------------- jeho/jeho/PSFS1-S3------- žena/žena/NNFS1-----A---- dokázala/dokázat/VpFS----R-AAP-- v/v/RR--6---------- lidech/člověk/NNMP6-----A---- nabuzovat/nabuzovat/Vf--------A-I--";"sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- se/se/P7--4---------- někdy/někdy/Db------------- nechovala/chovat/VpFS----R-NAI--";"právě/právě/Db------------- nejlíp/dobře/Dg-------3A---- ,/,/Z:------------- zatímco/zatímco/J,------------- Dvořák/Dvořák/NNMS1-----A---- má/mít/VB-S---3P-AAI-- dar/dar/NNIS4-----A---- jít/jít/Vf--------A-I-- lidem/člověk/NNMP3-----A---- na/na/RR--4---------- nervy/nerv/NNIP4-----A---- ././Z:-------------"
"8";"Stejné/stejný/AAFP4----1A----";"sympatie/sympatie/NNFP4-----A---- Iva/Iva/NNFS1-----A---- chová/chovat/VB-S---3P-AAI--";"k/k/RR--3---------- Boženě/Božena/NNFS3-----A---- Němcové/Němcová/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- dívá/dívat/VB-S---3P-AAI-- z/z/RR--2---------- obrázků/obrázek/NNIP2-----A---- a/a/J^------------- ze/z/RV--2---------- skříně/skříň/NNFS2-----A---- ,/,/Z:------------- na/na/RR--6---------- níž/jenž/P9FS6---------- se/se/P7--4---------- usadila/usadit/VpFS----R-AAP-- sbírka/sbírka/NNFS1-----A---- spisovatelčiných/spisovatelčin/AUFP2F--------- bust/busta/NNFP2-----A---- ././Z:-------------"
"9";"Proto/proto/Db------------- ponejvíce/ponejvíce/Db------------- černošská/černošský/AAFS1----1A---- část/část/NNFS1-----A---- obyvatelstva/obyvatelstvo/NNNS2-----A---- je/být/VB-S---3P-AAI-- SRC/SRC/BN------------- nakloněna/naklonit/VsFS------APP-- ,/,/Z:------------- zatímco/zatímco/J,------------- bělošská/bělošský/AAFS1----1A---- část/část/NNFS1-----A---- tyto/tento/PDFP4----------";"sympatie/sympatie/NNFP4-----A---- nechová/chovat/VB-S---3P-NAI--";"././Z:-------------"
"10";"Velké/velký/AAFP4----1A----";"sympatie/sympatie/NNFP4-----A---- k/k/RR--3---------- sobě/se/P6--3---------- chovají/chovat/VB-P---3P-AAI--";"i/i/J^------------- lékaři/lékař/NNMP1-----A---- kamenické/kamenický/AAFS2----1A---- nemocnice/nemocnice/NNFS2-----A---- ././Z:-------------"
