id;left;kwic;right;VNP?;doc.txtype_group
1;Jako/jako/J,------------- nejsympatičtější/sympatický/AAFS4----3A---- evropskou/evropský/AAFS4----1A---- velmoc/velmoc/NNFS4-----A---- Češi/Čech/NNMP1-----A---- uvedli/uvést/VpMP----R-AAP-- Francii/Francie/NNFS4-----A---- ,/,/Z:------------- k/k/RR--3---------- níž/jenž/P9FS3----------;chovají/chovat/VB-P---3P-AAI-- dlouhodobé/dlouhodobý/AAFP1----1A---- sympatie/sympatie/NNFP4-----A----;././Z:-------------;1;NMG: publicistika
2;Většina/většina/NNFS1-----A---- lidí/člověk/NNMP2-----A----;nechová/chovat/VB-S---3P-NAI-- nijak/nijak/Db------------- zvlášť/zvlášť/TT------------- velké/velký/AAFP4----1A---- sympatie/sympatie/NNFP4-----A----;"k/k/RR--3---------- můrám/můra/NNFP3-----A---- ,/,/Z:------------- lučním/luční/AAFP3----1A---- kobylkám/kobylka/NNFP3-----A---- a/a/J^------------- podobně/podobně/Dg-------1A---- ;/;/Z:------------- ale/ale/J^------------- dovedou/dovést/VB-P---3P-AAP-- se/se/P7--4---------- „/""/Z:------------- opanovat/opanovat/Vf--------A-P-- “/""/Z:------------- a/a/J^------------- vyhodí/vyhodit/VB-P---3P-AAP-- je/oni/PPFP4--3------- z/z/RR--2---------- okna/okno/NNNS2-----A---- ,/,/Z:------------- když/když/J,------------- jim/oni/PPFP3--3------- doma/doma/Db------------- vadí/vadit/VB-S---3P-AAI-- ././Z:-------------";1;NMG: publicistika
3;Wilders/Wilders/NNMS1-----A---- proslul/proslout/VpMS----R-AAP-- například/například/TT------------- výrokem/výrok/NNIS7-----A---- ,/,/Z:------------- že/že/J,------------- pět/pět/Cn-S1---------- až/až/J^------------- 15/15/C=------------- procent/procento/NNNP2-----A---- všech/všechen/PLMP2---------- nizozemských/nizozemský/AAMP2----1A---- muslimů/muslim/NNMP2-----A----;chová/chovat/VB-S---3P-AAI-- sympatie/sympatie/NNFP4-----A----;k/k/RR--3---------- radikálnímu/radikální/AAIS3----1A---- islámu/islám/NNIS3-----A---- ././Z:-------------;1;NMG: publicistika
4;Prakticky/prakticky/Dg-------1A---- všechny/všechen/PLIP1---------- známé/známý/AAIP1----1A---- národy/národ/NNIP1-----A---- psy/pes/NNMP4-----A----;chovaly/chovat/VpIP----R-AAI-- ,/,/Z:------------- byť/byť/J,------------- vřelé/vřelý/AAFP4----1A---- sympatie/sympatie/NNFP4-----A----;k/k/RR--3---------- nim/oni/P5MP3--3------- pociťovala/pociťovat/VpFS----R-AAI-- jen/jen/Db------------- část/část/NNFS4-----A---- kultur/kultura/NNFP2-----A---- ././Z:-------------;0;NFC: oborová literatura
5;Ovšem/ovšem/TT------------- také/také/Db------------- bývalý/bývalý/AAMS1----1A---- brazilský/brazilský/AAMS1----1A---- prezident/prezident/NNMS1-----A---- Lula/Lula/NNMS1-----A---- či/či/J^------------- bývalá/bývalý/AAFS1----1A---- prezidentka/prezidentka/NNFS1-----A---- Dilma/Dilma/NNFS1-----A---- Rouseffová/Rouseffová/X@-------------;chovají/chovat/VB-P---3P-AAI-- vůči/vůči/RR--3---------- Kubě/Kuba/NNFS3-----A---- sympatie/sympatie/NNFP4-----A----;././Z:-------------;1;NMG: publicistika
6;Slyšel/slyšet/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- prý/prý/TT------------- sice/sice/J^------------- existují/existovat/VB-P---3P-AAI-- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- o/o/RR--6---------- které/který/P4MP4---------- má/mít/VB-S---3P-AAI-- policie/policie/NNFS1-----A---- zájem/zájem/NNIS4-----A---- a/a/J^------------- které/který/P4IP4---------- by/být/Vc----------I-- i/i/J^------------- vzala/vzít/VpFS----R-AAP-- do/do/RR--2---------- vazby/vazba/NNFS2-----A---- ,/,/Z:------------- ale/ale/J^------------- jsem/být/VB-S---1P-AAI-- přesvědčen/přesvědčit/VsMS------APP-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- řidičům/řidič/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- překročí/překročit/VB-P---3P-AAP-- dovolenou/dovolený/AAFS4----1A---- rychlost/rychlost/NNFS4-----A---- ,/,/Z:-------------;chovají/chovat/VB-P---3P-AAI-- sympatie/sympatie/NNFP4-----A----;";/;/Z:------------- a/a/J^------------- vůbec/vůbec/TT------------- neocení/ocenit/VB-P---3P-NAP-- občany/občan/NNMP4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- jim/oni/PPMP3--3------- je/oni/PPMP4--3------- nahrávají/nahrávat/VB-P---3P-AAI-- k/k/RR--3---------- zadržení/zadržení/NNNS3-----A---- ././Z:-------------";1;FIC: beletrie
7;Připomínala/připomínat/VpFS----R-AAI-- mi/já/PH-S3--1------- vážného/vážný/AAMS4----1A---- chrobáka/chrobák/NNMS4-----A---- ,/,/Z:------------- hmyz/hmyz/NNIS4-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9IS3---------- jsem/být/VB-S---1P-AAI--;choval/chovat/VpMS----R-AAI-- velké/velký/AAFP4----1A---- sympatie/sympatie/NNFP4-----A----;././Z:-------------;1;FIC: beletrie
8;Přijdou/přijít/VB-P---3P-AAP-- natěšení/natěšený/AAMP1----1A---- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1----------;chovají/chovat/VB-P---3P-AAI-- třeba/třeba/TT------------- sympatie/sympatie/NNFP4-----A----;k/k/RR--3---------- zakladateli/zakladatel/NNMS3-----A---- ČKD/ČKD/BN------------- průmyslníku/průmyslník/NNMS3-----A---1 Čeňku/Čeněk/NNMS3-----A---1 Daňkovi/Daněk/NNMS3-----A---- a/a/J^------------- rádi/rád/ACMP------A---- by/být/Vc----------I-- jeho/jeho/PSFS4-S3------- opuštěnou/opuštěný/AAFS4----1A---- hrobku/hrobka/NNFS4-----A---- nechali/nechat/VpMP----R-AAP-- upravit/upravit/Vf--------A-P-- ././Z:-------------;1;NMG: publicistika
9;Tady/tady/Db------------- máme/mít/VB-P---1P-AAI-- někoho/někdo/PZM-4---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- asi/asi/TT-------------;chová/chovat/VB-S---3P-AAI-- tajné/tajný/AAFP4----1A---- sympatie/sympatie/NNFP4-----A----;k/k/RR--3---------- domnělé/domnělý/AAFS3----1A---- zákonné/zákonný/AAFS3----1A---- moci/moc/NNFS3-----A---- ././Z:-------------;1;FIC: beletrie
10;Rozhodně/rozhodně/TT-------------;nechovám/chovat/VB-S---1P-NAI-- sympatie/sympatie/NNFP4-----A----;k/k/RR--3---------- žádným/žádný/PWFP3---------- náboženským/náboženský/AAFP3----1A---- institucím/instituce/NNFP3-----A---- ././Z:-------------;1;NMG: publicistika
