id;left;kwic;right
"1";"Obdobné/obdobný/AAFP4----1A----";"touhy/touha/NNFP4-----A---- chová/chovat/VB-S---3P-AAI--";"v/v/RR--6---------- hlavě/hlava/NNFS6-----A---- také/také/Db------------- teprve/teprve/Db------------- 16letý/16letý/AAMS1----1A---- mladík/mladík/NNMS1-----A---- Jan/Jan/NNMS1-----A---- Mazoch/Mazoch/NNMS1-----A---- ././Z:-------------"
"2";"Valserena/Valserena/X@------------- ,/,/Z:------------- směle/směle/Dg-------1A---- krásná/krásný/AAFS1----1A---- co/co/Db------------- do/do/RR--2---------- architektonického/architektonický/AANS2----1A---- pojetí/pojetí/NNNS2-----A---- ,/,/Z:------------- obdařená/obdařený/AAFS1----1A---- volností/volnost/NNFS7-----A---- samoty/samota/NNFS2-----A---- ve/v/RV--6---------- zvlněné/zvlněný/AAFS6----1A---- krajině/krajina/NNFS6-----A---- nedaleko/nedaleko/RR--2---------- Volterry/Volterra/NNFS2-----A---- ,/,/Z:------------- s/s/RR--7---------- blyštivými/blyštivý/AAIP7----1A---- odlesky/odlesk/NNIP7-----A---- Tyrrhénského/Tyrrhénského/X@------------- moře/moře/NNNS2-----A---- na/na/RR--6---------- obzoru/obzor/NNIS6-----A---- ,/,/Z:------------- nesla/nést/VpFS----R-AAI-- a/a/J^------------- nese/nést/VB-S---3P-AAI--";"touhu/touha/NNFS4-----A---- po/po/RR--6---------- důsledně/důsledně/Dg-------1A---- kontemplativním/kontemplativní/AAIS6----1A---- životě/život/NNIS6-----A---- v/v/RR--6---------- tichu/ticho/NNNS6-----A---- modlitby/modlitba/NNFS2-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- ve/v/RV--6---------- svém/svůj/P8NS6---------- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- chovala/chovat/VpFS----R-AAI--";"Matka/matka/NNFS1-----A---- Pia/Pius/NNMS2-----A---- ././Z:-------------"
"3";"Školu/škola/NNFS4-----A---- v/v/RR--6---------- Purkrabce/Purkrabce/X@------------- založili/založit/VpMP----R-AAP-- rodiče/rodič/NNMP1-----A---- tamních/tamní/AAMP2----1A---- žáků/žák/NNMP2-----A---- v/v/RR--6---------- naději/naděje/NNFS6-----A---- ,/,/Z:------------- že/že/J,------------- tam/tam/Db------------- jejich/jejich/PSFP1-P3------- děti/dítě/NNFP1-----A---- získají/získat/VB-P---3P-AAP--";"touhu/touha/NNFS4-----A---- po/po/RR--6---------- znalostech/znalost/NNFP6-----A---- a/a/J^------------- že/že/J,------------- se/se/P7--4---------- do/do/RR--2---------- učení/učení/NNNS2-----A---- nebudou/být/VB-P---3F-NAI-- muset/muset/Vf--------A-I-- nutit/nutit/Vf--------A-I-- ././Z:------------- a/a/J^------------- také/také/Db------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5FP3--3------- budou/být/VB-P---3F-AAI-- učitelé/učitel/NNMP1-----A---- chovat/chovat/Vf--------A-I--";"s/s/RR--7---------- respektem/respekt/NNIS7-----A---- ././Z:-------------"
"4";"Já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- vyrůstal/vyrůstat/VpMS----R-AAI-- a/a/J^------------- dospíval/dospívat/VpMS----R-AAI-- na/na/RR--6---------- pražském/pražský/AANS6----1A---- sídlišti/sídliště/NNNS6-----A---- Jižní/jižní/AANS1----1A---- Město/město/NNNS1-----A---- ,/,/Z:------------- ale/ale/J^------------- tu/ten/PDFS4----------";"touhu/touha/NNFS4-----A---- odejít/odejít/Vf--------A-P-- pryč/pryč/Db------------- ,/,/Z:------------- co/co/J,------------- nejdál/daleko/Dg-------3A---- ,/,/Z:------------- někam/někam/Db------------- do/do/RR--2---------- světa/svět/NNIS2-----A---- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- v/v/RR--6---------- sobě/se/P6--6---------- tehdy/tehdy/Db------------- choval/chovat/VpMS----R-AAI--";"také/také/Db------------- ,/,/Z:------------- takže/takže/J,------------- postavám/postava/NNFP3-----A---- v/v/RR--6---------- našem/náš/PSIS6-P1------- filmu/film/NNIS6-----A---- perfektně/perfektně/Dg-------1A---- rozumím/rozumět/VB-S---1P-AAI-- ././Z:-------------"
"5";"A/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- pocítil/pocítit/VpMS----R-AAP-- hroznou/hrozný/AAFS4----1A---- touhu/touha/NNFS4-----A---- teďka/teď/Db------------- a/a/J^------------- ne/ne/TT------------- jindy/jindy/Db------------- se/se/P7--4---------- podívat/podívat/Vf--------A-P-- ze/z/RV--2---------- zdi/zeď/NNFS2-----A---- tam/tam/Db------------- na/na/RR--4---------- druhou/druhý/CrFS4---------- stranu/strana/NNFS4-----A---- dolů/dolů/Db------------- ,/,/Z:------------- nikdy/nikdy/Db------------- jsem/být/VB-S---1P-AAI-- takovou/takový/PDFS4----------";"touhu/touha/NNFS4-----A---- neměl/mít/VpMS----R-NAI-- ,/,/Z:------------- ale/ale/J^------------- tady/tady/Db------------- jsem/být/VB-S---1P-AAI-- tak/tak/J^------------- zatoužil/zatoužit/VpMS----R-AAP-- ,/,/Z:------------- až/až/J,------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- vzpomenul/vzpomenout/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- ve/v/RV--6---------- voliéře/voliéra/NNFS6-----A---- jsou/být/VB-P---3P-AAI-- žebříky/žebřík/NNIP1-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- jsem/být/VB-S---1P-AAI-- otevřel/otevřít/VpMS----R-AAP-- drátěná/drátěný/AANP4----1A---- dvířka/dvířka/NNNP4-----A---- ,/,/Z:------------- kde/kde/Db------------- se/se/P7--4---------- dřív/brzy/Dg-------2A---- chovali/chovat/VpMP----R-AAI--";"supi/sup/NNMP1-----A---1 a/a/J^------------- vorli/orel/NNMP1-----A---1 ,/,/Z:------------- ale/ale/J^------------- kde/kde/Db------------- už/už/Db------------- nebyl/být/VpIS----R-NAI-- drátěný/drátěný/AAIS1----1A---- strop/strop/NNIS1-----A---- ,/,/Z:------------- kde/kde/Db------------- ale/ale/J^------------- stály/stát/VpIP----R-AAI-- tři/tři/ClIP1---------- žebříky/žebřík/NNIP1-----A---- ,/,/Z:------------- a/a/J^------------- vylezl/vylézt/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- tichounce/tichounce/Db------------- ,/,/Z:------------- za/za/RR--7---------- zády/záda/NNNP7-----A---- mi/já/PH-S3--1------- šplouchalo/šplouchat/VpNS----R-AAI-- Adagio/adagio/NNNS1-----A---- con/con/NNIS1-----A---- moto/motto/NNNS1-----A---- ,/,/Z:------------- ale/ale/J^------------- tam/tam/Db------------- ,/,/Z:------------- kde/kde/Db------------- jsem/být/VB-S---1P-AAI-- lezl/lézt/VpMS----R-AAI-- ,/,/Z:------------- šprycl/šprycl/NNIS4-----A---- za/za/RR--7---------- špryclem/šprycl/NNIS7-----A---- ,/,/Z:------------- tam/tam/Db------------- bylo/být/VpNS----R-AAI-- víc/hodně/Dg-------2A---- světla/světlo/NNNS2-----A---- a/a/J^------------- víc/hodně/Dg-------2A---- i/i/J^------------- hudby/hudba/NNFS2-----A---- .../.../Z:-------------"
"6";"A/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- pocítil/pocítit/VpMS----R-AAP-- hroznou/hrozný/AAFS4----1A----";"touhu/touha/NNFS4-----A---- teďka/teď/Db------------- a/a/J^------------- ne/ne/TT------------- jindy/jindy/Db------------- se/se/P7--4---------- podívat/podívat/Vf--------A-P-- ze/z/RV--2---------- zdi/zeď/NNFS2-----A---- tam/tam/Db------------- na/na/RR--4---------- druhou/druhý/CrFS4---------- stranu/strana/NNFS4-----A---- dolů/dolů/Db------------- ,/,/Z:------------- nikdy/nikdy/Db------------- jsem/být/VB-S---1P-AAI-- takovou/takový/PDFS4---------- touhu/touha/NNFS4-----A---- neměl/mít/VpMS----R-NAI-- ,/,/Z:------------- ale/ale/J^------------- tady/tady/Db------------- jsem/být/VB-S---1P-AAI-- tak/tak/J^------------- zatoužil/zatoužit/VpMS----R-AAP-- ,/,/Z:------------- až/až/J,------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- vzpomenul/vzpomenout/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- ve/v/RV--6---------- voliéře/voliéra/NNFS6-----A---- jsou/být/VB-P---3P-AAI-- žebříky/žebřík/NNIP1-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- jsem/být/VB-S---1P-AAI-- otevřel/otevřít/VpMS----R-AAP-- drátěná/drátěný/AANP4----1A---- dvířka/dvířka/NNNP4-----A---- ,/,/Z:------------- kde/kde/Db------------- se/se/P7--4---------- dřív/brzy/Dg-------2A---- chovali/chovat/VpMP----R-AAI--";"supi/sup/NNMP1-----A---1 a/a/J^------------- vorli/orel/NNMP1-----A---1 ,/,/Z:------------- ale/ale/J^------------- kde/kde/Db------------- už/už/Db------------- nebyl/být/VpIS----R-NAI-- drátěný/drátěný/AAIS1----1A---- strop/strop/NNIS1-----A---- ,/,/Z:------------- kde/kde/Db------------- ale/ale/J^------------- stály/stát/VpIP----R-AAI-- tři/tři/ClIP1---------- žebříky/žebřík/NNIP1-----A---- ,/,/Z:------------- a/a/J^------------- vylezl/vylézt/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- tichounce/tichounce/Db------------- ,/,/Z:------------- za/za/RR--7---------- zády/záda/NNNP7-----A---- mi/já/PH-S3--1------- šplouchalo/šplouchat/VpNS----R-AAI-- Adagio/adagio/NNNS1-----A---- con/con/NNIS1-----A---- moto/motto/NNNS1-----A---- ,/,/Z:------------- ale/ale/J^------------- tam/tam/Db------------- ,/,/Z:------------- kde/kde/Db------------- jsem/být/VB-S---1P-AAI-- lezl/lézt/VpMS----R-AAI-- ,/,/Z:------------- šprycl/šprycl/NNIS4-----A---- za/za/RR--7---------- špryclem/šprycl/NNIS7-----A---- ,/,/Z:------------- tam/tam/Db------------- bylo/být/VpNS----R-AAI-- víc/hodně/Dg-------2A---- světla/světlo/NNNS2-----A---- a/a/J^------------- víc/hodně/Dg-------2A---- i/i/J^------------- hudby/hudba/NNFS2-----A---- .../.../Z:-------------"
"7";"""/""/Z:------------- Nebesa/nebesa/NNNP1-----A---- jen/jen/Db------------- vědí/vědět/VB-P---3P-AAI-- ,/,/Z:------------- jaké/jaký/P4FP4---------- neslýchané/neslýchaný/AAFP4----1A----";"touhy/touha/NNFP4-----A---- ten/ten/PDMS1---------- člověk/člověk/NNMS1-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"8";"Zatímco/zatímco/J,------------- Dominátor/dominátor/NNMS1-----A---- má/mít/VB-S---3P-AAI-- i/i/J^------------- v/v/RR--6---------- téměř/téměř/Db------------- 42/42/C=------------- letech/rok/NNNP6-----A---- enormní/enormní/AAFS4----1A----";"touhu/touha/NNFS4-----A---- vyhrávat/vyhrávat/Vf--------A-I-- ,/,/Z:------------- být/být/Vf--------A-I-- nejlepší/dobrý/AAMS1----3A---- a/a/J^------------- dokázat/dokázat/Vf--------A-P-- všem/všechen/PLMP3---------- kritikům/kritik/NNMP3-----A---- ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- konec/konec/NNIS4-----A---- kariéry/kariéra/NNFS2-----A---- ještě/ještě/Db------------- myslet/myslet/Vf--------A-I-- nemusí/muset/VB-S---3P-NAI-- ,/,/Z:------------- Franěk/Franěk/NNMS1-----A---- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"jako/jako/J,------------- ukázkový/ukázkový/AAMS1----1A---- hokejový/hokejový/AAMS1----1A---- důchodce/důchodce/NNMS1-----A---- ././Z:-------------"
"9";"Takovou/takový/PDFS4----------";"touhu/touha/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--";"u/u/RR--2---------- zarudlých/zarudlý/AAIP2----1A---- prsů/prs/NNIP2-----A---- noci/noc/NNFS2-----A---- mé/můj/PSNS1-S1------1 slovo/slovo/NNNS1-----A---- ././Z:-------------"
"10";"Ještě/ještě/Db------------- jednu/jeden/ClFS4----------";"touhu/touha/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";"Pepíček/Pepíček/NNMS1-----A---- ve/v/RV--6---------- svém/svůj/P8NS6---------- srdéčku/srdíčko/NNNS6-----A---- ././Z:-------------"
