id;left;kwic;right
"1";"Neustále/neustále/Dg-------1A---- prý/prý/TT------------- na/na/RR--4---------- lidi/člověk/NNMP4-----A---- apeloval/apelovat/VpMS----R-AAI-- :/:/Z:------------- „/""/Z:-------------";"Nechovejte/chovat/Vi-P---2--N-I-- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- nenávist/nenávist/NNFS4-----A---- a/a/J^------------- touhu/touha/NNFS4-----A----";"po/po/RR--6---------- pomstě/pomsta/NNFS6-----A---- ,/,/Z:------------- musíme/muset/VB-P---1P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I-- jako/jako/J,------------- lidi/člověk/NNMP1-----A---1 a/a/J^------------- ctít/ctít/Vf--------A-I-- spravedlnost/spravedlnost/NNFS4-----A---- ././Z:-------------"
"2";"Naše/náš/PSFS1-P1------- duše/duše/NNFS1-----A---- v/v/RR--6---------- sobě/se/P6--6----------";"chová/chovat/VB-S---3P-AAI-- touhu/touha/NNFS4-----A----";"po/po/RR--6---------- jednotě/jednota/NNFS6-----A---- a/a/J^------------- přenáší/přenášet/VB-S---3P-AAI-- ji/on/PPFS4--3------- na/na/RR--4---------- předmět/předmět/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS1---------- se/se/P7--4---------- jí/on/PPFS3--3------- naskýtá/naskýtat/VB-S---3P-AAI-- na/na/RR--4---------- dosah/dosah/NNIS4-----A---- ve/v/RV--6---------- smyslovém/smyslový/AAIS6----1A---- světě/svět/NNIS6-----A---- ././Z:-------------"
"3";"Mlčel/mlčet/VpMS----R-AAI-- o/o/RR--6---------- pravém/pravý/AAIS6----1A---- průběhu/průběh/NNIS6-----A---- svého/svůj/P8NS2---------- zatčení/zatčení/NNNS2-----A---- ,/,/Z:------------- přesto/přesto/Db------------- v/v/RR--6---------- sobě/se/P6--6----------";"choval/chovat/VpMS----R-AAI-- touhu/touha/NNFS4-----A----";"uniknout/uniknout/Vf--------A-P-- ze/z/RV--2---------- světa/svět/NNIS2-----A---- za/za/RR--7---------- mřížemi/mříž/NNFP7-----A---- ././Z:-------------"
"4";"Má/mít/VB-S---3P-AAI-- to/ten/PDNS1---------- druhotně/druhotně/Dg-------1A---- i/i/J^------------- jakýsi/jakýsi/PZIS4---------- výchovný/výchovný/AAIS4----1A---- vliv/vliv/NNIS4-----A---- na/na/RR--4---------- vládu/vláda/NNFS4-----A---- :/:/Z:------------- ""/""/Z:------------- Jsou/být/VB-P---3P-AAI-- kupř/kupř/Bb------------- ././Z0------------- vlády/vláda/NNFP1-----A---- ,/,/Z:------------- které/který/P4FP1---------- se/se/P7--4---------- proti/proti/RR--3---------- rozličným/rozličný/AAFP3----1A---- svým/svůj/P8FP3---------- provinciím/provincie/NNFP3-----A---- zcela/zcela/Db------------- jinak/jinak/Db-------------";"chovají/chovat/VB-P---3P-AAI-- ,/,/Z:------------- a/a/J^------------- sice/sice/J^------------- tím/ten/PDNS7---------- spravedlivěji/spravedlivě/Dg-------2A---- a/a/J^------------- tím/ten/PDNS7---------- šetrněji/šetrně/Dg-------2A---- ,/,/Z:------------- čím/co/PQ--7---------- probuzenější/probuzený/AAFS1----2A---- jest/být/VB-S---3P-AAI-2 národ/národ/NNIS1-----A---- ,/,/Z:------------- čím/co/PQ--7---------- důrazněji/důrazně/Dg-------2A---- jeví/jevit/VB-S---3P-AAI-- touhu/touha/NNFS4-----A----";"po/po/RR--6---------- svobodě/svoboda/NNFS6-----A---- ././Z:-------------"
"5";"Stejně/stejně/Dg-------1A---- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- on/on/PPMS1--3------- ,/,/Z:------------- když/když/J,------------- byl/být/VpMS----R-AAI-- mladý/mladý/AAMS1----1A---- a/a/J^------------- rozechvělá/rozechvělý/AAFS1----1A---- Selina/Selina/NNFS1-----A---- si/se/P7--3---------- mu/on/PHMS3--3------- vylévala/vylévat/VpFS----R-AAI-- srdce/srdce/NNNS4-----A---- ;/;/Z:------------- jak/jak/Db------------- tehdy/tehdy/Db------------- spravedlivě/spravedlivě/Dg-------1A---- uvažoval/uvažovat/VpMS----R-AAI-- ,/,/Z:------------- jak/jak/Db------------- hlasitě/hlasitě/Dg-------1A---- odsuzoval/odsuzovat/VpMS----R-AAI-- touhy/touha/NNFP4-----A----";"poblouzněného/poblouzněný/AAMS2----1A---- starce/stařec/NNMS2-----A---- ././Z:-------------"
"6";"Nejdřív/brzy/Dg-------3A---- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- razantněji/razantně/Dg-------2A---- ,/,/Z:------------- jen/jen/TT------------- tak/tak/Db------------- že/že/J,------------- člověk/člověk/NNMS1-----A---- nedokáže/dokázat/VB-S---3P-NAP-- rozlišit/rozlišit/Vf--------A-P-- ,/,/Z:------------- zda/zda/J,------------- nejde/jít/VB-S---3P-NAI-- jen/jen/Db------------- o/o/RR--4---------- větší/velký/AAFS4----2A---- touhu/touha/NNFS4-----A----";"././Z:-------------"
"7";"""/""/Z:------------- Poslyšte/slyšet/Vi-P---2--A-I-1 ,/,/Z:------------- drahý/drahý/AAMS5----1A---- pane/pán/NNMS5-----A---- ,/,/Z:------------- píši/psát/VB-S---1P-AAI-1 Vám/vy/PP-P3--2------- ze/z/RV--2---------- tří/tři/ClIP2---------- důvodů/důvod/NNIP2-----A---- :/:/Z:------------- 1/1/C=------------- ././Z0------------- požádala/požádat/VpFS----R-AAP-- mne/já/PP-S4--1------- o/o/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- 2/2/C=------------- ././Z0------------- je/být/VB-S---3P-AAI-- mým/můj/PSNS7-S1------- pevným/pevný/AANS7----1A---- rozhodnutím/rozhodnutí/NNNS7-----A---- říci/říci/Vf--------A-P-- Vám/vy/PP-P3--2------- ,/,/Z:------------- co/co/PQ--4---------- si/se/P7--3---------- o/o/RR--6---------- Vás/vy/PP-P6--2------- myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- 3/3/C=------------- ././Z0-------------";"chovám/chovat/VB-S---1P-AAI-- upřímnou/upřímný/AAFS4----1A---- touhu/touha/NNFS4-----A----";"doporučit/doporučit/Vf--------A-P-- Vám/vy/PP-P3--2------- ,/,/Z:------------- abyste/aby|být/J,-------------|Vc-P---2----I-- se/se/P7--4---------- vydal/vydat/VpMS----R-AAP-- do/do/RR--2---------- rukou/ruka/NNFP2-----A---- zákona/zákon/NNIS2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- tak/tak/Db------------- vysvětlila/vysvětlit/VpFS----R-AAP-- ta/ten/PDFS1---------- krvavá/krvavý/AAFS1----1A---- historie/historie/NNFS1-----A---- a/a/J^------------- odporné/odporný/AANS1----1A---- tajemství/tajemství/NNNS1-----A---- ,/,/Z:------------- kvůli/kvůli/RR--3---------- němuž/jenž/P9NS3---------- samozřejmě/samozřejmě/TT------------- trpí/trpět/VB-S---3P-AAI-- nejvíce/hodně/Dg-------3A---- ona/on/PPFS1--3------- ,/,/Z:------------- to/ten/PDNS1---------- nevinné/vinný/AANS1----1N---- a/a/J^------------- vyděšené/vyděšený/AANS1----1A---- stvoření/stvoření/NNNS1-----A---- ././Z:-------------"
"8";"ARSÉNE/Arséne/NNMS1-----A---- WENGER/Wenger/NNMS1-----A---- „/""/Z:------------- Hraje/hrát/VB-S---3P-AAI-- jako/jako/J,------------- vůdce/vůdce/NNMS1-----A---- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- jako/jako/J,------------- vůdce/vůdce/NNMS1-----A---- a/a/J^------------- má/mít/VB-S---3P-AAI-- i/i/J^------------- touhu/touha/NNFS4-----A----";"po/po/RR--6---------- vítězství/vítězství/NNNS6-----A---- ././Z:-------------"
"9";"Vždyť/vždyť/J^------------- prý/prý/TT------------- nejlepší/dobrý/AAMP1----3A---- lidé/člověk/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- nejsmělejší/smělý/AAFP4----3A---- touhy/touha/NNFP4-----A----";",/,/Z:------------- jako/jako/J,------------- u/u/RR--2---------- Řeků/Řek/NNMP2-----A---- například/například/TT------------- Héraklés/Héraklés/NNMS1-----A---1 a/a/J^------------- Dionýsos/Dionýz/NNMS1-----A---- ,/,/Z:------------- v/v/RR--6---------- Římě/Řím/NNIS6-----A---- Quirinus/Quirinus/NNMS1-----A---- ,/,/Z:------------- a/a/J^------------- byli/být/VpMP----R-AAI-- vřazeni/vřadit/VsMP------APP-- mezi/mezi/RR--7---------- bohy/bůh/NNMP7-----A---- ././Z:-------------"
"10";"Přes/přes/RR--4---------- to/ten/PDNS4---------- všechno/všechen/PLNS4---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- okolí/okolí/NNNS1-----A----";"chovalo/chovat/VpNS----R-AAI-- ,/,/Z:------------- měl/mít/VpIS----R-AAI-- neustálou/neustálý/AAFS4----1A---- touhu/touha/NNFS4-----A----";"někomu/někdo/PZM-3---------- pomoci/pomoci/Vf--------A-P-- ././Z:-------------"
