id;left;kwic;right
"1";"Z/z/RR--2---------- praxe/praxe/NNFS2-----A---- vím/vědět/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- česká/český/AAFS1----1A---- společnost/společnost/NNFS1-----A---- je/být/VB-S---3P-AAI-- poměrně/poměrně/Dg-------1A---- tolerantní/tolerantní/AAFS1----1A---- k/k/RR--3---------- takovým/takový/PDIP3---------- vztahům/vztah/NNIP3-----A---- na/na/RR--6---------- pracovišti/pracoviště/NNNS6-----A---- a/a/J^------------- zaměstnavatel/zaměstnavatel/NNMS1-----A---- většinou/většinou/Db------------- nehodlá/hodlat/VB-S---3P-NAI-- takové/takový/PDIP4---------- vztahy/vztah/NNIP4-----A---- nějak/nějak/Db------------- radikálně/radikálně/Dg-------1A---- řešit/řešit/Vf--------A-I-- ,/,/Z:------------- nemá/mít/VB-S---3P-NAI-- -/-/Z0------------- li/li/J,------------- k/k/RR--3---------- tomu/ten/PDNS3---------- jiný/jiný/AAIS4----1A---- důvod/důvod/NNIS4-----A---- než/než/J,------------- jen/jen/Db------------- samotný/samotný/AAIS4----1A----";"vztah/vztah/NNIS4-----A---- ,/,/Z:------------- tedy/tedy/TT------------- plní/plnit/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- si/se/P7--3---------- dotčení/dotčený/AAMP1----1A---- své/svůj/P8IP4---------1 pracovní/pracovní/AAIP4----1A---- úkoly/úkol/NNIP4-----A---- dobře/dobře/Dg-------1A---- a/a/J^------------- chovají/chovat/VB-P---3P-AAI--";"se/se/P7--4---------- spořádaně/spořádaně/Dg-------1A---- ././Z:-------------"
"2";"S/s/RR--7---------- řadou/řada/NNFS7-----A---- z/z/RR--2---------- nich/oni/P5IP2--3------- mám/mít/VB-S---1P-AAI-- osobně/osobně/Dg-------1A---- dobré/dobrý/AAIP4----1A----";"vztahy/vztah/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- po/po/RR--6---------- zkušenostech/zkušenost/NNFP6-----A---- jak/jak/Db------------- se/se/P7--4---------- však/však/J^------------- dnes/dnes/Db------------- KSČM/KSČM/BN------------- chová/chovat/VB-S---3P-AAI--";"a/a/J^------------- prezentuje/prezentovat/VB-S---3P-AAB-- jako/jako/J,------------- opoziční/opoziční/AAFS1----1A---- parlamentní/parlamentní/AAFS1----1A---- strana/strana/NNFS1-----A---- ,/,/Z:------------- si/se/P7--3---------- v/v/RR--6---------- současnosti/současnost/NNFS6-----A---- koaliční/koaliční/AAFS4----1A---- vládu/vláda/NNFS4-----A---- ČSSD/ČSSD/BN------------- s/s/RR--7---------- KSČM/KSČM/BN------------- vůbec/vůbec/TT------------- nedovedu/dovést/VB-S---1P-NAP-- představit/představit/Vf--------A-P-- ././Z:-------------"
"3";"Rozhodně/rozhodně/TT------------- však/však/J^------------- nebyl/být/VpMS----R-NAI-- andělem/anděl/NNMS7-----A---- ,/,/Z:------------- jak/jak/Db------------- dokazuje/dokazovat/VB-S---3P-AAI-- jeho/jeho/PSIS4-S3-------";"vztah/vztah/NNIS4-----A---- s/s/RR--7---------- Howem/Howe/NNMS7-----A---- ,/,/Z:------------- jenž/jenž/PJMS1---------- o/o/RR--6---------- něm/on/P5MS6--3------- do/do/RR--2---------- životopisu/životopis/NNIS2-----A---- nadiktoval/nadiktovat/VpMS----R-AAP-- :/:/Z:------------- „/""/Z:------------- Mezi/mezi/RR--7---------- mantinely/mantinel/NNIP7-----A---- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--";"jako/jako/J,------------- grázl/grázl/NNMS1-----A---- ././Z:-------------"
"4";"";"Vztahy/vztah/NNIP4-----A---- člověka/člověk/NNMS2-----A---- s/s/RR--7---------- okolím/okolí/NNNS7-----A---- hrozně/hrozně/Dg-------1A---- ovlivňuje/ovlivňovat/VB-S---3P-AAI-- jeho/jeho/PSFS1-S3------- rodina/rodina/NNFS1-----A---- ,/,/Z:------------- podmínky/podmínka/NNFS2-----A---- ve/v/RV--6---------- kterých/který/P4FP6---------- vyrůstal/vyrůstat/VpMS----R-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- jeho/jeho/PSMS1-S3------- otec/otec/NNMS1-----A---- choval/chovat/VpMS----R-AAI--";"k/k/RR--3---------- matce/matka/NNFS3-----A---- a/a/J^------------- jak/jak/Db------------- ona/on/PPFS1--3------- k/k/RR--3---------- němu/on/P5MS3--3------- a/a/J^------------- podobně/podobně/Dg-------1A---- ././Z:-------------"
"5";"Hlavní/hlavní/AAFS1----1A---- rada/rada/NNFS1-----A---- tedy/tedy/TT------------- zní/znít/VB-S---3P-AAI-- :/:/Z:------------- pěstujte/pěstovat/Vi-P---2--A-I-- v/v/RR--6---------- dětech/dítě/NNFP6-----A---- pozitivní/pozitivní/AAIS4----1A----";"vztah/vztah/NNIS4-----A---- ke/k/RV--3---------- zvířatům/zvíře/NNNP3-----A---- a/a/J^------------- naučte/naučit/Vi-P---2--A-P-- je/oni/PPFP4--3------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5FP3--3------- mají/mít/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--";",/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- jim/oni/PPFP3--3------- neublížila/ublížit/VpFS----R-NAP-- a/a/J^------------- aby/aby|být/J,-------------|Vc----------I-- ony/oni/PPFP1--3------- neubližovaly/ubližovat/VpFP----R-NAI-- zvířatům/zvíře/NNNP3-----A---- ././Z:-------------"
"6";"Až/až/TT------------- na/na/RR--4----------";"vztah/vztah/NNIS4-----A---- k/k/RR--3---------- JW/JW/BN------------- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- vždycky/vždy/Db------------- chovala/chovat/VpFS----R-AAI--";"jako/jako/J,------------- skutečná/skutečný/AAFS1----1A---- kamarádka/kamarádka/NNFS1-----A---- -/-/Z0------------- -/-/Z0------------- podobně/podobně/Dg-------1A---- jako/jako/J,------------- Debbie/Debbie/NNFS1-----A---- -/-/Z0------------- -/-/Z0------------- ,/,/Z:------------- a/a/J^------------- jakmile/jakmile/J,------------- mě/já/PH-S4--1------- opustil/opustit/VpIS----R-AAP-- vztek/vztek/NNIS1-----A---- ,/,/Z:------------- přiznala/přiznat/VpFS----R-AAP-- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- pravdu/pravda/NNFS4-----A---- ././Z:-------------"
"7";"Já/já/PP-S1--1------- ,/,/Z:------------- prosím/prosit/VB-S---1P-AAI-- ,/,/Z:------------- sloužím/sloužit/VB-S---1P-AAI-- své/svůj/P8FS3---------1 Thálii/Thálie/NNFS3-----A---- láskyplně/láskyplně/Dg-------1A---- a/a/J^------------- také/také/Db------------- naprosto/naprosto/Db------------- bezplatně/bezplatně/Dg-------1A---- ,/,/Z:------------- z/z/RR--2---------- toho/ten/PDNS2---------- též/též/Db------------- vyplývá/vyplývat/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- vřelý/vřelý/AAIS4----1A----";"vztah/vztah/NNIS4-----A---- k/k/RR--3---------- ní/on/P5FS3--3------- musím/muset/VB-S---1P-AAI-- chovat/chovat/Vf--------A-I--";"././Z:-------------"
"8";"„/""/Z:------------- Vyměňovali/vyměňovat/VpMP----R-AAI-- jsme/být/VB-P---1P-AAI--";"vztahy/vztah/NNIP4-----A---- jako/jako/J,------------- auta/auto/NNNP4-----A---- a/a/J^------------- neuvědomovali/uvědomovat/VpMP----R-NAI-- si/se/P7--3---------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chováme/chovat/VB-P---1P-AAI--";"povrchně/povrchně/Dg-------1A---- ././Z:------------- “/""/Z:-------------"
"9";"Měl/mít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- s/s/RR--7---------- dětmi/dítě/NNFP7-----A---- tak/tak/Db------------- dobrý/dobrý/AAIS4----1A----";"vztah/vztah/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- teď/teď/Db------------- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- chová/chovat/VB-S---3P-AAI--";"hezky/hezky/Dg-------1A---- jen/jen/Db------------- Katie/Katie/NNFS1-----A---- ././Z:------------- “/""/Z:-------------"
"10";"Člověk/člověk/NNMS1-----A---- má/mít/VB-S---3P-AAI-- zakládat/zakládat/Vf--------A-I--";"vztah/vztah/NNIS4-----A---- sodhodláním/sodhodláním/X@------------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- v/v/RR--6---------- něm/on/P5MS6--3------- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- anděl/anděl/NNMS1-----A---- ;/;/Z:------------- jen/jen/TT------------- tak/tak/Db------------- si/se/P7--3---------- nakonec/nakonec/TT------------- snad/snad/TT------------- bude/být/VB-S---3F-AAI-- moci/moci/Vf--------A-I-- říct/říci/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- přes/přes/RR--4---------- všechny/všechen/PLIP4---------- poklesky/poklesek/NNIP4-----A---- dopadl/dopadnout/VpMS----R-AAP-1 jako/jako/J,------------- celkem/celkem/Db------------- slušný/slušný/AAMS1----1A---- člověk/člověk/NNMS1-----A---- ././Z:-------------"
"11";"K/k/RR--3---------- textu/text/NNIS3-----A---- si/se/P7--3---------- nemusím/muset/VB-S---1P-NAI-- hledat/hledat/Vf--------A-I-- vztah/vztah/NNIS4-----A---- ,/,/Z:------------- každý/každý/PLIS1---------- text/text/NNIS4-----A---- nabídne/nabídnout/VB-S---3P-AAP--";"vztah/vztah/NNIS4-----A---- sám/sám/PLIS1---------- ,/,/Z:------------- začne/začít/VB-S---3P-AAP-- se/se/P7--4---------- nějak/nějak/Db------------- chovat/chovat/Vf--------A-I--";".../.../Z:-------------"
"12";"V/v/RR--6---------- textu/text/NNIS6-----A---- k/k/RR--3---------- písni/píseň/NNFS3-----A---- Neal/Neal/NNMS1-----A---- Cassady/Cassady/NNMS1-----A---- Drops/drops/NNIS1-----A---- Dead/Dead/F%------------- zase/zase/Db------------- popisuje/popisovat/VB-S---3P-AAI--";"vztah/vztah/NNIS4-----A---- ústřední/ústřední/AAFS2----1A---- postavy/postava/NNFS2-----A---- beat/beat/NNIS1-----A---- generation/generation/F%------------- s/s/RR--7---------- jeho/jeho/PSMS7-S3------- literárním/literární/AAMS7----1A---- kolegou/kolega/NNMS7-----A---- Allenem/Allen/NNMS7-----A---- Ginsbergem/Ginsberg/NNMS7-----A---- ,/,/Z:------------- ve/v/RV--6---------- skladbě/skladba/NNFS6-----A---- Earth/Earth/F%------------- Is/Is/F%------------- the/the/F%------------- Loneliest/Loneliest/X@------------- Planet/Planet/F%------------- zpívá/zpívat/VB-S---3P-AAI-- o/o/RR--6---------- Zemi/země/NNFS6-----A---- coby/coby/J,------------- nejopuštěnější/opuštěný/AAFS6----3A---- planetě/planeta/NNFS3-----A---- ,/,/Z:------------- kde/kde/Db------------- sice/sice/J^------------- žijí/žít/VB-P---3P-AAI-1 lidské/lidský/AAFP1----1A---- bytosti/bytost/NNFP1-----A---- ,/,/Z:------------- ale/ale/J^------------- příliš/příliš/Db------------- lidsky/lidsky/Dg-------1A---- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- nechovají/chovat/VB-P---3P-NAI--";"…/.../Z:-------------"
"13";"Někteří/některý/PZMP1---------- byli/být/VpMP----R-AAI-- pro/pro/RR--4---------- -/-/Z0------------- -/-/Z0------------- ""/""/Z:------------- jen/jen/Db------------- ať/ať/TT------------- vidí/vidět/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- není/být/VB-S---3P-NAI-- žádná/žádný/PWFS1---------- legrace/legrace/NNFS1-----A---- ""/""/Z:------------- -/-/Z0------------- -/-/Z0------------- ,/,/Z:------------- posílí/posílit/VB-S---3P-AAP-- to/ten/PDNS1---------- prý/prý/TT-------------";"vztahy/vztah/NNIP4-----A---- v/v/RR--6---------- rodině/rodina/NNFS6-----A---- a/a/J^------------- alespoň/alespoň/Db------------- se/se/P7--4---------- nemocniční/nemocniční/AAIS1----1A---- personál/personál/NNIS1-----A---- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--";"slušněji/slušně/Dg-------2A---- ././Z:-------------"
"14";"Jak/jak/Db------------- udržet/udržet/Vf--------A-P-- dobré/dobrý/AAIP4----1A----";"vztahy/vztah/NNIP4-----A---- Co/co/PQ--4---------- dělat/dělat/Vf--------A-I-- :/:/Z:------------- Chovejte/chovat/Vi-P---2--A-I--";"se/se/P7--4---------- přirozeně/přirozeně/Dg-------1A---- ,/,/Z:------------- abyste/aby|být/J,-------------|Vc-P---2----I-- získali/získat/VpMP----R-AAP-- důvěru/důvěra/NNFS4-----A---- druhých/druhý/CrMP2---------- a/a/J^------------- udržujte/udržovat/Vi-P---2--A-I-- dlouhotrvající/dlouhotrvající/AAIP4----1A---- vztahy/vztah/NNIP4-----A---- ././Z:-------------"
"15";"(/(/Z:------------- Hollowovi/Hollowovi/X@------------- neunikly/uniknout/VpFP----R-NAP-1 ustarané/ustaraný/AAIP1----1A---- výrazy/výraz/NNIP1-----A---- ve/v/RV--6---------- tvářích/tvář/NNFP6-----A---- několika/několik/Ca--2---------- porotců/porotce/NNMP2-----A---- a/a/J^------------- lidí/člověk/NNMP2-----A---- na/na/RR--6---------- galerii/galerie/NNFS6-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- si/se/P7--3---------- zřejmě/zřejmě/TT------------- teprve/teprve/Db------------- nyní/nyní/Db------------- uvědomili/uvědomit/VpMP----R-AAP-- ,/,/Z:------------- jak/jak/Db------------- je/být/VB-S---3P-AAI-- nemoudré/moudrý/AANS1----1N---- pěstovat/pěstovat/Vf--------A-I-- nemanželské/manželský/AAIP4----1N----";"vztahy/vztah/NNIP4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- indiskrétně/indiskrétně/Dg-------1A---- na/na/RR--6---------- místech/místo/NNNP6-----A---- se/s/RV--7---------- všímavou/všímavý/AAFS7----1A---- obsluhou/obsluha/NNFS7-----A---- ././Z0------------- )/)/Z:-------------"
