id;left;kwic;right
"1";"Hlavní/hlavní/AAFS4----1A---- hrdinku/hrdinka/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- po/po/RR--6---------- citovém/citový/AANS6----1A---- zklamání/zklamání/NNNS6-----A---- rozhodne/rozhodnout/VB-S---3P-AAP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI--";"chovat/chovat/Vf--------A-I-- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- ženám/žena/NNFP3-----A---- někteří/některý/PZMP1---------- muži/muž/NNMP1-----A---- ,/,/Z:------------- a/a/J^------------- bude/být/VB-S---3F-AAI-- brát/brát/Vf--------A-I-- vztahy/vztah/NNIP4-----A----";"nezávazně/závazně/Dg-------1N---- ,/,/Z:------------- ztvárnila/ztvárnit/VpFS----R-AAP-- slovenská/slovenský/AAFS1----1A---- herečka/herečka/NNFS1-----A---- Danica/Danica/NNFS1-----A---- Jurčová/Jurčová/NNFS1-----A---- ././Z:-------------"
"2";"Je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- odraz/odraz/NNIS1-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"chováme/chovat/VB-P---1P-AAI-- ,/,/Z:------------- jaký/jaký/P4IS4---------- máme/mít/VB-P---1P-AAI-- vztah/vztah/NNIS4-----A----";"k/k/RR--3---------- naší/náš/PSFS3-P1------- vlasti/vlast/NNFS3-----A---- a/a/J^------------- vůbec/vůbec/TT------------- k/k/RR--3---------- plnění/plnění/NNNS3-----A---- povinností/povinnost/NNFP2-----A---- ././Z:-------------"
"3";"Koťata/kotě/NNNP1-----A---- se/se/P7--4---------- občas/občas/Db-------------";"chovají/chovat/VB-P---3P-AAI-- jako/jako/J,------------- domácí/domácí/AAMP1----1A---- mazlíčci/mazlíček/NNMP1-----A---- ,/,/Z:------------- ale/ale/J^------------- v/v/RR--6---------- dospělosti/dospělost/NNFS6-----A---- lze/lze/Db------------- jejich/jejich/PSIS4-P3------- vztah/vztah/NNIS4-----A----";"k/k/RR--3---------- člověku/člověk/NNMS3-----A---- označit/označit/Vf--------A-P-- spíše/spíš/TT------------- jako/jako/J,------------- „/""/Z:------------- ozbrojené/ozbrojený/AANS4----1A---- příměří/příměří/NNNS4-----A---- “/""/Z:------------- ././Z:-------------"
"4";"Žít/žít/Vf--------A-I-- všichni/všechen/PLMP1---------- pohromadě/pohromadě/Db------------- ,/,/Z:------------- umět/umět/Vf--------A-I-- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3----------";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- respektovat/respektovat/Vf--------A-I-- a/a/J^------------- tolerovat/tolerovat/Vf--------A-I-- se/se/P7--4---------- navzájem/navzájem/Db------------- ,/,/Z:------------- pomáhat/pomáhat/Vf--------A-I-- si/se/P7--3---------- a/a/J^------------- zkvalitnit/zkvalitnit/Vf--------A-P-- tak/tak/Db------------- mezilidské/mezilidský/AAIP4----1A---- vztahy/vztah/NNIP4-----A----";"?/?/Z:-------------"
"5";"Jeho/jeho/PSIS7-S3------- středem/střed/NNIS7-----A---- je/být/VB-S---3P-AAI-- mladá/mladý/AAFS1----1A---- dívka/dívka/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- po/po/RR--6---------- citovém/citový/AANS6----1A---- zklamání/zklamání/NNNS6-----A---- rozhodne/rozhodnout/VB-S---3P-AAP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI--";"chovat/chovat/Vf--------A-I-- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- ženám/žena/NNFP3-----A---- někteří/některý/PZMP1---------- muži/muž/NNMP1-----A---- ,/,/Z:------------- a/a/J^------------- bude/být/VB-S---3F-AAI-- brát/brát/Vf--------A-I-- vztahy/vztah/NNIP4-----A----";"nezávazně/závazně/Dg-------1N---- ././Z:-------------"
"6";"Když/když/J,------------- si/se/P7--3---------- rodina/rodina/NNFS1-----A----";"chová/chovat/VB-S---3P-AAI-- vepříka/vepřík/NNMS4-----A---- ,/,/Z:------------- vždycky/vždy/Db------------- k/k/RR--3---------- němu/on/P5MS3--3------- naváže/navázat/VB-S---3P-AAP-- jakýsi/jakýsi/PZIS4---------- osobní/osobní/AAIS4----1A---- vztah/vztah/NNIS4-----A----";"././Z:-------------"
"7";"Až/až/J,------------- se/se/P7--4---------- naučíš/naučit/VB-S---2P-AAP-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- máš/mít/VB-S---2P-AAI--";"chovat/chovat/Vf--------A-I-- ke/k/RV--3---------- své/svůj/P8FS3---------1 ženušce/ženuška/NNFS3-----A---- ,/,/Z:------------- možná/možná/TT------------- že/že/J,------------- přehodnotím/přehodnotit/VB-S---1P-AAP-- náš/náš/PSIS4-P1------- vztah/vztah/NNIS4-----A----";"././Z:------------- ""/""/Z:-------------"
"8";"K/k/RR--3---------- Murraymu/Murray/NNMS3-----A----";"chová/chovat/VB-S---3P-AAI-- profesionální/profesionální/AAIS4----1A---- vztah/vztah/NNIS4-----A----";"././Z:-------------"
"9";"International/International/F%------------- Pictures/Pictures/F%------------- nedopustí/dopustit/VB-S---3P-NAP-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- nějaký/nějaký/PZMS1---------- laciný/laciný/AAMS1----1A---- vyděrač/vyděrač/NNMS1-----A---- škodil/škodit/VpMS----R-AAI-- člověku/člověk/NNMS3-----A---- vašeho/váš/PSIS2-P2------- kalibru/kalibr/NNIS2-----A---- v/v/RR--6---------- naší/náš/PSFS6-P1------- profesi/profese/NNFS6-----A---- -/-/Z:------------- člověku/člověk/NNMS3-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9IS3---------- International/International/F%------------- Pictures/Pictures/F%-------------";"chová/chovat/VB-S---3P-AAI-- mnoho/mnoho/Ca--4---------- let/rok/NNNP2-----A---- srdečný/srdečný/AAIS4----1A---- a/a/J^------------- vzájemně/vzájemně/Dg-------1A---- prospěšný/prospěšný/AAIS4----1A---- vztah/vztah/NNIS4-----A----";"././Z:-------------"
"10";"Alaskáni/alaskan/NNMP1-----A---1 jsou/být/VB-P---3P-AAI-- velice/velice/Db------------- živí/živý/AAMP1----1A---- ,/,/Z:------------- ovšem/ovšem/J^------------- dohromady/dohromady/Db------------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- dobře/dobře/Dg-------1A---- ,/,/Z:------------- zkrátka/zkrátka/TT------------- mají/mít/VB-P---3P-AAI-- výborné/výborný/AAIP4----1A---- mezipsí/mezipsí/X@------------- vztahy/vztah/NNIP4-----A----";"././Z:-------------"
