id;left;kwic;right
"1";"Tuto/tento/PDFS4----------";"vášeň/vášeň/NNFS4-----A---- jsem/být/VB-S---1P-AAI-- zdědil/zdědit/VpMS----R-AAP-- po/po/RR--6---------- dědovi/děda/NNMS6-----A---- a/a/J^------------- v/v/RR--6---------- současnosti/současnost/NNFS6-----A---- chovám/chovat/VB-S---1P-AAI--";"doma/doma/Db------------- asi/asi/TT------------- čtyřicet/čtyřicet/Cn-S4---------- kousků/kousek/NNIP2-----A---- ,/,/Z:------------- ""/""/Z:------------- vyprávěl/vyprávět/VpMS----R-AAI-- Kaňa/Kaňa/NNMS1-----A---- ././Z:-------------"
"2";"Velkou/velký/AAFS4----1A----";"vášeň/vášeň/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--";"zejména/zejména/TT------------- k/k/RR--3---------- detektivkám/detektivka/NNFP3-----A---- ././Z:-------------"
"3";"Příběh/příběh/NNIS1-----A---- Niti/nit/NNFS2-----A---1 z/z/RR--2---------- přízraků/přízrak/NNIP2-----A---- je/být/VB-S---3P-AAI-- příběh/příběh/NNIS1-----A---- dvou/dva/ClMP2---------- lidí/člověk/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- potřebují/potřebovat/VB-P---3P-AAI-- být/být/Vf--------A-I-- spolu/spolu/Db------------- ,/,/Z:------------- zároveň/zároveň/Db------------- ale/ale/J^------------- spolu/spolu/Db------------- být/být/Vf--------A-I-- nemohou/moci/VB-P---3P-NAI-1 ,/,/Z:------------- sdílejí/sdílet/VB-P---3P-AAI--";"vášeň/vášeň/NNFS4-----A---- pro/pro/RR--4---------- krásu/krása/NNFS4-----A---- (/(/Z:------------- spolu/spolu/Db------------- zakročí/zakročit/VB-P---3P-AAP-- proti/proti/RR--3---------- důležité/důležitý/AAFS3----1A---- zákaznici/zákaznice/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- v/v/RR--6---------- šatech/šaty/NNIP6-----A---- od/od/RR--2---------- Reynoldse/Reynolds/NNMS2-----A---- chová/chovat/VB-S---3P-AAI--";"způsobem/způsob/NNIS7-----A---- ,/,/Z:------------- jaký/jaký/P4IS1---------- jich/oni/PPMP2--3------- není/být/VB-S---3P-NAI-- hoden/hodný/ACIS------A---- )/)/Z:------------- i/i/J^------------- jeden/jeden/ClMS1---------- pro/pro/RR--4---------- druhého/druhý/CrMS4---------- ././Z:-------------"
"4";"Namísto/namísto/RR--2---------- lidí/člověk/NNMP2-----A---- žijících/žijící/AGMP2-----A---- pro/pro/RR--4----------";"vášeň/vášeň/NNFS4-----A---- k/k/RR--3---------- westernu/western/NNIS3-----A---- předkládá/předkládat/VB-S---3P-AAI-- Peška/Peška/NNMS1-----A---- neživotné/životný/AAFP4----1N---- postavy/postava/NNFP4-----A---- ,/,/Z:------------- jež/jenž/PJFP1---------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"jako/jako/J,------------- své/svůj/P8FP4---------1 špatné/špatný/AAFP4----1A---- karikatury/karikatura/NNFP4-----A---- ,/,/Z:------------- a/a/J^------------- místo/místo/RR--2---------- vtipné/vtipný/AAFS2----1A---- zábavy/zábava/NNFS2-----A---- ty/ten/PDIP1---------- nejotřepanější/otřepaný/AAFS1----3A---- fóry/fór/NNIP1-----A---- pro/pro/RR--4---------- burany/buran/NNMP4-----A---- (/(/Z:------------- točící/točící/AGIP1-----A---- se/se/P7--4---------- nejčastěji/často/Dg-------3A---- kolem/kolem/Db------------- „/""/Z:------------- píchání/píchání/NNNS2-----A---- “/""/Z:------------- ,/,/Z:------------- krádeže/krádež/NNFP1-----A---- koz/koza/NNFP2-----A---- a/a/J^------------- krátké/krátký/AAFP1----1A---- sukýnky/sukýnka/NNFP1-----A---- lascivní/lascivní/AAFS2----1A---- pošťačky/pošťačka/NNFS2-----A---- )/)/Z:------------- ././Z:-------------"
"5";"Nejžhavější/žhavý/AAFS4----3A---- touhu/touha/NNFS4-----A---- a/a/J^-------------";"vášeň/vášeň/NNFS4-----A---- totiž/totiž/TT------------- nevzbuzuje/vzbuzovat/VB-S---3P-NAI-- to/ten/PDNS1---------- ,/,/Z:------------- co/co/PQ--1---------- je/být/VB-S---3P-AAI-- nám/my/PP-P3--1------- absolutně/absolutně/Dg-------1A---- vzdáleno/vzdálit/VsNS------APP-- a/a/J^------------- odepřeno/odepřít/VsNS------APP-- ,/,/Z:------------- nýbrž/nýbrž/J^------------- něco/něco/PZ--1---------- ,/,/Z:------------- co/co/PQ--4---------- nemáme/mít/VB-P---1P-NAI-- ,/,/Z:------------- a/a/J^------------- přitom/přitom/Db------------- se/se/P7--4---------- zdá/zdát/VB-S---3P-AAI-- (/(/Z:------------- jak/jak/Db------------- se/se/P7--4---------- to/ten/PDNS1---------- děje/dít/VB-S---3P-AAI-- právě/právě/Db------------- díky/díky/RR--3---------- peněžní/peněžní/AAFS3----1A---- organizaci/organizace/NNFS3-----A---- )/)/Z:------------- ,/,/Z:------------- že/že/J,------------- chvíle/chvíle/NNFS1-----A---- ,/,/Z:------------- kdy/kdy/Db------------- to/ten/PDNS4---------- budeme/být/VB-P---1F-AAI-- mít/mít/Vf--------A-I-- ,/,/Z:------------- je/být/VB-S---3P-AAI-- blíž/blízko/Dg-------2A---- a/a/J^------------- blíž/blízko/Dg-------2A---- ././Z0------------- “/""/Z:------------- [/[/Z:------------- 768/768/C=------------- ]/]/Z:------------- Uspokojení/uspokojení/NNNS1-----A---- se/se/P7--4---------- tedy/tedy/TT------------- chová/chovat/VB-S---3P-AAI--";"podobně/podobně/Dg-------1A---- jako/jako/J,------------- bájný/bájný/AAIS1----1A---- poklad/poklad/NNIS1-----A---- na/na/RR--6---------- konci/konec/NNIS6-----A---- duhy/duha/NNFS2-----A---- ././Z:-------------"
"6";"Ovšem/ovšem/TT------------- Freudův/Freudův/AUIS1M--------- hlavní/hlavní/AAIS1----1A---- trumf/trumf/NNIS1-----A---- spočíval/spočívat/VpIS----R-AAI-- v/v/RR--6---------- tvrzení/tvrzení/NNNS6-----A---- ,/,/Z:------------- že/že/J,------------- mocnou/mocný/AAFS4----1A----";"vášeň/vášeň/NNFS4-----A---- pro/pro/RR--4---------- ňadra/ňadra/NNNP4-----A---- chováme/chovat/VB-P---1P-AAI--";"všichni/všechen/PLMP1---------- bez/bez/RR--2---------- rozdílu/rozdíl/NNIS2-----A---- pohlaví/pohlaví/NNNS2-----A---- ././Z:-------------"
"7";"Nerozešla/rozejít/VpFS----R-NAP-- se/se/P7--4---------- s/s/RR--7---------- nimi/oni/P5MP7--3------- ,/,/Z:------------- protože/protože/J,------------- rozchod/rozchod/NNIS1-----A---- předpokládá/předpokládat/VB-S---3P-AAI--";"vášeň/vášeň/NNFS4-----A---- a/a/J^------------- silné/silný/AAIP4----1A---- city/cit/NNIP4-----A---- ,/,/Z:------------- a/a/J^------------- ty/ten/PDIP4---------- k/k/RR--3---------- nim/oni/P5IP3--3------- nechová/chovat/VB-S---3P-NAI--";"././Z:-------------"
"8";"PŘEDSEDA/předseda/NNMS1-----A---- Klubu/klub/NNIS2-----A---- sběratelů/sběratel/NNMP2-----A---- z/z/RR--2---------- Českých/český/AAFP2----1A---- Budějovic/Budějovice/NNFP2-----A---- Václav/Václav/NNMS1-----A---- Aubrecht/Aubrecht/NNMS1-----A---- velkou/velký/AAFS4----1A----";"vášeň/vášeň/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--";"k/k/RR--3---------- sirkovým/sirkový/AAFP3----1A---- nálepkám/nálepka/NNFP3-----A---- ././Z:-------------"
"9";"Jinak/jinak/Db------------- ale/ale/J^------------- i/i/J^------------- přes/přes/RR--4----------";"vášeň/vášeň/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chovám/chovat/VB-S---1P-AAI--";"k/k/RR--3---------- počítačům/počítač/NNIP3-----A---- ,/,/Z:------------- zůstávám/zůstávat/VB-S---1P-AAI-- v/v/RR--6---------- oblasti/oblast/NNFS6-----A---- knih/kniha/NNFP2-----A---- konzervou/konzerva/NNFS7-----A---- ././Z:-------------"
"10";"Sám/sám/PLMS1---------- měl/mít/VpMS----R-AAI--";"vášeň/vášeň/NNFS4-----A---- pro/pro/RR--4---------- koně/kůň/NNMP4-----A---- v/v/RR--6---------- krvi/krev/NNFS6-----A---- rodově/rodově/Dg-------1A---- zakódovanou/zakódovaný/AAFS4----1A---- :/:/Z:------------- jeho/jeho/PSMS1-S3------- dědeček/dědeček/NNMS1-----A---- i/i/J^------------- otec/otec/NNMS1-----A---- chovali/chovat/VpMP----R-AAI--";"a/a/J^------------- civičili/civičili/X@------------- koně/kůň/NNMP1-----A---- a/a/J^------------- jezdili/jezdit/VpMP----R-AAI-- dostihy/dostih/NNIP7-----A---- ././Z:-------------"
