id;left;kwic;right
"1";"Byl/být/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- hudebník/hudebník/NNMS1-----A---- a/a/J^------------- pro/pro/RR--4---------- hudbu/hudba/NNFS4-----A---- jako/jako/J,------------- takovou/takový/PDFS4---------- jsem/být/VB-S---1P-AAI--";"choval/chovat/VpMS----R-AAI-- velkou/velký/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"vždy/vždy/Db------------- ././Z:-------------"
"2";"Sám/sám/PLMS1---------- Foldyna/Foldyna/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- pragmaticky/pragmaticky/Dg-------1A---- ,/,/Z:------------- začíná/začínat/VB-S---3P-AAI-- klidnit/klidnit/Vf--------A-I-- vášně/vášeň/NNFP4-----A----";"././Z:-------------"
"3";"Drobná/drobný/AAFS1----1A---- ,/,/Z:------------- nakrátko/nakrátko/Db------------- ostříhaná/ostříhaný/AAFS1----1A---- tmavovláska/tmavovláska/NNFS1-----A----";"chová/chovat/VB-S---3P-AAI-- pro/pro/RR--4---------- nakládané/nakládaný/AAFP4----1A---- speciality/specialita/NNFP4-----A---- k/k/RR--3---------- pivu/pivo/NNNS3-----A---- letitou/letitý/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"a/a/J^------------- ta/ten/PDFS1---------- jí/on/PPFS3--3------- prorůstá/prorůstat/VB-S---3P-AAI-- i/i/J^------------- do/do/RR--2---------- pracovního/pracovní/AAIS2----1A---- života/život/NNIS2-----A---- ././Z:-------------"
"4";"Dvanáctiletá/dvanáctiletý/AAFS1----1A---- Robin/Robin/NNFS1-----A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- spíš/spíš/TT------------- jako/jako/J,------------- kluk/kluk/NNMS1-----A---- ,/,/Z:------------- přátelí/přátelit/VB-S---3P-AAI-- se/se/P7--4---------- pouze/pouze/Db------------- s/s/RR--7---------- několika/několik/Ca--7---------- spolužáky/spolužák/NNMP7-----A---- a/a/J^------------- s/s/RR--7---------- nimi/oni/P5MP7--3------- sdílí/sdílet/VB-S---3P-AAI-- jednu/jeden/ClFS4---------- velkou/velký/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"-/-/Z:------------- hiphopový/hiphopový/AAIS4----1A---- tanec/tanec/NNIS4-----A---- ././Z:-------------"
"5";"Smysl/smysl/NNIS4-----A---- této/tento/PDFS2---------- tajemné/tajemný/AAFS2----1A---- věty/věta/NNFS2-----A---- mi/já/PH-S3--1------- museli/muset/VpMP----R-AAI-- vysvětlit/vysvětlit/Vf--------A-P-- ,/,/Z:------------- neboť/neboť/J^------------- jsem/být/VB-S---1P-AAI--";"choval/chovat/VpMS----R-AAI-- velikou/veliký/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"pro/pro/RR--4---------- slova/slovo/NNNP4-----A---- .../.../Z:-------------"
"6";"""/""/Z:------------- Mohla/moci/VpFS----R-AAI--";"chovat/chovat/Vf--------A-I-- tajnou/tajný/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"k/k/RR--3---------- doktoru/doktor/NNMS3-----A---1 Bradshawovi/Bradshaw/NNMS3-----A---- a/a/J^------------- po/po/RR--6---------- jeho/jeho/PSFS6-S3------- smrti/smrt/NNFS6-----A---- ji/on/PPFS4--3------- přemohl/přemoci/VpIS----R-AAP-- žal/žal/NNIS1-----A---- ././Z:-------------"
"7";"Dokázal/dokázat/VpMS----R-AAP-- být/být/Vf--------A-I-- i/i/J^------------- něžný/něžný/AAMS1----1A---- a/a/J^------------- taky/také/Db------------- se/se/P7--4---------- tak/tak/Db------------- při/při/RR--6---------- milování/milování/NNNS6-----A----";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- a/a/J^------------- přitom/přitom/Db------------- na/na/RR--4---------- vášeň/vášeň/NNFS4-----A----";"odpovídal/odpovídat/VpMS----R-AAI-- vášní/vášeň/NNFS7-----A---- ,/,/Z:------------- což/co/PE--4---------- Gwen/Gwen/NNFS1-----A---- už/už/Db------------- poznala/poznat/VpFS----R-AAP-- ././Z:-------------"
"8";"Vidím/vidět/VB-S---1P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- ,/,/Z:------------- jestli/jestli/J,------------- je/oni/PPMP4--3------- to/ten/PDNS1---------- zajímá/zajímat/VB-S---3P-AAI-- ,/,/Z:------------- jestli/jestli/J,------------- mají/mít/VB-P---3P-AAI-- pro/pro/RR--4---------- vaření/vaření/NNNS4-----A---- vášeň/vášeň/NNFS4-----A----";",/,/Z:------------- co/co/PQ--4---------- si/se/P7--3---------- přejí/přát/VB-P---3P-AAI-1 dělat/dělat/Vf--------A-I-- v/v/RR--6---------- životě/život/NNIS6-----A---- ././Z:-------------"
"9";"Je/být/VB-S---3P-AAI-- zřejmé/zřejmý/AANS1----1A---- ,/,/Z:------------- jakou/jaký/P4FS7---------- k/k/RR--3---------- ní/on/P5FS3--3-------";"chová/chovat/VB-S---3P-AAI-- vášeň/vášeň/NNFS4-----A----";"././Z:------------- “/""/Z:-------------"
"10";"Princ/Princ/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- vášeň/vášeň/NNFS4-----A----";"pro/pro/RR--4---------- psy/pes/NNMP4-----A---- ,/,/Z:------------- jichž/jenž/PJMP2---------- měl/mít/VpMS----R-AAI-- pět/pět/Cn-S4---------- stovek/stovka/NNFP2-----A---- ././Z:-------------"
