id;left;kwic;right;VNP?;doc.txtype_group
1;Stejnou/stejný/AAFS4----1A----;víru/víra/NNFS4-----A---- v/v/RR--6---------- sobě/se/P6--6---------- chovají/chovat/VB-P---3P-AAI--;i/i/J^------------- jeho/jeho/PSMP1-S3------- spoluhráči/spoluhráč/NNMP1-----A---- ././Z:-------------;1;NMG: publicistika
2;V/v/RR--6---------- českých/český/AAFP6----1A---- zemích/země/NNFP6-----A---- je/být/VB-S---3P-AAI-- tato/tento/PDFS1---------- mše/mše/NNFS1-----A---- snad/snad/TT------------- jedinou/jediný/AAFS7----1A---- příležitostí/příležitost/NNFS7-----A---- v/v/RR--6---------- roce/rok/NNIS6-----A---1 ,/,/Z:------------- při/při/RR--6---------- níž/jenž/P9FS6---------- se/se/P7--4---------- pod/pod/RR--7---------- střechami/střecha/NNFP7-----A---- křesťanských/křesťanský/AAIP2----1A---- chrámů/chrám/NNIP2-----A---- setkávají/setkávat/VB-P---3P-AAI-- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- svou/svůj/P8FS4---------1;víru/víra/NNFS4-----A---- pravidelně/pravidelně/Dg-------1A---- vyznávají/vyznávat/VB-P---3P-AAI-- a/a/J^------------- praktikují/praktikovat/VB-P---3P-AAI-- ,/,/Z:------------- s/s/RR--7---------- těmi/ten/PDMP7---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- ji/on/PPFS4--3------- chovají/chovat/VB-P---3P-AAI--;hlavně/hlavně/Dg-------1A---- pro/pro/RR--4---------- sebe/se/P6--4---------- ././Z:-------------;0;NMG: publicistika
3;A/a/J^------------- ještě/ještě/Db------------- jednu/jeden/ClFS4----------;víru/víra/NNFS4-----A---- v/v/RR--6---------- sobě/se/P6--6---------- reprezentační/reprezentační/AAMS1----1A---- brankář/brankář/NNMS1-----A---- pro/pro/RR--4---------- nejbližší/blízký/AAIP4----3A---- dny/den/NNIP4-----A---- chová/chovat/VB-S---3P-AAI--;:/:/Z:------------- že/že/J,------------- ve/v/RV--6---------- středečním/středeční/AANS6----1A---- přátelském/přátelský/AANS6----1A---- mezistátním/mezistátní/AANS6----1A---- utkání/utkání/NNNS6-----A---- ve/v/RV--6---------- Slovinsku/Slovinsko/NNNS6-----A---- dostane/dostat/VB-S---3P-AAP-- vlastně/vlastně/TT------------- poprvé/poprvé/Cv------------- příležitost/příležitost/NNFS4-----A---- mezi/mezi/RR--7---------- tyčemi/tyč/NNFP7-----A---- hned/hned/Db------------- od/od/RR--2---------- první/první/CrFS2---------- minuty/minuta/NNFS2-----A---- ,/,/Z:------------- neboť/neboť/J^------------- dva/dva/ClIP1---------- předchozí/předchozí/AAIP1----1A---- starty/start/NNIP1-----A---- za/za/RR--4---------- národní/národní/AANS4----1A---- mužstvo/mužstvo/NNNS4-----A---- v/v/RR--6---------- Kuvajtu/Kuvajt/NNIS6-----A---- s/s/RR--7---------- ligovým/ligový/AAIS7----1A---- výběrem/výběr/NNIS7-----A---- a/a/J^------------- vloni/loni/Db------------- na/na/RR--6---------- jaře/jaro/NNNS6-----A---1 druhý/druhý/CrIS4---------- poločas/poločas/NNIS4-----A---- proti/proti/RR--3---------- Bělorusku/Bělorusko/NNNS3-----A---- neměly/mít/VpIP----R-NAI-- přece/přece/TT------------- jen/jen/TT------------- ten/ten/PDIS4---------- pravý/pravý/AAIS4----1A---- zvuk/zvuk/NNIS4-----A---- ././Z:-------------;1;NMG: publicistika
4;Tuto/tento/PDFS4---------- důvěru/důvěra/NNFS4-----A---- ale/ale/J^------------- nelze/lze/Db--------N---- chápat/chápat/Vf--------A-I-- jen/jen/Db------------- v/v/RR--6---------- nějakém/nějaký/PZIS6---------- omezeně/omezeně/Dg-------1A---- politickém/politický/AAIS6----1A---- a/a/J^------------- účelovém/účelový/AAIS6----1A---- smyslu/smysl/NNIS6-----A---- nebo/nebo/J^------------- jako/jako/J,------------- slepou/slepý/AAFS4----1A----;víru/víra/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- druzí/druhý/CrMP1---------- se/se/P7--4---------- budou/být/VB-P---3F-AAI-- chovat/chovat/Vf--------A-I--;tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- říkají/říkat/VB-P---3P-AAI-- ././Z:-------------;0;NMG: publicistika
5;Ráno/ráno/Db------------- ,/,/Z:------------- poprvé/poprvé/Cv------------- od/od/RR--2---------- chvíle/chvíle/NNFS2-----A---- ,/,/Z:------------- kdy/kdy/Db------------- Agnes/Agnes/NNFS1-----A---- onemocněla/onemocnět/VpFS----R-AAP-- ,/,/Z:------------- ztratila/ztratit/VpFS----R-AAP-- Aleyt/Aleyt/NNFS1-----A----;víru/víra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chovala/chovat/VpFS----R-AAI--;i/i/J^------------- v/v/RR--6---------- těch/ten/PDFP6---------- nejtěžších/těžký/AAFP6----3A---- chvílích/chvíle/NNFP6-----A---- ././Z:-------------;3;FIC: beletrie
6;Od/od/RR--2---------- dávné/dávný/AAFS2----1A---- varjažské/varjažský/AAFS2----1A---- gardy/garda/NNFS2-----A---- a/a/J^------------- původního/původní/AAIS2----1A---- félagu/félagu/X@------------- jsem/být/VB-S---1P-AAI-- čerpal/čerpat/VpMS----R-AAI--;víru/víra/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- náš/náš/PSIS1-P1------- osud/osud/NNIS1-----A---- je/být/VB-S---3P-AAI-- předurčen/předurčit/VsIS------APP-- a/a/J^------------- ragnarök/ragnarök/X@------------- jednou/jednou/Db------------- nevyhnutelně/nevyhnutelně/Dg-------1A---- přijde/přijít/VB-S---3P-AAP-- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- záleží/záležet/VB-S---3P-AAI-- na/na/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chováme/chovat/VB-P---1P-AAI--;na/na/RR--6---------- tomto/tento/PDIS6---------- světě/svět/NNIS6-----A---- ././Z:-------------;0;FIC: beletrie
7;Celá/celý/AAFS1----1A---- věc/věc/NNFS1-----A---- měla/mít/VpFS----R-AAI-- i/i/J^------------- svoji/svůj/P8FS4---------- druhou/druhý/CrFS4---------- stránku/stránka/NNFS4-----A---- ,/,/Z:------------- totiž/totiž/TT------------- jeho/on/PPMS4--3------- v/v/RR--6---------- mládí/mládí/NNNS6-----A---- nabytou/nabytý/AAFS4----1A----;víru/víra/NNFS4-----A---- v/v/RR--4---------- moc/moc/NNFS4-----A---- peněz/peníze/NNIP2-----A---- :/:/Z:------------- nacpal/nacpat/VpMS----R-AAP-- statisíce/stotisíc/CzIP4---------1 do/do/RR--2---------- lékařských/lékařský/AAIP2----1A---- výzkumů/výzkum/NNIP2-----A---- ,/,/Z:------------- do/do/RR--2---------- nemocnic/nemocnice/NNFP2-----A---- a/a/J^------------- kandidátů/kandidát/NNMP2-----A---- usilujících/usilující/AGMP2-----A---- o/o/RR--4---------- politické/politický/AAFP4----1A---- reformy/reforma/NNFP4-----A---- ,/,/Z:------------- ale/ale/J^------------- o/o/RR--6---------- tomhle/tenhle/PDNS6---------- jakživ/jakživ/ACMS------A---- nepromluvil/promluvit/VpMS----R-NAP-- ,/,/Z:------------- k/k/RR--3---------- téhle/tenhle/PDFS3---------- činnosti/činnost/NNFS3-----A---- se/se/P7--4---------- na/na/RR--6---------- veřejnosti/veřejnost/NNFS6-----A---- nehlásil/hlásit/VpMS----R-NAI-- -/-/Z:------------- choval/chovat/VpMS----R-AAI--;se/se/P7--4---------- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- to/ten/PDNS1---------- byla/být/VpFS----R-AAI-- tajná/tajný/AAFS1----1A---- neřest/neřest/NNFS1-----A---- anebo/anebo/J^------------- náboženský/náboženský/AAIS1----1A---- desátek/desátek/NNIS1-----A---- ././Z:-------------;0;FIC: beletrie
8;Myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- důležitější/důležitý/AANS1----2A---- je/být/VB-S---3P-AAI--;víru/víra/NNFS4-----A---- opravdu/opravdu/Db------------- v/v/RR--6---------- životě/život/NNIS6-----A---- ctít/ctít/Vf--------A-I-- a/a/J^------------- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- slušně/slušně/Dg-------1A---- i/i/J^------------- mimo/mimo/RR--4---------- posvátné/posvátný/AANS4----1A---- místo/místo/NNNS4-----A---- ././Z:-------------;0;NMG: publicistika
9;čest/čest/NNFS4-----A---- ,/,/Z:------------- rozum/rozum/NNIS4-----A---- ,/,/Z:-------------;víru/víra/NNFS4-----A---- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- chovat/chovat/Vf--------A-I--;,/,/Z:-------------;1;FIC: beletrie
10;Navíc/navíc/Db------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- typ/typ/NNIS1-----A---- trenéra/trenér/NNMS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- neztrácí/ztrácet/VB-S---3P-NAI-- svou/svůj/P8FS4---------1;víru/víra/NNFS4-----A---- a/a/J^------------- chová/chovat/VB-S---3P-AAI--;"se/se/P7--4---------- pořád/pořád/Db------------- stejně/stejně/Dg-------1A---- ,/,/Z:------------- ať/ať/J,------------- už/už/Db------------- vyhrává/vyhrávat/VB-S---3P-AAI-- ,/,/Z:------------- prohrává/prohrávat/VB-S---3P-AAI-- ,/,/Z:------------- nebo/nebo/J^------------- remizuje/remizovat/VB-S---3P-AAB-- ././Z:------------- “/""/Z:-------------";0;FIC: beletrie
