id;left;kwic;right
"1";"Doufáme/doufat/VB-P---1P-AAI-- ,/,/Z:------------- že/že/J,------------- „/""/Z:------------- pohádkový/pohádkový/AAIS4----1A---- týden/týden/NNIS4-----A---- “/""/Z:------------- dětem/dítě/NNFP3-----A---- zpestřil/zpestřit/VpMS----R-AAP-- pár/pár/Db------------- dní/den/NNIP2-----A---1 prázdnin/prázdniny/NNFP2-----A---- ,/,/Z:------------- naučil/naučit/VpMS----R-AAP-- je/oni/PPFP4--3------- pomáhat/pomáhat/Vf--------A-I-- jeden/jeden/ClMS1---------- druhému/druhý/CrMS3---------- ,/,/Z:-------------";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- v/v/RR--6---------- přírodě/příroda/NNFS6-----A---- ,/,/Z:------------- respektovat/respektovat/Vf--------A-I-- určitá/určitý/AANP4----1A---- pravidla/pravidlo/NNNP4-----A---- ,/,/Z:------------- a/a/J^------------- víru/víra/NNFS4-----A----";"v/v/RR--4---------- dobro/dobro/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS1---------- má/mít/VB-S---3P-AAI-- zvítězit/zvítězit/Vf--------A-P-- nad/nad/RR--7---------- zlem/zlo/NNNS7-----A---- –/-/Z:------------- nejen/nejen/Db------------- v/v/RR--6---------- pohádce/pohádka/NNFS6-----A---- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- v/v/RR--6---------- životě/život/NNIS6-----A---- ././Z:-------------"
"2";"A/a/J^------------- to/to/TT------------- nikoliv/nikoli/TT------------- jen/jen/Db------------- kvůli/kvůli/RR--3---------- citům/cit/NNIP3-----A---- ,/,/Z:------------- které/který/P4IP4---------- Abrahám/Abraham/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- svému/svůj/P8MS3---------- jedinému/jediný/AAMS3----1A---- milovanému/milovaný/AAMS3----1A---- synovi/syn/NNMS3-----A---- jako/jako/J,------------- otec/otec/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- protože/protože/J,------------- to/ten/PDNS1---------- pro/pro/RR--4---------- Abraháma/Abraham/NNMS4-----A---- rovněž/rovněž/Db------------- znamenalo/znamenat/VpNS----R-AAI-- zrušení/zrušení/NNNS4-----A---- výslovných/výslovný/AANP2----1A---- ,/,/Z:------------- dříve/brzy/Dg-------2A---- učiněných/učiněný/AANP2----1A---- Božích/boží/AANP2----1A---- zaslíbení/zaslíbení/NNNP2-----A---- ,/,/Z:------------- což/co/PE--1---------- by/být/Vc----------I-- mělo/mít/VpNS----R-AAI-- z/z/RR--2---------- definice/definice/NNFS2-----A---- podkopat/podkopat/Vf--------A-P-- jeho/jeho/PSFS4-S3------- víru/víra/NNFS4-----A----";"v/v/RR--4---------- Boha/bůh/NNMS4-----A---- ././Z:-------------"
"3";"Neměli/mít/VpMP----R-NAI-- bychom/být/Vc-P---1----I-- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- ke/k/RV--3---------- všem/všechen/PLMP3---------- stejně/stejně/Dg-------1A---- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- vzhled/vzhled/NNIS4-----A---- a/a/J^------------- víru/víra/NNFS4-----A----";"?/?/Z:-------------"
"4";"""/""/Z:------------- Ke/k/RV--3---------- každému/každý/PLMS3----------";"chovali/chovat/VpMP----R-AAI-- se/se/P7--4---------- stejně/stejně/Dg-------1A---- //Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- barvu/barva/NNFS4-----A---- ,/,/Z:------------- víru/víra/NNFS4-----A----";"a/a/J^------------- rasu/rasa/NNFS4-----A---- //Z:------------- nebáli/bát/VpMP----R-NAI-- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- ukázat/ukázat/Vf--------A-P-- naše/náš/PSIP4-P1------- ksichty/ksicht/NNIP4-----A---- //Z:------------- a/a/J^------------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- pohodě/pohoda/NNFS6-----A---- zapařit/zapařit/Vf--------A-P-- u/u/RR--2---------- sousedů/soused/NNMP2-----A---- //Z:------------- byl/být/VpIS----R-AAI-- to/ten/PDNS1---------- jen/jen/Db------------- sen/sen/NNIS1-----A---- //Z:------------- povstaňte/povstat/Vi-P---2--A-P-- //Z:------------- jenom/jen/Db------------- sen/sen/NNIS1-----A---- //Z:------------- probuďte/probudit/Vi-P---2--A-P-- se/se/P7--4---------- //Z:------------- ././Z:------------- ""/""/Z:-------------"
"5";"Doktor/doktor/NNMS1-----A---- Noguera/Noguera/X@-------------";"choval/chovat/VpMS----R-AAI-- mystickou/mystický/AAFS4----1A---- víru/víra/NNFS4-----A----";"v/v/RR--4---------- atentáty/atentát/NNIP4-----A---- proti/proti/RR--3---------- jednotlivcům/jednotlivec/NNMP3-----A---- ././Z:-------------"
"6";"Kurvy/kurva/NNFP1-----A----";"chovají/chovat/VB-P---3P-AAI-- hluboké/hluboký/AANS4----1A---- přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- skoro/skoro/Db------------- jakousi/jakýsi/PZFS4---------- víru/víra/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- německá/německý/AAFS1----1A---- armáda/armáda/NNFS1-----A---- udělá/udělat/VB-S---3P-AAP-- na/na/RR--6---------- bitevním/bitevní/AANS6----1A---- poli/pole/NNNS6-----A---- úplné/úplný/AAIP4----1A---- zázraky/zázrak/NNIP4-----A---- ,/,/Z:------------- možná/možná/TT------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- v/v/RR--6---------- posteli/postel/NNFS6-----A---- je/být/VB-S---3P-AAI-- jejich/jejich/PSFS1-P3------- udatnost/udatnost/NNFS1-----A---- dosti/dost/Dg-------1A---- chabá/chabý/AAFS1----1A---- ././Z:-------------"
"7";"Když/když/J,------------- na/na/RR--6---------- Fowlerovi/Fowler/NNMS6-----A---- ,/,/Z:------------- který/který/P4MS1---------- vždycky/vždy/Db------------- říkal/říkat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,-------------";"chová/chovat/VB-S---3P-AAI-- větší/velký/AAFS4----2A---- víru/víra/NNFS4-----A----";"ve/v/RV--4---------- stroje/stroj/NNIP4-----A---- než/než/J,------------- v/v/RR--4---------- koně/kůň/NNMS4-----A---- a/a/J^------------- lidské/lidský/AAFP4----1A---- bytosti/bytost/NNFP4-----A---- ,/,/Z:------------- přistál/přistát/VpIS----R-AAP-- trup/trup/NNIS1-----A---- letadla/letadlo/NNNS2-----A---- ,/,/Z:------------- byl/být/VpMS----R-AAI-- v/v/RR--6---------- pozici/pozice/NNFS6-----A---- skrčence/skrčenec/NNMS2-----A---- v/v/RR--6---------- nezatažené/zatažený/AAFS6----1N---- věži/věž/NNFS6-----A---- ././Z:-------------"
"8";"Abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- všichni/všechen/PLMP1---------- k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db-------------";"chovali/chovat/VpMP----R-AAI-- slušně/slušně/Dg-------1A---- a/a/J^------------- abychom/aby|být/J,-------------|Vc-P---1----I-- vždycky/vždy/Db------------- měli/mít/VpMP----R-AAI-- nějakou/nějaký/PZFS4---------- tu/ten/PDFS4---------- víru/víra/NNFS4-----A----";"a/a/J^------------- naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- bude/být/VB-S---3F-AAI-- líp/dobře/Dg-------2A---- ././Z:-------------"
"9";"Smrt/smrt/NNFS1-----A---- plukovníka/plukovník/NNMS2-----A---- Derricka/Derrick/NNMS2-----A---- ,/,/Z:------------- která/který/P4FS1---------- následovala/následovat/VpFS----R-AAI-- několik/několik/Ca--4---------- měsíců/měsíc/NNIP2-----A---- po/po/RR--6---------- smrti/smrt/NNFS6-----A---- jeho/jeho/PSFS2-S3------- ženy/žena/NNFS2-----A---- ,/,/Z:------------- odhalila/odhalit/VpFS----R-AAP-- skutečnost/skutečnost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- plukovník/plukovník/NNMS1-----A---- kromě/kromě/RR--2---------- normanské/normanský/AAFS2----1A---- krve/krev/NNFS2-----A----";"choval/chovat/VpMS----R-AAI-- také/také/Db------------- prostou/prostý/AAFS4----1A---- víru/víra/NNFS4-----A----";",/,/Z:------------- již/jenž/PJFS4---------- básník/básník/NNMS1-----A---- tak/tak/Db------------- velebí/velebit/VB-S---3P-AAI-- -/-/Z:------------- tato/tento/PDFS1---------- víra/víra/NNFS1-----A---- na/na/RR--4---------- sebe/se/P6--4---------- vzala/vzít/VpFS----R-AAP-- podobu/podoba/NNFS4-----A---- prospektů/prospekt/NNIP2-----A---- ,/,/Z:------------- jež/jenž/PJIP1---------- by/být/Vc----------I-- neoklamaly/oklamat/VpIP----R-NAP-- ani/ani/J^------------- malé/malý/AANS4----1A---- dítě/dítě/NNNS4-----A---- ;/;/Z:------------- plukovník/plukovník/NNMS1-----A---- se/se/P7--4---------- snažil/snažit/VpMS----R-AAI-- nahradit/nahradit/Vf--------A-P-- ztráty/ztráta/NNFP4-----A---- způsobené/způsobený/AAFP4----1A---- klesající/klesající/AGFS7-----A---- cenou/cena/NNFS7-----A---- půdy/půda/NNFS2-----A---- řadou/řada/NNFS7-----A---- spekulací/spekulace/NNFP2-----A---- ,/,/Z:------------- z/z/RR--2---------- nichž/jenž/P9FP2---------- každá/každý/PLFS1---------- další/další/AAFS1----1A---- byla/být/VpFS----R-AAI-- marnější/marný/AAFS1----2A---- a/a/J^------------- katastrofálnější/katastrofální/AAFS1----2A---- než/než/J,------------- ta/ten/PDFS1---------- předchozí/předchozí/AAFS1----1A---- ././Z:-------------"
"10";"Od/od/RR--2---------- té/ten/PDFS2---------- doby/doba/NNFS2-----A---- v/v/RR--6---------- sobě/se/P6--6----------";"chovám/chovat/VB-S---1P-AAI-- něco/něco/PZ--4---------- jako/jako/J,------------- víru/víra/NNFS4-----A----";"././Z:-------------"
"11";"Aby/aby|být/J,-------------|Vc----------I-- pan/pán/NNMS1-----A---- Okamura/Okamura/NNMS1-----A---- předešel/předejít/VpMS----R-AAP-- podezření/podezření/NNNS3-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- snaží/snažit/VB-S---3P-AAI-- rozeštvat/rozeštvat/Vf--------A-P-- lidi/člověk/NNMP4-----A---- a/a/J^------------- tím/ten/PDNS7---------- na/na/RR--4---------- sebe/se/P6--4---------- upozornit/upozornit/Vf--------A-P-- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- by/být/Vc----------I-- asi/asi/TT------------- návod/návod/NNIS4-----A---- na/na/RR--4---------- bojkot/bojkot/NNIS4-----A---- a/a/J^------------- šikanování/šikanování/NNNS4-----A---- muslimů/muslim/NNMP2-----A---- doplnit/doplnit/Vf--------A-P-- komentářem/komentář/NNIS7-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- lidé/člověk/NNMP1-----A---- mají/mít/VB-P---3P-AAI--";"chovat/chovat/Vf--------A-I-- k/k/RR--3---------- těm/ten/PDMP3---------- muslimům/muslim/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- náš/náš/PSIS4-P1------- způsob/způsob/NNIS4-----A---- života/život/NNIS2-----A---- respektují/respektovat/VB-P---3P-AAI-- ,/,/Z:------------- dodržují/dodržovat/VB-P---3P-AAI-- zdejší/zdejší/AAIP4----1A---- zákony/zákon/NNIP4-----A---- ,/,/Z:------------- nevnucují/vnucovat/VB-P---3P-NAI-- nám/my/PP-P3--1------- svou/svůj/P8FS4---------1 víru/víra/NNFS4-----A----";",/,/Z:------------- nebrání/bránit/VB-P---3P-NAI-- nám/my/PP-P3--1------- jíst/jíst/Vf--------A-I-- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--4---------- oni/oni/PPMP1--3------- nejedí/jíst/VB-P---3P-NAI-1 ,/,/Z:------------- neradí/radit/VB-P---3P-NAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- máme/mít/VB-P---1P-AAI-- oblékat/oblékat/Vf--------A-I-- ,/,/Z:------------- a/a/J^------------- především/především/TT------------- nás/my/PP-P4--1------- považují/považovat/VB-P---3P-AAI-- za/za/RR--4---------- prima/prima/AAMP4----1A---- lidi/člověk/NNMP4-----A---- ,/,/Z:------------- mezi/mezi/RR--7---------- kterými/který/P4MP7---------- se/se/P7--4---------- skvěle/skvěle/Dg-------1A---- cítí/cítit/VB-P---3P-AAI-- ,/,/Z:------------- a/a/J^------------- vůbec/vůbec/TT------------- nemají/mít/VB-P---3P-NAI-- zapotřebí/zapotřebí/Db------------- utvářet/utvářet/Vf--------A-I-- do/do/RR--2---------- sebe/se/P6--2---------- uzavřenou/uzavřený/AAFS4----1A---- nepřátelskou/přátelský/AAFS4----1N---- komunitu/komunita/NNFS4-----A---- ././Z:-------------"
