id;left;kwic;right
"1";"Jejich/jejich/PSFP1-P3------- emoce/emoce/NNFP1-----A---- jsou/být/VB-P---3P-AAI-- závislé/závislý/AAFP1----1A---- na/na/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jakou/jaký/P4FS4---------- oddanost/oddanost/NNFS4-----A---- či/či/J^-------------";"zlobu/zloba/NNFS4-----A---- chovají/chovat/VB-P---3P-AAI--";"ke/k/RV--3---------- svému/svůj/P8MS3---------- vůdci/vůdce/NNMS3-----A---- Saddámu/Saddám/NNMS3-----A---1 Husajnovi/Husajn/NNMS3-----A---- ././Z:-------------"
"2";"Nyní/nyní/Db------------- začal/začít/VpMS----R-AAP-- ze/z/RV--2---------- svého/svůj/P8NS2---------- nitra/nitro/NNNS2-----A---- vylévat/vylévat/Vf--------A-I-- všechnu/všechen/PLFS4---------- špínu/špína/NNFS4-----A---- ,/,/Z:-------------";"zlobu/zloba/NNFS4-----A---- ,/,/Z:------------- nenávist/nenávist/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- v/v/RR--6---------- něm/on/P5MS6--3------- byla/být/VpFS----R-AAI-- po/po/RR--4---------- léta/rok/NNNP4-----A---2 utajována/utajovat/VsFS------API-- ././Z:------------- ""/""/Z:------------- -/-/Z:------------- ""/""/Z:------------- Choval/chovat/VpMS----R-AAI--";"se/se/P7--4---------- jako/jako/J,------------- rozběsněná/rozběsněný/AAFS1----1A---- šelma/šelma/NNFS1-----A---- ,/,/Z:------------- na/na/RR--4---------- niž/jenž/P9FS4---------- spadla/spadnout/VpFS----R-AAP-1 klec/klec/NNFS1-----A---- ././Z:-------------"
"3";"Já/já/PP-S1--1------- rád/rád/ACMS------A---- míjím/míjet/VB-S---1P-AAI-- ,/,/Z:------------- kde/kde/Db------------- se/se/P7--4---------- leskne/lesknout/VB-S---3P-AAI-- sláva/sláva/NNFS1-----A---- ,/,/Z:------------- vyhýbám/vyhýbat/VB-S---1P-AAI-- se/se/P7--4---------- stanu/stan/NNIS3-----A---- bohatce/bohatec/NNMS2-----A---- :/:/Z:------------- rád/rád/ACMS------A---- on/on/PPMS1--3-------";"zlobu/zloba/NNFS4-----A---- v/v/RR--6---------- lůně/lůno/NNNS6-----A---1 svém/svůj/P8NS6---------- chovává/chovávat/VB-S---3P-AAI--";",/,/Z:------------- vzápětí/vzápětí/Db------------- pak/pak/Db------------- spor/spor/NNIS4-----A---- vyvolat/vyvolat/Vf--------A-P-- chce/chtít/VB-S---3P-AAI-- !/!/Z:-------------"
"4";"""/""/Z:------------- Na/na/RR--6---------- lodi/loď/NNFS6-----A---- bylo/být/VpNS----R-AAI-- fajn/fajn/AANS1----1A---- ,/,/Z:------------- tam/tam/Db------------- jsem/být/VB-S---1P-AAI-- nepoznala/poznat/VpFS----R-NAP-- žádnou/žádný/PWFS4----------";"zlobu/zloba/NNFS4-----A---- ,/,/Z:------------- závist/závist/NNFS4-----A---- ,/,/Z:------------- žila/žít/VpFS----R-AAI-- jsem/být/VB-S---1P-AAI-- mezi/mezi/RR--7---------- dospělými/dospělý/NNMP7-----A---- ,/,/Z:------------- a/a/J^------------- pak/pak/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- náhle/náhle/Dg-------1A---- a/a/J^------------- bez/bez/RR--2---------- přípravy/příprava/NNFS2-----A---- ocitla/ocitnout/VpFS----R-AAP-1 mezi/mezi/RR--7---------- dětmi/dítě/NNFP7-----A---- a/a/J^------------- ty/ten/PDFP1---------- se/se/P7--4---------- chovaly/chovat/VpFP----R-AAI--";"úplně/úplně/Dg-------1A---- jinak/jinak/Db------------- ././Z:-------------"
"5";"";"Zlobu/zloba/NNFS4-----A---- vůči/vůči/RR--3---------- Vám/vy/PP-P3--2------- nechovám/chovat/VB-S---1P-NAI--";"././Z:-------------"
"6";"";"Zlobu/zloba/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- soud/soud/NNIS1-----A---- choval/chovat/VpIS----R-AAI--";"vůči/vůči/RR--3---------- jeho/jeho/PSFS3-S3------- osobě/osoba/NNFS3-----A---- ,/,/Z:------------- přirovnal/přirovnat/VpMS----R-AAP-- Deri/Deri/NNMS1-----A---- ke/k/RV--3---------- zlobě/zloba/NNFS3-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- izraelští/izraelský/AAMP1----1A---- soudci/soudce/NNMP1-----A---- projevovali/projevovat/VpMP----R-AAI-- vůči/vůči/RR--3---------- Eichmannovi/Eichmann/NNMS3-----A---- a/a/J^------------- Demjanukovi/Demjanuk/NNMS3-----A---- ././Z:-------------"
"7";"""/""/Z:------------- Řekni/říci/Vi-S---2--A-P-- mu/on/PHMS3--3------- ,/,/Z:------------- ""/""/Z:------------- vmísil/vmísit/VpMS----R-AAP-- se/se/P7--4---------- do/do/RR--2---------- řeči/řeč/NNFS2-----A---- Chet/Chet/NNMS1-----A---- ,/,/Z:------------- ""/""/Z:------------- řekni/říci/Vi-S---2--A-P-- mu/on/PHMS3--3------- ,/,/Z:------------- Charlesi/Charles/NNMS5-----A---- ,/,/Z:------------- že/že/J,------------- ty/ty/PP-S1--2------- vůči/vůči/RR--3---------- němu/on/P5MS3--3------- taky/také/Db------------- žádnou/žádný/PWFS4----------";"zlobu/zloba/NNFS4-----A---- nechováš/chovat/VB-S---2P-NAI--";"././Z:------------- ""/""/Z:-------------"
"8";"Historickou/historický/AAFS4----1A----";"zlobu/zloba/NNFS4-----A---- k/k/RR--3---------- ní/on/P5FS3--3------- chovají/chovat/VB-P---3P-AAI--";"především/především/TT------------- další/další/AAMP1----1A---- dva/dva/ClMP1---------- účastníci/účastník/NNMP1-----A---- jednání/jednání/NNNS2-----A---- ,/,/Z:------------- Japonsko/Japonsko/NNNS1-----A---- a/a/J^------------- Jižní/jižní/AAFS1----1A---- Korea/Korea/NNFS1-----A---- ././Z:-------------"
"9";"Prezident/prezident/NNMS1-----A---- Bush/Bush/NNMS1-----A---- v/v/RR--4---------- pondělí/pondělí/NNNS4-----A---- znovu/znovu/Db------------- vyzval/vyzvat/VpMS----R-AAP-- Američany/Američan/NNMP4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- respektovali/respektovat/VpMP----R-AAI-- své/svůj/P8MP4---------1 spoluobčany/spoluobčan/NNMP4-----A---- muslimského/muslimský/AANS2----1A---- vyznání/vyznání/NNNS2-----A---- ,/,/Z:------------- protože/protože/J,------------- islám/islám/NNIS1-----A---- je/být/VB-S---3P-AAI-- náboženství/náboženství/NNNS1-----A---- míru/mír/NNIS2-----A---- a/a/J^------------- teroristé/terorista/NNMP1-----A---- jeho/jeho/PSFP4-S3------- zásady/zásada/NNFP4-----A---- porušují/porušovat/VB-P---3P-AAI-- ././Z:------------- ""/""/Z:------------- I/i/J^------------- přes/přes/RR--4----------";"zlobu/zloba/NNFS4-----A---- a/a/J^------------- emoce/emoce/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- pociťujeme/pociťovat/VB-P---1P-AAI-- ,/,/Z:------------- se/se/P7--4---------- musí/muset/VB-P---3P-AAI-1 správní/správný/AAMP1----1A---- Američané/Američan/NNMP1-----A---- chovat/chovat/Vf--------A-I--";"vůči/vůči/RR--3---------- sobě/se/P6--3---------- s/s/RR--7---------- respektem/respekt/NNIS7-----A---- ././Z:-------------"
"10";"Islám/islám/NNIS1-----A---- představuje/představovat/VB-S---3P-AAI-- mír/mír/NNIS4-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- teroristé/terorista/NNMP1-----A---- ztělesňují/ztělesňovat/VB-P---3P-AAI-- zlo/zlo/NNNS4-----A---- války/válka/NNFS2-----A---- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- prezident/prezident/NNMS1-----A---- ././Z:------------- ""/""/Z:------------- I/i/J^------------- přes/přes/RR--4----------";"zlobu/zloba/NNFS4-----A---- a/a/J^------------- emoce/emoce/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- pociťujeme/pociťovat/VB-P---1P-AAI-- ,/,/Z:------------- se/se/P7--4---------- musí/muset/VB-P---3P-AAI-1 správní/správný/AAMP1----1A---- Američané/Američan/NNMP1-----A---- chovat/chovat/Vf--------A-I--";"vůči/vůči/RR--3---------- sobě/se/P6--3---------- s/s/RR--7---------- respektem/respekt/NNIS7-----A---- ././Z:-------------"
