id;left;kwic;right
"1";"Z/z/RR--2---------- intelektuálního/intelektuální/AANS2----1A---- prostředí/prostředí/NNNS2-----A---- (/(/Z:------------- oba/oba/ClMP1---------- rodiče/rodič/NNMP1-----A---- vyučují/vyučovat/VB-P---3P-AAI-- na/na/RR--6---------- gymnáziu/gymnázium/NNNS6-----A---- ,/,/Z:------------- mluví/mluvit/VB-P---3P-AAI-- spisovnou/spisovný/AAFS7----1A---- italštinou/italština/NNFS7-----A---- ,/,/Z:-------------";"chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- zdrženlivě/zdrženlivě/Dg-------1A---- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- vybrané/vybraný/AAIP4----1A---- způsoby/způsob/NNIP4-----A---- )/)/Z:------------- se/se/P7--4---------- Giovanna/Giovanna/NNFS1-----A---- dostává/dostávat/VB-S---3P-AAI-- mezi/mezi/RR--4---------- prosté/prostý/AAMP4----1A---- lidi/lidé/NNMP4-----A---- bez/bez/RR--2---------- vzdělání/vzdělání/NNNS2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- pro/pro/RR--4---------- silnější/silný/AAIS4----2A---- výraz/výraz/NNIS4-----A---- nejdou/jít/VB-P---3P-NAI-- daleko/daleko/Dg-------1A---- ,/,/Z:------------- mluví/mluvit/VB-P---3P-AAI-- dialektem/dialekt/NNIS7-----A---- ,/,/Z:------------- výrazně/výrazně/Dg-------1A---- gestikulují/gestikulovat/VB-P---3P-AAI-- a/a/J^------------- nebojí/bát/VB-P---3P-NAI-- se/se/P7--4---------- dávat/dávat/Vf--------A-I-- své/svůj/P8IP4---------1 city/cit/NNIP4-----A---- najevo/najevo/Db------------- ,/,/Z:------------- ať/ať/J,------------- už/už/Db------------- jde/jít/VB-S---3P-AAI-- o/o/RR--4---------- lásku/láska/NNFS4-----A---- ,/,/Z:------------- zlobu/zloba/NNFS4-----A----";"či/či/J^------------- nenávist/nenávist/NNFS4-----A---- ././Z:-------------"
"2";"„/""/Z:------------- Nevím/vědět/VB-S---1P-NAI-- ,/,/Z:------------- jak/jak/J,------------- bych/být/Vc-S---1----I-- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- možná/možná/TT------------- jako/jako/J,------------- zvíře/zvíře/NNNS1-----A---- .../.../Z:------------- ,/,/Z:------------- zřejmě/zřejmě/TT------------- ale/ale/J^------------- slušně/slušně/Dg-------1A---- ,/,/Z:------------- “/""/Z:------------- netajil/tajit/VpMS----R-NAI-- zlobu/zloba/NNFS4-----A----";"k/k/RR--3---------- člověku/člověk/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- měl/mít/VpMS----R-AAI-- manžele/manžel/NNMP4-----A---1 připravit/připravit/Vf--------A-P-- o/o/RR--4---------- pět/pět/Cn-S4---------- milionů/milion/CzIP2---------- ././Z:-------------"
"3";"Podobně/podobně/Dg-------1A---- se/se/P7--4---------- děti/dítě/NNFP1-----A----";"chovají/chovat/VB-P---3P-AAI-- kolem/kolem/RR--2---------- vysvědčení/vysvědčení/NNNS2-----A---- nebo/nebo/J^------------- když/když/J,------------- se/se/P7--4---------- doma/doma/Db------------- s/s/RR--7---------- rodiči/rodič/NNMP7-----A---- pohádají/pohádat/VB-P---3P-AAP-- a/a/J^------------- chtějí/chtít/VB-P---3P-AAI-- je/oni/PPFP4--3------- takto/takto/Db------------- potrestat/potrestat/Vf--------A-P-- nebo/nebo/J^------------- jen/jen/Db------------- vzbudit/vzbudit/Vf--------A-P-- v/v/RR--6---------- rodičích/rodič/NNMP6-----A---- soucit/soucit/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS1---------- by/být/Vc----------I-- zahnal/zahnat/VpIS----R-AAP-- jejich/jejich/PSFS4-P3------- zlobu/zloba/NNFS4-----A----";"na/na/RR--4---------- dítě/dítě/NNNS4-----A---- ././Z:-------------"
"4";"Dospělí/dospělý/AAMP1----1A---- lidé/člověk/NNMP1-----A---- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- jako/jako/J,------------- děti/dítě/NNFP1-----A---- ,/,/Z:------------- neuvědomovali/uvědomovat/VpMP----R-NAI-- si/se/P7--3---------- závist/závist/NNFS4-----A---- ,/,/Z:------------- zlobu/zloba/NNFS4-----A----";",/,/Z:------------- neměli/mít/VpMP----R-NAI-- potřebu/potřeba/NNFS4-----A---- schraňovat/schraňovat/Vf--------A-I-- majetek/majetek/NNIS4-----A---- ,/,/Z:------------- byli/být/VpMP----R-AAI-- „/""/Z:------------- čistí/čistý/AAMP1----1A---- “/""/Z:------------- a/a/J^------------- strašně/strašně/Dg-------1A---- naivní/naivní/AAMP1----1A---- ,/,/Z:------------- a/a/J^------------- tedy/tedy/TT------------- i/i/J^------------- zranitelní/zranitelný/AAMP1----1A---- ././Z:-------------"
"5";"Kde/kde/Db------------- jste/být/VB-P---2P-AAI-- to/ten/PDNS1---------- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- zlobu/zloba/NNFS4-----A----";"'/'/Z:------------- sebral/sebrat/VpMS----R-AAP-- ?/?/Z:------------- ""/""/Z:-------------"
"6";"""/""/Z:-------------";"Choval/chovat/VpMS----R-AAI-- zlobu/zloba/NNFS4-----A----";",/,/Z:------------- ten/ten/PDIS4---------- výraz/výraz/NNIS4-----A---- žeru/žrát/VB-S---1P-AAI-- !/!/Z:-------------"
"7";"Mrzí/mrzet/VB-S---3P-AAI-- mě/já/PH-S4--1------- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- vám/vy/PP-P3--2------- způsobil/způsobit/VpMS----R-AAP-- bolest/bolest/NNFS4-----A---- -/-/Z0------------- ""/""/Z:------------- snažil/snažit/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- ho/on/PHMS4--3------- přesvědčit/přesvědčit/Vf--------A-P-- ;/;/Z:------------- doufal/doufat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- -/-/Z:------------- ""/""/Z:------------- skutečně/skutečně/TT------------- mě/já/PH-S4--1------- to/ten/PDNS1---------- mrzí/mrzet/VB-S---3P-AAI-- a/a/J^------------- už/už/Db------------- vůči/vůči/RR--3---------- vám/vy/PP-P3--2-------";"nechovám/chovat/VB-S---1P-NAI-- žádnou/žádný/PWFS4---------- zlobu/zloba/NNFS4-----A----";"././Z:------------- ""/""/Z:-------------"
"8";"Ale/ale/J^-------------";"nechovám/chovat/VB-S---1P-NAI-- k/k/RR--3---------- němu/on/P5IS3--3------- nenávist/nenávist/NNFS4-----A---- ani/ani/J^------------- zlobu/zloba/NNFS4-----A----";"././Z:-------------"
"9";"Ten/ten/PDMS1---------- ,/,/Z:------------- kdo/kdo/PKM-1----------";"chová/chovat/VB-S---3P-AAI-- zlobu/zloba/NNFS4-----A----";",/,/Z:------------- škodí/škodit/VB-S---3P-AAI-- jen/jen/Db------------- sám/sám/PLMS1---------- sobě/se/P6--3---------- ././Z:-------------"
"10";"""/""/Z:------------- Víte/vědět/VB-P---2P-AAI-- tedy/tedy/TT------------- o/o/RR--6---------- někom/někdo/PZM-6---------- jiném/jiný/AAMS6----1A---- ,/,/Z:------------- kdo/kdo/PKM-1---------- by/být/Vc----------I--";"choval/chovat/VpMS----R-AAI-- vůči/vůči/RR--3---------- vašemu/váš/PSMS3-P2------- bratrovi/bratr/NNMS3-----A---- zlobu/zloba/NNFS4-----A----";"?/?/Z:------------- ""/""/Z:-------------"
