id;left;kwic;right
"1";"""/""/Z:------------- Doufám/doufat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- ministr/ministr/NNMS1-----A---- dotáhne/dotáhnout/VB-S---3P-AAP-- svůj/svůj/P8IS4----------";"záměr/záměr/NNIS4-----A---- do/do/RR--2---------- konce/konec/NNIS2-----A---- a/a/J^------------- zruší/zrušit/VB-S---3P-AAP-- povinné/povinný/AANS4----1A---- členství/členství/NNNS4-----A---- v/v/RR--6---------- komoře/komora/NNFS6-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- navenek/navenek/Db------------- chová/chovat/VB-S---3P-AAI--";"jako/jako/J,------------- nebezpečná/bezpečný/AAFS1----1N---- lobby/lobby/NNFS1-----A---- a/a/J^------------- uvnitř/uvnitř/Db------------- jako/jako/J,------------- cech/cech/NNIS1-----A---- ,/,/Z:------------- ""/""/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- Kubů/Kubů/NNMS1-----A---- ,/,/Z:------------- podle/podle/RR--2---------- něhož/jenž/P9MS2---------- není/být/VB-S---3P-NAI-- komora/komora/NNFS1-----A---- pro/pro/RR--4---------- lékaře/lékař/NNMS4-----A---- přínosem/přínos/NNIS7-----A---- ,/,/Z:------------- jen/jen/Db------------- od/od/RR--2---------- nich/oni/P5MP2--3------- každý/každý/PLIS4---------- rok/rok/NNIS4-----A---- vymáhá/vymáhat/VB-S---3P-AAI-- členské/členský/AAIP4----1A---- příspěvky/příspěvek/NNIP4-----A---- ././Z:-------------"
"2";"požádala/požádat/VpFS----R-AAP-- Bývalou/bývalý/AAFS4----1A---- jugoslávskou/jugoslávský/AAFS4----1A---- republiku/republika/NNFS4-----A---- Makedonie/Makedonie/NNFS2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- dokázala/dokázat/VpFS----R-AAP-- činy/čin/NNIP7-----A---- své/svůj/P8IP4---------1 mírumilovné/mírumilovný/AAIP4----1A----";"záměry/záměr/NNIP4-----A---- vůči/vůči/RR--3---------- Aténám/Atény/NNFP3-----A---- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- zruší/zrušit/VB-S---3P-AAP-- řecké/řecký/AAIP4----1A---- symboly/symbol/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- užívá/užívat/VB-S---3P-AAI-- ,/,/Z:------------- a/a/J^------------- že/že/J,------------- písemně/písemně/Dg-------1A---- stvrdí/stvrdit/VB-S---3P-AAP-- ,/,/Z:------------- že/že/J,------------- nechová/chovat/VB-S---3P-NAI--";"vůči/vůči/RR--3---------- Řecku/Řecko/NNNS3-----A---- žádné/žádný/PWIP4---------- expanzionistické/expanzionistický/AAIP4----1A---- záměry/záměr/NNIP4-----A---- ././Z:-------------"
"3";"";"Záměr/záměr/NNIS4-----A---- výstavby/výstavba/NNFS2-----A---- tohoto/tento/PDIS2---------- relaxačního/relaxační/AAIS2----1A---- a/a/J^------------- odpočinkového/odpočinkový/AAIS2----1A---- areálu/areál/NNIS2-----A---- chovají/chovat/VB-P---3P-AAI--";"představitelé/představitel/NNMP1-----A---- města/město/NNNS2-----A---- již/již/Db------------- minimálně/minimálně/Dg-------1A---- dva/dva/ClIP4---------- roky/rok/NNIP4-----A---- ././Z:-------------"
"4";"Jemnice/Jemnice/NNFS1-----A---- //Z:------------- Fází/fáze/NNFS7-----A---- posuzování/posuzování/NNNS2-----A---- vlivu/vliv/NNIS2-----A---- na/na/RR--4---------- životní/životní/AANS4----1A---- prostředí/prostředí/NNNS4-----A---- nyní/nyní/Db------------- prochází/procházet/VB-S---3P-AAI--";"záměr/záměr/NNIS4-----A---- chovat/chovat/Vf--------A-I--";"prasata/prase/NNNP4-----A---- v/v/RR--6---------- okrajové/okrajový/AAFS6----1A---- části/část/NNFS6-----A---- Jemnice/Jemnice/NNFS2-----A---- při/při/RR--6---------- výjezdu/výjezd/NNIS6-----A---1 na/na/RR--4---------- Slavonice/Slavonice/NNFP4-----A---- ././Z:-------------"
"5";"Nic/nic/PW--1---------- z/z/RR--2---------- toho/ten/PDNS2---------- však/však/J^------------- vůbec/vůbec/TT------------- nezměnilo/změnit/VpNS----R-NAP-- jeho/jeho/PSIS4-S3-------";"záměr/záměr/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"k/k/RR--3---------- Annabel/Annabel/NNFS3-----A---- ././Z:-------------"
"6";"Některé/některý/PZIP4----------";"záměry/záměr/NNIP4-----A---- však/však/J^------------- člověk/člověk/NNMS1-----A---- opouští/opouštět/VB-S---3P-AAI-- ,/,/Z:------------- zatímco/zatímco/J,------------- jiné/jiný/AANS1----1A---- si/se/P7--3---------- chová/chovat/VB-S---3P-AAI--";"dál/dál/Db------------- pro/pro/RR--4---------- udržení/udržení/NNNS4-----A---- své/svůj/P8FS2---------1 životní/životní/AAFS2----1A---- úrovně/úroveň/NNFS2-----A---- ././Z:-------------"
"7";"""/""/Z:------------- Jen/jen/Db------------- se/se/P7--4---------- pěkně/pěkně/Dg-------1A---- ,/,/Z:------------- pane/pán/NNMS5-----A---- svědku/svědek/NNMS5-----A---- ,/,/Z:------------- uvolněte/uvolnit/Vi-P---2--A-P-- ,/,/Z:------------- nikdo/nikdo/PWM-1---------- vás/vy/PP-P4--2------- tu/tu/Db------------- nekousneme/kousnout/VB-P---1P-NAP-- ,/,/Z:------------- ""/""/Z:------------- -/-/Z:------------- senát/senát/NNIS1-----A---- pochopil/pochopit/VpIS----R-AAP-- prokurátorův/prokurátorův/AUIS4M---------";"záměr/záměr/NNIS4-----A---- a/a/J^------------- povzbudivě/povzbudivě/Dg-------1A---- se/se/P7--4---------- na/na/RR--4---------- svědka/svědek/NNMS4-----A---- usmáli/usmát/VpMP----R-AAP-- -/-/Z:------------- ""/""/Z:------------- a/a/J^------------- klidně/klidně/Dg-------1A---- nám/my/PP-P3--1------- povězte/povědět/Vi-P---2--A-P-- ,/,/Z:------------- co/co/PQ--1---------- bylo/být/VpNS----R-AAI-- podle/podle/RR--2---------- vás/vy/PP-P2--2------- příčinou/příčina/NNFS7-----A---- ,/,/Z:------------- že/že/J,------------- zemřelá/zemřelý/AAFS1----1A---- Alena/Alena/NNFS1-----A---- Dvořáková/Dvořáková/NNFS1-----A---- se/se/P7--4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- chovala/chovat/VpFS----R-AAI--";"tak/tak/Db------------- bezohledně/bezohledně/Dg-------1A---- ././Z:------------- ""/""/Z:-------------"
"8";"PRAHA/Praha/NNFS1-----A---- –/-/Z:------------- Na/na/RR--6---------- zasedání/zasedání/NNNS6-----A---- Rady/rada/NNFS2-----A---- ČT/ČT/BN------------- ,/,/Z:------------- kde/kde/Db------------- Jiří/Jiří/NNMS1-----A---- Janeček/Janeček/NNMS1-----A---- oznámil/oznámit/VpMS----R-AAP--";"záměr/záměr/NNIS4-----A---- odejít/odejít/Vf--------A-P-- z/z/RR--2---------- firmy/firma/NNFS2-----A---- ,/,/Z:------------- se/se/P7--4---------- generální/generální/AAMS1----1A---- ředitel/ředitel/NNMS1-----A---- nechoval/chovat/VpMS----R-NAI--";"jako/jako/J,------------- zdrcený/zdrcený/AAMS1----1A---- muž/muž/NNMS1-----A---- ././Z:-------------"
"9";"Anžto/anžto/J^------------- jsem/být/VB-S---1P-AAI-- však/však/J^------------- zločinný/zločinný/AAIS4----1A---- jeho/jeho/PSIS4-S3-------";"záměr/záměr/NNIS4-----A---- vytušil/vytušit/VpMS----R-AAP-- ,/,/Z:------------- všemožně/všemožně/Dg-------1A---- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- ho/on/PHIS4--3------- pokoušel/pokoušet/VpMS----R-AAI-- od/od/RR--2---------- záměru/záměr/NNIS2-----A---- tohoto/tento/PDNS2---------- odradit/odradit/Vf--------A-P-- ,/,/Z:------------- leč/leč/J^------------- podvodník/podvodník/NNMS1-----A---- a/a/J^------------- podlec/podlec/NNMS1-----A---- Ivan/Ivan/NNMS1-----A---- ,/,/Z:------------- syn/syn/NNMS1-----A---- Ivana/Ivan/NNMS2-----A---- Pererepenka/Pererepenka/X@------------- ,/,/Z:------------- mi/já/PH-S3--1------- vylál/vylát/VpMS----R-AAP-- jako/jako/J,------------- ten/ten/PDMS1---------- poslední/poslední/AAMS1----1A---- mužik/mužik/NNMS1-----A---- a/a/J^------------- od/od/RR--2---------- té/ten/PDFS2---------- chvíle/chvíle/NNFS2-----A---- ke/k/RV--3---------- mně/já/PP-S3--1------- chová/chovat/VB-S---3P-AAI--";"zavilou/zavilý/AAFS4----1A---- nenávist/nenávist/NNFS4-----A---- ././Z:-------------"
"10";"Nuže/nuže/TT------------- ,/,/Z:------------- podivoval/podivovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- vždycky/vždy/Db------------- s/s/RR--7---------- novým/nový/AANS7----1A---- překvapením/překvapení/NNNS7-----A---- ,/,/Z:------------- že/že/J,------------- tajné/tajný/AAIP4----1A----";"záměry/záměr/NNIP4-----A---- a/a/J^------------- myšlenky/myšlenka/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- chovají/chovat/VB-P---3P-AAI--";"dva/dva/ClMP1---------- protivníci/protivník/NNMP1-----A---- ve/v/RV--6---------- svém/svůj/P8NS6---------- nitru/nitro/NNNS6-----A---- ,/,/Z:------------- skoro/skoro/Db------------- pokaždé/pokaždé/Db------------- jeden/jeden/ClMS1---------- i/i/J^------------- druhý/druhý/CrMS1---------- navzájem/navzájem/Db------------- uhodne/uhodnout/VB-S---3P-AAP-- ././Z:-------------"
