id;left;kwic;right;VNP?;doc.txtype_group
1;"""/""/Z:------------- Tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- stát/stát/NNIS1-----A---- určuje/určovat/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- obchodník/obchodník/NNMS1-----A---- při/při/RR--6---------- výkupu/výkup/NNIS6-----A---- zálohovaných/zálohovaný/AAIP2----1A---- obalů/obal/NNIP2-----A----";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- omezuje/omezovat/VB-S---3P-AAI-- soutěživost/soutěživost/NNFS4-----A---- mezi/mezi/RR--7---------- podnikatelskými/podnikatelský/AAIP7----1A---- subjekty/subjekt/NNIP7-----A---- ,/,/Z:------------- ""/""/Z:------------- odůvodnil/odůvodnit/VpIS----R-AAP-- kabinet/kabinet/NNIS1-----A---- svůj/svůj/P8IS4---------- záměr/záměr/NNIS4-----A----";././Z:-------------;0;NMG: publicistika
2;Lidé/člověk/NNMP1-----A---- se/se/P7--4---------- snaží/snažit/VB-P---3P-AAI-- skrýt/skrýt/Vf--------A-P-- svoje/svůj/P8IP4---------- záměry/záměr/NNIP4-----A---- ,/,/Z:------------- úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- motivy/motiv/NNIP4-----A---- konání/konání/NNNS2-----A---- ,/,/Z:------------- často/často/Dg-------1A---- nemluví/mluvit/VB-P---3P-NAI-- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- co/co/PQ--4---------- si/se/P7--3---------- myslí/myslet/VB-P---3P-AAI-- ,/,/Z:------------- často/často/Dg-------1A---- se/se/P7--4----------;chovají/chovat/VB-P---3P-AAI-- v/v/RR--6---------- rozporu/rozpor/NNIS6-----A---- s/s/RR--7---------- hodnotami/hodnota/NNFP7-----A---- ,/,/Z:------------- které/který/P4FP4---------- uznávají/uznávat/VB-P---3P-AAI-- ,/,/Z:------------- nejsou/být/VB-P---3P-NAI-- si/se/P7--3---------- vědomi/vědomý/ACMP------A---- svých/svůj/P8IP2---------- pravých/pravý/AAIP2----1A---- motivů/motiv/NNIP2-----A---- anebo/anebo/J^------------- nemají/mít/VB-P---3P-NAI-- své/svůj/P8IP4---------1 záměry/záměr/NNIP4-----A----;vyjasněné/vyjasněný/AAIP4----1A---- ././Z:-------------;0;NFC: oborová literatura
3;Cílem/cíl/NNIS7-----A---- je/být/VB-S---3P-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- klienti/klient/NNMP1-----A---- získali/získat/VpMP----R-AAP-- nejen/nejen/Db------------- motivaci/motivace/NNFS4-----A---- k/k/RR--3---------- práci/práce/NNFS3-----A---- a/a/J^------------- základní/základní/AAIP4----1A---- pracovní/pracovní/AAIP4----1A---- návyky/návyk/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- určitý/určitý/AAIS4----1A---- přehled/přehled/NNIS4-----A---- o/o/RR--6---------- situaci/situace/NNFS6-----A---- ,/,/Z:------------- naučili/naučit/VpMP----R-AAP-- se/se/P7--4---------- sebedůvěře/sebedůvěra/NNFS3-----A---- ,/,/Z:------------- adekvátně/adekvátně/Dg-------1A---- se/se/P7--4----------;"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- komunikovat/komunikovat/Vf--------A-B-- apod/apod/Bb------------- ././Z0------------- ,/,/Z:------------- ""/""/Z:------------- popsala/popsat/VpFS----R-AAP-- záměr/záměr/NNIS4-----A----";charitního/charitní/AAIS2----1A---- projektu/projekt/NNIS2-----A---- Vlasta/Vlasta/NNFS1-----A---- Kopsová/Kopsová/NNFS1-----A---- ././Z:-------------;0;NMG: publicistika
4;Svým/svůj/P8IS7---------- způsobem/způsob/NNIS7-----A---- si/se/P7--3---------- říká/říkat/VB-S---3P-AAI-- o/o/RR--4---------- spekulace/spekulace/NNFP4-----A---- ,/,/Z:------------- že/že/J,-------------;chová/chovat/VB-S---3P-AAI-- nějaké/nějaký/PZIP4---------- skryté/skrytý/AAIP4----1A---- záměry/záměr/NNIP4-----A----;odlišné/odlišný/AAIP4----1A---- od/od/RR--2---------- veřejného/veřejný/AAIS2----1A---- zájmu/zájem/NNIS2-----A---- na/na/RR--6---------- řádném/řádný/AANS6----1A---- fungování/fungování/NNNS6-----A---- státního/státní/AANS2----1A---- zastupitelství/zastupitelství/NNNS2-----A---- ././Z:-------------;1;NMG: publicistika
5;Pan/pán/NNMS1-----A---- Inocenc/Inocenc/NNMS1-----A---- je/být/VB-S---3P-AAI-- více/hodně/Dg-------2A---- diplomat/diplomat/NNMS1-----A---- nežli/nežli/J,------------- kněz/kněz/NNMS1-----A---- ,/,/Z:------------- spíše/spíš/TT------------- vzdělanec/vzdělanec/NNMS1-----A---- než/než/J,------------- myslitel/myslitel/NNMS1-----A---- a/a/J^------------- jako/jako/J,------------- služebník/služebník/NNMS1-----A---- služebníků/služebník/NNMP2-----A---- božích/boží/AAMP2----1A----;chová/chovat/VB-S---3P-AAI-- pevný/pevný/AAIS4----1A---- záměr/záměr/NNIS4-----A----;být/být/Vf--------A-I-- pánem/pán/NNMS7-----A---- pánů/pán/NNMP2-----A---- ././Z:-------------;1;FIC: beletrie
6;"""/""/Z:------------- Jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- budu/být/VB-S---1F-AAI--";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- tak/tak/J^------------- mě/já/PH-S4--1------- bude/být/VB-S---3F-AAI-- živit/živit/Vf--------A-I-- ,/,/Z:------------- ""/""/Z:------------- vysvětloval/vysvětlovat/VpMS----R-AAI-- trpělivě/trpělivě/Dg-------1A---- své/svůj/P8IP4---------1 záměry/záměr/NNIP4-----A----";Samuel/Samuel/NNMS1-----A---- ././Z:-------------;0;FIC: beletrie
7;Měl/mít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- s/s/RR--7---------- sebou/se/P6--7---------- lampu/lampa/NNFS4-----A---- (/(/Z:------------- proč/proč/Db------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- ji/on/PPFS4--3------- bral/brát/VpMS----R-AAI-- ?/?/Z:------------- že/že/J,------------- bych/být/Vc-S---1----I-- v/v/RR--6---------- sobě/se/P6--6----------;choval/chovat/VpMS----R-AAI-- už/už/Db------------- předtím/předtím/Db------------- tajný/tajný/AAIS4----1A---- záměr/záměr/NNIS4-----A----;?/?/Z:------------- )/)/Z:------------- a/a/J^------------- do/do/RR--2---------- kostnice/kostnice/NNFS2-----A---- jsem/být/VB-S---1P-AAI-- vešel/vejít/VpMS----R-AAP-- málem/málem/Db------------- se/s/RV--7---------- zavřenýma/zavřený/AAFD7----1A---- očima/oko/NNFD7-----A---- ././Z:-------------;1;FIC: beletrie
8;A/a/J^------------- ani/ani/J^------------- tady/tady/Db------------- nevidím/vidět/VB-S---1P-NAI-- důvod/důvod/NNIS4-----A---- ,/,/Z:------------- proč/proč/Db------------- bychom/být/Vc-P---1----I-- se/se/P7--4---------- neměli/mít/VpMP----R-NAI--;chovat/chovat/Vf--------A-I-- tak/tak/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- nás/my/PP-P4--1------- veřejnost/veřejnost/NNFS1-----A---- za/za/RR--4---------- viníky/viník/NNMP4-----A---- takového/takový/PDIS2---------- případného/případný/AAIS2----1A---- stavu/stav/NNIS2-----A---- nemohla/moci/VpFS----R-NAI-- považovat/považovat/Vf--------A-I-- ,/,/Z:------------- případně/případně/Dg-------1A---- proč/proč/Db------------- bychom/být/Vc-P---1----I-- panu/pán/NNMS3-----A---1 Babišovi/Babiš/NNMS3-----A---1 takový/takový/PDIS4---------- záměr/záměr/NNIS4-----A----;měli/mít/VpMP----R-AAI-- ulehčovat/ulehčovat/Vf--------A-I-- ././Z:-------------;0;NMG: publicistika
9;Ale/ale/J^------------- protože/protože/J,------------- si/se/P7--3---------- uvědomoval/uvědomovat/VpMS----R-AAI-- ,/,/Z:------------- jak/jak/Db------------- rozmarně/rozmarně/Dg-------1A---- se/se/P7--4---------- Edna/Edna/NNFS1-----A---- v/v/RR--6---------- poslední/poslední/AAFS6----1A---- době/doba/NNFS6-----A----;chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- a/a/J^------------- předvídal/předvídat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- svůj/svůj/P8IS4---------- zbrklý/zbrklý/AAIS4----1A---- záměr/záměr/NNIS4-----A----;okamžitě/okamžitě/Dg-------1A---- zrealizuje/zrealizovat/VB-S---3P-AAP-- ,/,/Z:------------- začal/začít/VpMS----R-AAP-- situaci/situace/NNFS4-----A---- s/s/RR--7---------- obvyklou/obvyklý/AAFS7----1A---- rázností/ráznost/NNFS7-----A---- řešit/řešit/Vf--------A-I-- ,/,/Z:------------- přičemž/přičemž/Db------------- jednal/jednat/VpMS----R-AAI-- se/s/RV--7---------- svým/svůj/P8IS7---------- proslulým/proslulý/AAIS7----1A---- obchodnickým/obchodnický/AAIS7----1A---- taktem/takt/NNIS7-----A---- a/a/J^------------- důmyslem/důmysl/NNIS7-----A---- ././Z:-------------;0;FIC: beletrie
10;Ani/ani/J^------------- v/v/RR--6---------- republice/republika/NNFS6-----A---- nejsme/být/VB-P---1P-NAI-- prvními/první/CrMP7---------- ,/,/Z:------------- včely/včela/NNFP1-----A---- jsou/být/VB-P---3P-AAI--;"chovány/chovat/VsFP------API-- například/například/TT------------- na/na/RR--6---------- budově/budova/NNFS6-----A---- Národního/národní/AANS2----1A---- divadla/divadlo/NNNS2-----A---- nebo/nebo/J^------------- Akademie/akademie/NNFS2-----A---- věd/věda/NNFP2-----A---- ,/,/Z:------------- “/""/Z:------------- přiblížil/přiblížit/VpMS----R-AAP-- záměr/záměr/NNIS4-----A----";chovu/chov/NNIS2-----A---- ././Z:-------------;0;NMG: publicistika
