id;left;kwic;right;VNP?;doc.txtype_group
1;Obránce/obránce/NNMS1-----A---- Sýkora/Sýkora/NNMS1-----A----;zášť/zášť/NNFS4-----A---- k/k/RR--3---------- zámoří/zámoří/NNNS3-----A---- nechová/chovat/VB-S---3P-NAI--;;1;NMG: publicistika
2;"Ve/v/RV--6---------- stejném/stejný/AAIS6----1A---- duchu/duch/NNIS6-----A---- se/se/P7--4---------- vyjádřil/vyjádřit/VpMS----R-AAP-- i/i/J^------------- Hill/Hill/NNMS1-----A---- a/a/J^------------- dodal/dodat/VpMS----R-AAP-- :/:/Z:------------- ""/""/Z:-------------";Zášť/zášť/NNFS4-----A---- k/k/RR--3---------- Michaelovi/Michael/NNMS3-----A---- za/za/RR--4---------- srážku/srážka/NNFS4-----A---- v/v/RR--6---------- Adelaide/Adelaide/NNNS6-----A---- nechovám/chovat/VB-S---1P-NAI--;././Z:-------------;1;NMG: publicistika
3;;Zášť/zášť/NNFS4-----A---- k/k/RR--3---------- žádné/žádný/PWFS3---------- konkrétní/konkrétní/AAFS3----1A---- známé/známý/AAFS3----1A---- osobnosti/osobnost/NNFS3-----A---- nechovám/chovat/VB-S---1P-NAI--;././Z:-------------;1;NMG: publicistika
4;Ke/k/RV--3---------- králi/král/NNMS3-----A---- džungle/džungle/NNFS2-----A---- ,/,/Z:------------- i/i/J^------------- přes/přes/RR--4---------- děsivost/děsivost/NNFS4-----A---- napáchaných/napáchaný/AAIP2----1A---- činů/čin/NNIP2-----A---- ,/,/Z:------------- však/však/J^-------------;zášť/zášť/NNFS4-----A---- nechoval/chovat/VpMS----R-NAI--;././Z:-------------;1;NMG: publicistika
5;Kristinina/Kristinin/AUFS1F--------- láska/láska/NNFS1-----A---- ke/k/RV--3---------- Karlu/Karel/NNMS3-----A---1 Gustavovi/Gustav/NNMS3-----A---- se/se/P7--4---------- ale/ale/J^------------- nezměnila/změnit/VpFS----R-NAP-- v/v/RR--4----------;zášť/zášť/NNFS4-----A---- nebo/nebo/J^------------- něco/něco/PZ--4---------- podobného/podobný/AANS2----1A---- :/:/Z:------------- chovala/chovat/VpFS----R-AAI--;ho/on/PHMS4--3------- i/i/J^------------- nadále/nadále/Db------------- v/v/RR--6---------- úctě/úcta/NNFS6-----A---- a/a/J^------------- zacházela/zacházet/VpFS----R-AAI-- s/s/RR--7---------- ním/on/P5MS7--3------- vlídně/vlídně/Dg-------1A---- ././Z:-------------;0;FIC: beletrie
6;Já/já/PP-S1--1------- k/k/RR--3---------- vašim/váš/PSMP3-P2------- lidem/člověk/NNMP3-----A---- nechovám/chovat/VB-S---1P-NAI-- žádnou/žádný/PWFS4----------;zášť/zášť/NNFS4-----A---- a/a/J^------------- většina/většina/NNFS1-----A---- z/z/RR--2---------- nich/oni/P5MP2--3------- ji/on/PPFS4--3------- nechová/chovat/VB-S---3P-NAI--;"ani/ani/J^------------- ke/k/RV--3---------- mně/já/PP-S3--1------- ././Z:------------- ""/""/Z:-------------";0;FIC: beletrie
7;Od/od/RR--2---------- samého/samý/PLIS2---------- počátku/počátek/NNIS2-----A---- našeho/náš/PSNS2-P1------- společného/společný/AANS2----1A---- putování/putování/NNNS2-----A---- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- dobře/dobře/Dg-------1A---- uvědomoval/uvědomovat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- si/se/P7--3---------- musím/muset/VB-S---1P-AAI-- pojistit/pojistit/Vf--------A-P-- její/její/PSFS4FS3------- naprostou/naprostý/AAFS4----1A---- spolupráci/spolupráce/NNFS4-----A---- v/v/RR--6---------- utajeni/utajit/VsMP------APP-- našeho/náš/PSIS2-P1------- vztahu/vztah/NNIS3-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- měla/mít/VpFS----R-AAI-- stát/stát/Vf--------A-P-- její/její/PSFS7FS3------- druhou/druhý/CrFS7---------- přirozeností/přirozenost/NNFS7-----A---- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jakou/jaký/P4FS4----------;zášť/zášť/NNFS4-----A---- může/moci/VB-S---3P-AAI-- ke/k/RV--3---------- mně/já/PP-S3--1------- chovat/chovat/Vf--------A-I--;,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jaké/jaký/P4IP4---------- jiné/jiný/AANS4----1A---- rozptýleni/rozptýlit/VsMP------APP-- může/moci/VB-S---3P-AAI-- vyhledávat/vyhledávat/Vf--------A-I-- ././Z:-------------;1;FIC: beletrie
8;Ale/ale/J^------------- to/ten/PDNS1---------- už/už/Db------------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- momentě/moment/NNIS6-----A---- ,/,/Z:------------- kdy/kdy/Db------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- řekl/říci/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- budu/být/VB-S---1F-AAI-- tu/ten/PDFS4----------;zášť/zášť/NNFS4-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- chovat/chovat/Vf--------A-I--;,/,/Z:------------- budu/být/VB-S---1F-AAI-- ubližovat/ubližovat/Vf--------A-I-- pouze/pouze/Db------------- sobě/se/P6--3---------- ,/,/Z:------------- a/a/J^------------- to/ten/PDNS4---------- nechci/chtít/VB-S---1P-NAI-- ././Z:-------------;1;NMG: publicistika
9;takovou/takový/PDFS4----------;zášť/zášť/NNFS4-----A---- k/k/RR--3---------- sobě/se/P6--3---------- chovají/chovat/VB-P---3P-AAI--;,/,/Z:-------------;1;FIC: beletrie
10;Spring/Spring/F%------------- Tobinová/Tobinová/X@------------- ,/,/Z:------------- Vernonova/Vernonův/AUFS1M--------- mladší/mladý/AAFS1----2A---- sestra/sestra/NNFS1-----A---- ,/,/Z:------------- Ann/Anna/NNFS1-----A---- pevně/pevně/Dg-------1A---- objala/obejmout/VpFS----R-AAP-- ,/,/Z:------------- žádnou/žádný/PWFS4----------;zášť/zášť/NNFS4-----A---- k/k/RR--3---------- ní/on/P5FS3--3------- nechovala/chovat/VpFS----R-NAI--;././Z:-------------;1;FIC: beletrie
