id;left;kwic;right
"1";"Držte/držet/Vi-P---2--A-I-- na/na/RR--6---------- uzdě/uzda/NNFS6-----A---- své/svůj/P8FP4---------1 špatné/špatný/AAFP4----1A---- vlastnosti/vlastnost/NNFP4-----A---- :/:/Z:------------- Nepodléhejte/podléhat/Vi-P---2--N-I-- zlosti/zlost/NNFS3-----A---- ,/,/Z:-------------";"nechovejte/chovat/Vi-P---2--N-I-- v/v/RR--6---------- sobě/se/P6--6---------- zášť/zášť/NNFS4-----A----";"a/a/J^------------- nechtějte/chtít/Vi-P---2--N-I-- druhé/druhý/CrMP4---------- ovládat/ovládat/Vf--------A-I-- silou/síla/NNFS7-----A---- ././Z:-------------"
"2";"Jedinou/jediný/AAFS7----1A---- bytostí/bytost/NNFS7-----A---- ,/,/Z:------------- vůči/vůči/RR--3---------- níž/jenž/P9FS3----------";"chovám/chovat/VB-S---1P-AAI-- zášť/zášť/NNFS4-----A----";",/,/Z:------------- možná/možná/TT------------- jistou/jistý/AAFS4----1A---- nenávist/nenávist/NNFS4-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- Anděl/anděl/NNMS1-----A---- ././Z:-------------"
"3";"Andrew/Andrew/NNMS1-----A---- vůči/vůči/RR--3---------- učitelce/učitelka/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- ho/on/PHMS4--3------- bila/bít/VpFS----R-AAI-- ,/,/Z:-------------";"nechoval/chovat/VpMS----R-NAI-- žádnou/žádný/PWFS4---------- zjevnou/zjevný/AAFS4----1A---- zášť/zášť/NNFS4-----A----";"././Z:-------------"
"4";"Tak/tak/Db------------- mnohé/mnohý/AANS4----1A---- stavěla/stavět/VpFS----R-AAI-- jsi/být/VB-S---2P-AAI-- i/i/J^------------- pohřbila/pohřbít/VpFS----R-AAP-- mnohé/mnohý/AANS4----1A---- ,/,/Z:------------- neboť/neboť/J^-------------";"chová/chovat/VB-S---3P-AAI-- zášť/zášť/NNFS4-----A----";",/,/Z:------------- co/co/J,------------- dávno/dávno/Dg-------1A---- kdys/kdysi/Db------------- ,/,/Z:------------- ty/ty/PP-S1--2------- všemocná/všemocný/AAFS1----1A---- ,/,/Z:------------- jsi/být/VB-S---2P-AAI-- pozvedla/pozvednout/VpFS----R-AAP-1 k/k/RR--3---------- světlu/světlo/NNNS3-----A---- ././Z:-------------"
"5";"I/i/J^------------- kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- z/z/RR--2---------- hrobu/hrob/NNIS2-----A---- vrátil/vrátit/VpMS----R-AAP-- Mikuláš/Mikuláš/NNMS1-----A---- II/II/C}------------- ././Z0------------- nebo/nebo/J^------------- Kolčak/Kolčak/NNMS1-----A---- -/-/Z:------------- ani/ani/J^------------- proti/proti/RR--3---------- nim/oni/P5MP3--3-------";"nechoval/chovat/VpMS----R-NAI-- Stalin/Stalin/NNMS1-----A---- osobní/osobní/AAFS4----1A---- zášť/zášť/NNFS4-----A----";"././Z:-------------"
"6";"Jestli/jestli/J,------------- ke/k/RV--3---------- mně/já/PP-S3--1-------";"chováte/chovat/VB-P---2P-AAI-- zášť/zášť/NNFS4-----A----";",/,/Z:------------- jsem/být/VB-S---1P-AAI-- ochoten/ochotný/ACMS------A---- vás/vy/PP-P4--2------- královsky/královsky/Dg-------1A---- odškodnit/odškodnit/Vf--------A-P-- ././Z:-------------"
"7";"Mohl/moci/VpMS----R-AAI-- to/ten/PDNS4---------- být/být/Vf--------A-I-- obyčejný/obyčejný/AAMS1----1A---- lupič/lupič/NNMS1-----A---- ,/,/Z:------------- nebo/nebo/J^------------- možná/možná/TT-------------";"choval/chovat/VpMS----R-AAI-- vůči/vůči/RR--3---------- panu/pán/NNMS3-----A---1 Douglasovi/Douglas/NNMS3-----A---1 soukromou/soukromý/AAFS4----1A---- zášť/zášť/NNFS4-----A----";"././Z:-------------"
"8";"Udělejte/udělat/Vi-P---2--A-P-- si/se/P7--3---------- každý/každý/PLIS4---------- den/den/NNIS4-----A---- nějakou/nějaký/PZFS4---------- ,/,/Z:------------- i/i/J^------------- malou/malý/AAFS4----1A---- radost/radost/NNFS4-----A---- ././Z0------------- */*/Z:------------- Chovejte/chovat/Vi-P---2--A-I-- se/se/P7--4---------- k/k/RR--3---------- ?/?/Z:------------- sobě/se/P6--3---------- ,/,/Z:------------- jak/jak/Db------------- byste/být/Vc-P---2----I-- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- k/k/RR--3---------- ?/?/Z:------------- dobrému/dobrý/AAMS3----1A---- příteli/přítel/NNMS3-----A---- ././Z0------------- */*/Z:------------- Odpouštějte/odpouštět/Vi-P---2--A-I-- si/se/P7--3---------- drobná/drobný/AANP4----1A---- pochybení/pochybení/NNNP4-----A---- a/a/J^------------- ?/?/Z:------------- selhání/selhání/NNNP4-----A---- ././Z0------------- */*/Z:------------- Nezapomínejte/zapomínat/Vi-P---2--N-I-- se/se/P7--4---------- pochválit/pochválit/Vf--------A-P-- za/za/RR--4---------- ?/?/Z:------------- vše/všechen/PLNS4---------1 ,/,/Z:------------- co/co/PQ--1---------- se/se/P7--4---------- vám/vy/PP-P3--2------- povede/vést/VB-S---3F-AAI-- ././Z0------------- */*/Z:------------- Netrapte/trápit/Vi-P---2--N-I-- se/se/P7--4---------- záležitostmi/záležitost/NNFP7-----A---- ,/,/Z:------------- které/který/P4FP4---------- nedokážete/dokázat/VB-P---2P-NAP-- změnit/změnit/Vf--------A-P-- ././Z0------------- */*/Z:------------- Nenoste/nosit/Vi-P---2--N-I-- v/v/RR--6---------- ?/?/Z:------------- sobě/se/P6--6---------- ukřivděnost/ukřivděnost/NNFS4-----A---- ,/,/Z:------------- zášť/zášť/NNFS4-----A----";",/,/Z:------------- závist/závist/NNFS4-----A---- a/a/J^------------- ?/?/Z:------------- nenávist/nenávist/NNFS4-----A---- ././Z0------------- */*/Z:------------- Neděste/děsit/Vi-P---2--N-I-- se/se/P7--4---------- předem/předem/Db------------- věcí/věc/NNFP2-----A---- ,/,/Z:------------- které/který/P4FP1---------- možná/možná/TT------------- ani/ani/J^------------- nenastanou/nastat/VB-P---3P-NAP-- ././Z0------------- */*/Z:------------- Těšte/těšit/Vi-P---2--A-I-- se/se/P7--4---------- ,/,/Z:------------- co/co/PQ--1---------- všechno/všechen/PLNS1---------- pěkného/pěkný/AANS2----1A---- na/na/RR--6---------- ?/?/Z:------------- vás/vy/PP-P4--2------- v/v/RR--6---------- ?/?/Z:------------- životě/život/NNIS6-----A---- čeká/čekat/VB-S---3P-AAI-- ././Z:-------------"
"9";"";"Nechoval/chovat/VpMS----R-NAI-- někdo/někdo/PZM-1---------- vůči/vůči/RR--3---------- vašemu/váš/PSMS3-P2------- synovi/syn/NNMS3-----A---- zášť/zášť/NNFS4-----A----";"?/?/Z:------------- ""/""/Z:-------------"
"10";"V/v/RR--6---------- 60/60/C=------------- ././Z0------------- letech/rok/NNNP6-----A---- už/už/Db------------- ale/ale/J^------------- bylo/být/VpNS----R-AAI-- společenské/společenský/AANS1----1A---- klima/klima/NNNS1-----A---- jiné/jiný/AANS1----1A---- -/-/Z0------------- a/a/J^------------- většina/většina/NNFS1-----A---- autorů/autor/NNMP2-----A---- čtvrtého/čtvrtý/CrIS2---------- svazku/svazek/NNIS2-----A---- DČL/DČL/X@------------- zajisté/zajisté/TT------------- k/k/RR--3---------- dílu/dílo/NNNS3-----A---- Arna/Arno/NNMS2-----A---- Nováka/Novák/NNMS2-----A----";"nechovala/chovat/VpFS----R-NAI-- takovou/takový/PDFS4---------- zášť/zášť/NNFS4-----A----";",/,/Z:------------- jakou/jaký/P4FS4---------- kdysi/kdysi/Db------------- pociťoval/pociťovat/VpMS----R-AAI-- jeden/jeden/ClMS1---------- z/z/RR--2---------- nich/oni/P5MP2--3------- ,/,/Z:------------- František/František/NNMS1-----A---- Buriánek/Buriánek/NNMS1-----A---- (/(/Z:------------- v/v/RR--6---------- roce/rok/NNIS6-----A---1 1952/1952/C=------------- se/se/P7--4---------- z/z/RR--2---------- ní/on/P5FS2--3------- vyznal/vyznat/VpMS----R-AAP-- spiskem/spisek/NNIS7-----A---- Proti/proti/RR--3---------- buržoazní/buržoazní/AAFS3----1A---- literární/literární/AAFS3----1A---- ""/""/Z:------------- vědě/věda/NNFS3-----A---- ""/""/Z:------------- Arna/Arno/NNMS2-----A---- Nováka/Novák/NNMS2-----A---- )/)/Z:------------- ././Z:-------------"
