id;left;kwic;right;VNP?;doc.txtype_group
1;Myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- ideálním/ideální/AAMS7----1A---- prezidentem/prezident/NNMS7-----A---- by/být/Vc----------I-- byl/být/VpMS----R-AAI-- člověk/člověk/NNMS1-----A---- typu/typ/NNIS2-----A---- Karla/Karel/NNMS2-----A---- Schwarzenberga/Schwarzenberg/NNMS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- je/být/VB-S---3P-AAI-- pevně/pevně/Dg-------1A---- ukotven/ukotvit/VsMS------APP-- v/v/RR--6---------- evropských/evropský/AAFP6----1A---- dějinách/dějiny/NNFP6-----A---- ,/,/Z:------------- má/mít/VB-S---3P-AAI--;úctu/úcta/NNFS4-----A---- k/k/RR--3---------- tradici/tradice/NNFS3-----A---- ,/,/Z:------------- ve/v/RV--6---------- světě/svět/NNIS6-----A---- je/být/VB-S---3P-AAI-- vysoce/vysoce/Db------------- respektován/respektovat/VsMS------API-- ,/,/Z:------------- umí/umět/VB-S---3P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--;a/a/J^------------- celým/celý/AAIS7----1A---- svým/svůj/P8IS7---------- životem/život/NNIS7-----A---- stvrzuje/stvrzovat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- má/mít/VB-S---3P-AAI-- pevný/pevný/AAIS4----1A---- charakter/charakter/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- zároveň/zároveň/Db------------- neopovrhuje/opovrhovat/VB-S---3P-NAI-- kompromisy/kompromis/NNIP4-----A---- ,/,/Z:------------- bez/bez/RR--2---------- nichž/jenž/P9IP2---------- nelze/lze/Db--------N---- tvořit/tvořit/Vf--------A-I-- žádnou/žádný/PWFS4---------- reálnou/reálný/AAFS4----1A---- politiku/politika/NNFS4-----A---- ././Z:-------------;0;NMG: publicistika
2;Když/když/J,------------- k/k/RR--3---------- nám/my/PP-P3--1------- přišel/přijít/VpMS----R-AAP-- někdo/někdo/PZM-1---------- z/z/RR--2---------- velkých/velký/AAMP2----1A---- autorů/autor/NNMP2-----A---- ,/,/Z:------------- třeba/třeba/TT------------- Mandelštam/Mandelštam/NNMS1-----A---- nebo/nebo/J^------------- Čukovskij/Čukovský/NNMS1-----A---- ,/,/Z:------------- neprojevovala/projevovat/VpFS----R-NAI-- jim/oni/PPMP3--3------- zvláštní/zvláštní/AAFS4----1A----;úctu/úcta/NNFS4-----A---- ,/,/Z:------------- ale/ale/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- poznal/poznat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- je/oni/PPMP4--3------- sleduje/sledovat/VB-S---3P-AAI-- pozorněji/pozorně/Dg-------2A---- a/a/J^------------- všímá/všímat/VB-S---3P-AAI-- si/se/P7--3---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;k/k/RR--3---------- otci/otec/NNMS3-----A---- ././Z:-------------;0;FIC: beletrie
3;Právě/právě/Db------------- s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- mimořádnou/mimořádný/AAFS4----1A----;úctu/úcta/NNFS4-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- chováme/chovat/VB-P---1P-AAI--;,/,/Z:------------- říkám/říkat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- nás/my/PP-P4--1------- leccos/leccos/PZ--1---------- z/z/RR--2---------- jeho/jeho/PSIS2-S3------- nedávného/dávný/AAIS2----1N---- projevu/projev/NNIS2-----A---- na/na/RR--6---------- pražské/pražský/AAFS6----1A---- Univerzitě/univerzita/NNFS6-----A---- Karlově/Karlův/AUFS6M--------- zklamalo/zklamat/VpNS----R-AAP-- ././Z:-------------;3;NMG: publicistika
4;Velkou/velký/AAFS4----1A----;úctu/úcta/NNFS4-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- chová/chovat/VB-S---3P-AAI--;prezident/prezident/NNMS1-----A---- Václav/Václav/NNMS1-----A---- Klaus/Klaus/NNMS1-----A---- ././Z:-------------;1;NMG: publicistika
5;Z/z/RR--2---------- nesnází/nesnáz/NNFP2-----A---- nám/my/PP-P3--1------- pomohl/pomoci/VpMS----R-AAP-- náš/náš/PSMS1-P1------- statečný/statečný/AAMS1----1A---- Pauleau/Pauleau/X@------------- ,/,/Z:------------- znovu/znovu/Db------------- tak/tak/Db------------- mohl/moci/VpMS----R-AAI-- dokázat/dokázat/Vf--------A-P-- ,/,/Z:------------- jakou/jaký/P4FS4----------;úctu/úcta/NNFS4-----A---- k/k/RR--3---------- nám/my/PP-P3--1------- chová/chovat/VB-S---3P-AAI--;././Z:-------------;1;FIC: beletrie
6;Nemusel/muset/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- vám/vy/PP-P3--2------- tenkrát/tenkrát/Db------------- říci/říci/Vf--------A-P-- nic/nic/PW--4---------- ,/,/Z:------------- neboť/neboť/J^------------- jsme/být/VB-P---1P-AAI-- k/k/RR--3---------- sobě/se/P6--3---------- nebyli/být/VpMP----R-NAI-- nijak/nijak/Db------------- morálně/morálně/Dg-------1A---- vázáni/vázat/VsMP------API-- ,/,/Z:------------- a/a/J^------------- dokonce/dokonce/TT------------- jsme/být/VB-P---1P-AAI-- naprosto/naprosto/Db------------- přerušili/přerušit/VpMP----R-AAP-- veškeré/veškerý/PLIP4---------- styky/styk/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- raději/rád/Dg-------2A---- jsem/být/VB-S---1P-AAI-- riskoval/riskovat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- navždy/navždy/Db------------- ztratím/ztratit/VB-S---1P-AAP--;úctu/úcta/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- jste/být/VB-P---2P-AAI-- ke/k/RV--3---------- mně/já/PP-S3--1------- snad/snad/TT------------- chovala/chovat/VpFS----R-AAI--;,/,/Z:------------- než/než/J,------------- abych/aby|být/J,-------------|Vc-S---1----I-- před/před/RR--7---------- Vámi/vy/PP-P7--2------- skrýval/skrývat/VpMS----R-AAI-- své/svůj/P8IP4---------1 pravé/pravý/AAIP4----1A---- city/cit/NNIP4-----A---- ././Z:-------------;3;FIC: beletrie
7;Děláš/dělat/VB-S---2P-AAI-- si/se/P7--3---------- ze/z/RV--2---------- mě/já/PH-S2--1------- blázny/blázen/NNMP4-----A---- ?/?/Z:------------- `/`/Z:------------- ,/,/Z:------------- To/ten/PDNS4---------- bych/být/Vc-S---1----I-- si/se/P7--3---------- nikdy/nikdy/Db------------- nedovolil/dovolit/VpMS----R-NAP-- pro/pro/RR--4----------;úctu/úcta/NNFS4-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- k/k/RR--3---------- tobě/ty/PP-S3--2------- chovám/chovat/VB-S---1P-AAI--;,/,/Z:------------- ó/ó/II------------- Auguste/August/NNMS5-----A---- ,/,/Z:------------- i/i/J^------------- k/k/RR--3---------- celému/celý/AAIS3----1A---- tvému/tvůj/PSIS3-S2------- vznešenému/vznešený/AAIS3----1A---- domu/dům/NNIS3-----A---- ././Z:-------------;3;FIC: beletrie
8;Jednu/jeden/ClFS4---------- z/z/RR--2---------- kapitol/kapitola/NNFP2-----A---- nazval/nazvat/VpMS----R-AAP-- Arcibiskup/arcibiskup/NNMS1-----A---- jako/jako/J,------------- přítel/přítel/NNMS1-----A---- a/a/J^------------- vzor/vzor/NNIS1-----A---- a/a/J^------------- vyznává/vyznávat/VB-S---3P-AAI-- se/se/P7--4---------- ,/,/Z:------------- jakou/jaký/P4FS4----------;úctu/úcta/NNFS4-----A---- a/a/J^------------- vážnost/vážnost/NNFS4-----A---- ke/k/RV--3---------- Graubnerovi/Graubner/NNMS3-----A---- choval/chovat/VpMS----R-AAI--;od/od/RR--2---------- jejich/jejich/PSNS2-P3------- prvního/první/CrNS2---------- setkání/setkání/NNNS2-----A---- ././Z:-------------;1;NMG: publicistika
9;Pěkný/pěkný/AAMS1----1A---- muž/muž/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- nebyl/být/VpMS----R-NAI-- zahleděný/zahleděný/AAMS1----1A---- do/do/RR--2---------- své/svůj/P8FS2---------1 krásy/krása/NNFS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- jí/on/PPFS3--3------- projevoval/projevovat/VpMS----R-AAI--;úctu/úcta/NNFS4-----A---- ,/,/Z:------------- s/s/RR--7---------- nímž/jenž/P9IS7---------- mohla/moci/VpFS----R-AAI-- mluvit/mluvit/Vf--------A-I-- volně/volně/Dg-------1A---- a/a/J^------------- jenž/jenž/PJMS1---------- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- choval/chovat/VpMS----R-AAI--;jako/jako/J,------------- k/k/RR--3---------- lidské/lidský/AAFS3----1A---- bytosti/bytost/NNFS3-----A---- a/a/J^------------- ne/ne/TT------------- jako/jako/J,------------- k/k/RR--3---------- možné/možný/AAFS3----1A---- sexuální/sexuální/AAFS3----1A---- oběti/oběť/NNFS3-----A---- ././Z:-------------;0;FIC: beletrie
10;Ačkoli/ačkoli/J,------------- jsou/být/VB-P---3P-AAI-- všichni/všechen/PLMP1---------- aktéři/aktér/NNMP1-----A---- rozhovoru/rozhovor/NNIS2-----A---- ve/v/RV--6---------- vládě/vláda/NNFS6-----A---- jen/jen/Db------------- díky/díky/RR--3---------- Miloši/Miloš/NNMS3-----A---- Zemanovi/Zeman/NNMS3-----A---- ,/,/Z:------------- teď/teď/Db------------- prozradili/prozradit/VpMP----R-AAP-- ,/,/Z:------------- že/že/J,------------- v/v/RR--6---------- soukromí/soukromí/NNNS6-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- žádnou/žádný/PWFS4---------- zvláštní/zvláštní/AAFS4----1A----;úctu/úcta/NNFS4-----A---- nechovají/chovat/VB-P---3P-NAI--;././Z:-------------;1;NMG: publicistika
