id;left;kwic;right;VNP?;doc.txtype_group
1;Posléze/posléze/Db------------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- začal/začít/VpMS----R-AAP--;chovat/chovat/Vf--------A-I-- navíc/navíc/Db------------- obrovskou/obrovský/AAFS4----1A---- úctu/úcta/NNFS4-----A----;,/,/Z:------------- protože/protože/J,------------- její/její/PSNS1FS3------- umírání/umírání/NNNS1-----A---- bylo/být/VpNS----R-AAI-- něco/něco/PZ--1---------- impozantního/impozantní/AANS2----1A---- a/a/J^------------- krásného/krásný/AANS2----1A---- ././Z:-------------;1;NFC: oborová literatura
2;;Chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db------------- velkou/velký/AAFS4----1A---- úctu/úcta/NNFS4-----A----;,/,/Z:------------- to/ten/PDNS1---------- mi/já/PH-S3--1------- jinde/jinde/Db------------- chybí/chybět/VB-S---3P-AAI-- ././Z:-------------;1;NMG: publicistika
3;PRAHA/Praha/NNFS1-----A---- -/-/Z:------------- Skladatel/skladatel/NNMS1-----A---- Karel/Karel/NNMS1-----A---- Svoboda/Svoboda/NNMS1-----A---- (/(/Z:------------- zemřel/zemřít/VpMS----R-AAP-- 68/68/C=------------- )/)/Z:------------- se/se/P7--4---------- chtěl/chtít/VpMS----R-AAI-- se/s/RV--7---------- svou/svůj/P8FS7---------1 manželkou/manželka/NNFS7-----A---- Vendulou/Vendula/NNFS7-----A---- nechat/nechat/Vf--------A-P-- rozvést/rozvést/Vf--------A-P-- ,/,/Z:------------- protože/protože/J,------------- k/k/RR--3---------- němu/on/P5MS3--3-------;nechovala/chovat/VpFS----R-NAI-- náležitou/náležitý/AAFS4----1A---- úctu/úcta/NNFS4-----A----;a/a/J^------------- respekt/respekt/NNIS4-----A---- !/!/Z:-------------;1;NMG: publicistika
4;"„/""/Z:-------------";Chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- otci/otec/NNMS3-----A---- úctu/úcta/NNFS4-----A----;",/,/Z:------------- “/""/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- Chálid/Chálid/NNMS1-----A---- ,/,/Z:------------- „/""/Z:------------- ale/ale/J^------------- mám/mít/VB-S---1P-AAI-- před/před/RR--7---------- sebou/se/P6--7---------- větší/velký/AAIS4----2A---- úkol/úkol/NNIS4-----A---- ././Z:-------------";1;FIC: beletrie
5;;Chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- velkou/velký/AAFS4----1A---- úctu/úcta/NNFS4-----A----;",/,/Z:------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- trenér/trenér/NNMS1-----A---- a/a/J^------------- osobnost/osobnost/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- má/mít/VB-S---3P-AAI-- plné/plný/AANS4----1A---- právo/právo/NNNS4-----A---- rozhodnout/rozhodnout/Vf--------A-P-- se/se/P7--4---------- po/po/RR--6---------- sezoně/sezóna/NNFS6-----A---- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- uzná/uznat/VB-S---3P-AAP-- za/za/RR--4---------- vhodné/vhodný/AANS4----1A---- ,/,/Z:------------- “/""/Z:------------- tvrdil/tvrdit/VpMS----R-AAI-- svazový/svazový/AAMS1----1A---- šéf/šéf/NNMS1-----A---- Tomáš/Tomáš/NNMS1-----A---- Král/Král/NNMS1-----A---- ././Z:-------------";1;NMG: publicistika
6;V/v/RR--6---------- důsledku/důsledek/NNIS6-----A---- toho/ten/PDNS2----------;chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- mocným/mocný/AAMP3----1A---- pravděpodobně/pravděpodobně/Dg-------1A---- stejnou/stejný/AAFS4----1A---- úctu/úcta/NNFS4-----A----;"jako/jako/J,------------- ty/ty/PP-S1--2------- ,/,/Z:------------- jenže/jenže/J^------------- nejsem/být/VB-S---1P-NAI-- tak/tak/Db------------- upřímný/upřímný/AAMS1----1A---- jako/jako/J,------------- ty/ty/PP-S1--2------- ,/,/Z:------------- a/a/J^------------- většinou/většinou/Db------------- to/ten/PDNS4---------- nerad/rád/ACMS------N---- přiznávám/přiznávat/VB-S---1P-AAI-- ././Z:------------- ""/""/Z:-------------";1;FIC: beletrie
7;K/k/RR--3---------- jiným/jiný/AAIP3----1A---- státům/stát/NNIP3-----A----;chovám/chovat/VB-S---1P-AAI-- obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- úctu/úcta/NNFS4-----A----;,/,/Z:------------- uznání/uznání/NNNS4-----A---- ,/,/Z:------------- dokonce/dokonce/TT------------- i/i/J^------------- trochu/trochu/Db------------- náklonnosti/náklonnost/NNFS2-----A---- ,/,/Z:------------- ale/ale/J^------------- u/u/RR--2---------- Montany/Montana/NNFS2-----A---- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- láska/láska/NNFS1-----A---- a/a/J^------------- je/být/VB-S---3P-AAI-- obtížné/obtížný/AANS1----1A---- analyzovat/analyzovat/Vf--------A-I-- lásku/láska/NNFS4-----A---- ,/,/Z:------------- když/když/J,------------- je/být/VB-S---3P-AAI-- člověk/člověk/NNMS1-----A---- zamilován/zamilovat/VsMS------APP-- ././Z:-------------;1;FIC: beletrie
8;Nevylučuje/vylučovat/VB-S---3P-NAI-- ani/ani/J^------------- to/ten/PDNS4---------- ,/,/Z:------------- že/že/J,------------- děti/dítě/NNFP1-----A----;chovají/chovat/VB-P---3P-AAI-- lásku/láska/NNFS4-----A---- a/a/J^------------- úctu/úcta/NNFS4-----A---- ke/k/RV--3---------- svým/svůj/P8MP3---------- rodičům/rodič/NNMP3-----A---- ,/,/Z:------------- a/a/J^------------- –/-/Z:------------- nejdůležitější/důležitý/AAFS1----3A---- ze/z/RV--2---------- všeho/všechen/PLNS2---------- –/-/Z:------------- předpokládá/předpokládat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- rodiče/rodič/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI-- také/také/Db------------- úctu/úcta/NNFS4-----A----;ke/k/RV--3---------- svým/svůj/P8FP3---------- dětem/dítě/NNFP3-----A---- ././Z:-------------;0;NMG: publicistika
9;Morgan/Morgan/NNMS1-----A---- vyrozuměl/vyrozumět/VpMS----R-AAP-- z/z/RR--2---------- tónu/tón/NNIS2-----A---- Changova/Changův/AUIS2M--------- hlasu/hlas/NNIS2-----A---- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- při/při/RR--6---------- všech/všechen/PLFP6---------- potížích/potíž/NNFP6-----A---- ,/,/Z:------------- které/který/P4FP4---------- se/s/RV--7---------- svým/svůj/P8MS7---------- význačným/význačný/AAMS7----1A---- a/a/J^------------- nijak/nijak/Db------------- příjemným/příjemný/AAMS7----1A---- pasažérem/pasažér/NNMS7-----A---- má/můj/PSFS1-S1------1 ,/,/Z:-------------;chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- mimořádnou/mimořádný/AAFS4----1A---- úctu/úcta/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
10;Úctu/úcta/NNFS4-----A---- k/k/RR--3---------- partnerovi/partner/NNMS3-----A---- je/být/VB-S---3P-AAI-- tedy/tedy/TT------------- zapotřebí/zapotřebí/Db------------- neustále/neustále/Dg-------1A---- udržovat/udržovat/Vf--------A-I-- a/a/J^------------- je/být/VB-S---3P-AAI-- i/i/J^------------- nutné/nutný/AANS1----1A---- se/se/P7--4----------;chovat/chovat/Vf--------A-I-- tak/tak/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- on/on/PPMS1--3------- neztratil/ztratit/VpMS----R-NAP-- úctu/úcta/NNFS4-----A----;ke/k/RV--3---------- mně/já/PP-S3--1------- ././Z:-------------;0;NFC: oborová literatura
