id;left;kwic;right;VNP?;doc.txtype_group
1;LN/LN/BN------------- :/:/Z:------------- Když/když/J,------------- svůj/svůj/P8IS4----------;úmysl/úmysl/NNIS4-----A---- nekandidovat/kandidovat/Vf--------N-I-- oznamoval/oznamovat/VpMS----R-AAI-- ,/,/Z:------------- dodal/dodat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- jeho/jeho/PSNS4-S3------- rozhodnutí/rozhodnutí/NNNS4-----A---- mohl/moci/VpIS----R-AAI-- zviklat/zviklat/Vf--------A-P-- pouze/pouze/Db------------- neúspěch/neúspěch/NNIS1-----A---- ve/v/RV--6---------- volbách/volba/NNFP6-----A---- a/a/J^------------- skutečnost/skutečnost/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- ODS/ODS/BN------------- na/na/RR--6---------- kongresu/kongres/NNIS6-----A---1 chovala/chovat/VpFS----R-AAI--;tak/tak/Db------------- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- ztrácela/ztrácet/VpFS----R-AAI-- tvář/tvář/NNFS4-----A---- .../.../Z:-------------;0;NMG: publicistika
2;Vábnička/vábnička/NNFS1-----A---- byla/být/VpFS----R-AAI-- zatím/zatím/Db------------- přehlédnuta/přehlédnout/VsFS------APP-- ,/,/Z:------------- členy/člen/NNMP7-----A---- Evropského/evropský/AAIS2----1A---- parlamentu/parlament/NNIS2-----A---- dráždí/dráždit/VB-P---3P-AAI--;úmysl/úmysl/NNIS4-----A---- nominovaného/nominovaný/AAMS2----1A---- předsedy/předseda/NNMS2-----A---- Komise/komise/NNFS2-----A---- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- zčásti/zčásti/Db------------- jako/jako/J,------------- předseda/předseda/NNMS1-----A---- vlády/vláda/NNFS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- by/být/Vc----------I-- sám/sám/PLMS1---------- mohl/moci/VpMS----R-AAI-- odvolávat/odvolávat/Vf--------A-I-- ty/ten/PDMP4---------- členy/člen/NNMP4-----A---- svého/svůj/P8IS2---------- týmu/tým/NNIS2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- neosvědčí/osvědčit/VB-P---3P-NAP-- ././Z:-------------;0;NMG: publicistika
3;Vábnička/vábnička/NNFS1-----A---- byla/být/VpFS----R-AAI-- zatím/zatím/Db------------- přehlédnuta/přehlédnout/VsFS------APP-- ,/,/Z:------------- členy/člen/NNMP7-----A---- Evropského/evropský/AAIS2----1A---- parlamentu/parlament/NNIS2-----A---- dráždí/dráždit/VB-P---3P-AAI--;úmysl/úmysl/NNIS4-----A---- nominovaného/nominovaný/AAMS2----1A---- předsedy/předseda/NNMS2-----A---- Komise/komise/NNFS2-----A---- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- zčásti/zčásti/Db------------- jako/jako/J,------------- předseda/předseda/NNMS1-----A---- vlády/vláda/NNFS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- by/být/Vc----------I-- sám/sám/PLMS1---------- mohl/moci/VpMS----R-AAI-- odvolávat/odvolávat/Vf--------A-I-- ty/ten/PDMP4---------- členy/člen/NNMP4-----A---- svého/svůj/P8IS2---------- týmu/tým/NNIS2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- neosvědčí/osvědčit/VB-P---3P-NAP-- ././Z:-------------;0;NMG: publicistika
4;Pracovníci/pracovník/NNMP1-----A---- leteckého/letecký/AAIS2----1A---- provozu/provoz/NNIS2-----A---- už/už/Db------------- během/běh/NNIS7-----A---- odpoledně/odpoledně/Dg-------1A---- prohlásili/prohlásit/VpMP----R-AAP-- ,/,/Z:------------- že/že/J,------------- podle/podle/RR--2---------- jejich/jejich/PSNS2-P3------- zjištění/zjištění/NNNS2-----A---- nemá/mít/VB-S---3P-NAI-- teroristické/teroristický/AAIP4----1A----;úmysly/úmysl/NNIP4-----A---- a/a/J^------------- nechová/chovat/VB-S---3P-NAI--;se/se/P7--4---------- jako/jako/J,------------- terorista/terorista/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
5;Oči/oko/NNFP1-----A---- zúžené/zúžený/AAFP1----1A---- do/do/RR--2---------- štěrbin/štěrbina/NNFP2-----A---- svědčí/svědčit/VB-P---3P-AAI-- o/o/RR--6---------- někom/někdo/PZM-6---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- druhým/druhý/CrMP3---------- předem/předem/Db------------- podsouvá/podsouvat/VB-S---3P-AAI-- zlé/zlý/AAIP4----1A----;úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- chová/chovat/VB-S---3P-AAI--;nanejvýš/nanejvýš/Db------------- opatrně/opatrně/Dg-------1A---- a/a/J^------------- zdrženlivě/zdrženlivě/Dg-------1A---- ././Z:-------------;0;NFC: oborová literatura
6;Důležité/důležitý/AANS1----1A---- ale/ale/J^------------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- pro/pro/RR--4---------- popis/popis/NNIS4-----A---- systému/systém/NNIS2-----A---- je/být/VB-S---3P-AAI-- užitečné/užitečný/AAIP4----1A----;úmysly/úmysl/NNIP4-----A---- a/a/J^------------- zájmy/zájem/NNIP4-----A---- (/(/Z:------------- intencionalitu/intencionalita/NNFS4-----A---- )/)/Z:------------- jednajícím/jednající/AGFP3-----A---- stranám/strana/NNFP3-----A---- připisovat/připisovat/Vf--------A-I-- :/:/Z:------------- předpokládáme/předpokládat/VB-P---1P-AAI-- ,/,/Z:------------- že/že/J,------------- například/například/TT------------- evoluční/evoluční/AAIS1----1A---- proces/proces/NNIS1-----A---- preferoval/preferovat/VpIS----R-AAI-- organismy/organismus/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP1---------- se/se/P7--4---------- snaží/snažit/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--;v/v/RR--6---------- nějakém/nějaký/PZIS6---------- ohledu/ohled/NNIS6-----A---- pro/pro/RR--4---------- sebe/se/P6--4---------- optimálně/optimálně/Dg-------1A---- ,/,/Z:------------- ať/ať/J,------------- už/už/Db------------- o/o/RR--6---------- svých/svůj/P8IP6---------- záměrech/záměr/NNIP6-----A---- přemýšlejí/přemýšlet/VB-P---3P-AAI-- nebo/nebo/J^------------- ne/ne/TT------------- ././Z:-------------;0;NFC: oborová literatura
7;A/a/J^------------- taky/také/Db------------- podle/podle/RR--2---------- míry/míra/NNFS2-----A---- své/svůj/P8FS2---------1 vlastní/vlastní/AAFS2----1A---- podezíravosti/podezíravost/NNFS2-----A---- ,/,/Z:------------- a/a/J^------------- tohle/tenhle/PDNS1---------- byl/být/VpIS----R-AAI-- přímo/přímo/Dg-------1A---- ukázkový/ukázkový/AAIS1----1A---- případ/případ/NNIS1-----A---- :/:/Z:------------- místodržitel/místodržitel/NNMS1-----A---- připisoval/připisovat/VpMS----R-AAI-- Ježíšovi/Ježíš/NNMS3-----A---1;úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- v/v/RR--6---------- nejtajnějších/tajný/AAFP6----3A---- hlubinách/hlubina/NNFP6-----A---- duše/duše/NNFS2-----A---- sám/sám/PLMS1---------- choval/chovat/VpMS----R-AAI--;,/,/Z:------------- ač/ač/J,------------- nedoufal/doufat/VpMS----R-NAI-- v/v/RR--6---------- jejich/jejich/PSNS6-P3------- uskutečnění/uskutečnění/NNNS6-----A---- ././Z:-------------;3;FIC: beletrie
8;Není/být/VB-S---3P-NAI-- bohužel/bohužel/TT------------- směrodatné/směrodatný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- nám/my/PP-P3--1------- mnozí/mnohý/AAMP1----1A---- Íránci/Íránec/NNMP1-----A---- žádné/žádný/PWIP4---------- nepřátelské/přátelský/AAIP4----1N----;úmysly/úmysl/NNIP4-----A---- nechovají/chovat/VB-P---3P-NAI--;,/,/Z:------------- jak/jak/Db------------- nedávno/dávno/Dg-------1N---- řekl/říci/VpMS----R-AAP-- stínový/stínový/AAMS1----1A---- ministr/ministr/NNMS1-----A---- zahraničí/zahraničí/NNNS2-----A---- Lubomír/Lubomír/NNMS1-----A---- Zaorálek/Zaorálek/NNMS1-----A---- ././Z:-------------;1;NMG: publicistika
9;Lidé/člověk/NNMP1-----A---- se/se/P7--4---------- snaží/snažit/VB-P---3P-AAI-- skrýt/skrýt/Vf--------A-P-- svoje/svůj/P8IP4---------- záměry/záměr/NNIP4-----A---- ,/,/Z:-------------;úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- motivy/motiv/NNIP4-----A---- konání/konání/NNNS2-----A---- ,/,/Z:------------- často/často/Dg-------1A---- nemluví/mluvit/VB-P---3P-NAI-- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- co/co/PQ--4---------- si/se/P7--3---------- myslí/myslet/VB-P---3P-AAI-- ,/,/Z:------------- často/často/Dg-------1A---- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;v/v/RR--6---------- rozporu/rozpor/NNIS6-----A---- s/s/RR--7---------- hodnotami/hodnota/NNFP7-----A---- ,/,/Z:------------- které/který/P4FP4---------- uznávají/uznávat/VB-P---3P-AAI-- ,/,/Z:------------- nejsou/být/VB-P---3P-NAI-- si/se/P7--3---------- vědomi/vědomý/ACMP------A---- svých/svůj/P8IP2---------- pravých/pravý/AAIP2----1A---- motivů/motiv/NNIP2-----A---- anebo/anebo/J^------------- nemají/mít/VB-P---3P-NAI-- své/svůj/P8IP4---------1 záměry/záměr/NNIP4-----A---- vyjasněné/vyjasněný/AAIP4----1A---- ././Z:-------------;0;NFC: oborová literatura
10;Také/také/Db------------- nevíme/vědět/VB-P---1P-NAI-- ,/,/Z:------------- jaké/jaký/P4IP4----------;úmysly/úmysl/NNIP4-----A---- choval/chovat/VpMS----R-AAI--;se/s/RV--7---------- svým/svůj/P8MS7---------- vězněm/vězeň/NNMS7-----A---- markrabě/markrabě/NNMS1-----A---- ,/,/Z:------------- proč/proč/Db------------- otálel/otálet/VpMS----R-AAI-- s/s/RR--7---------- rozhodnutím/rozhodnutí/NNNS7-----A---- ,/,/Z:------------- co/co/PQ--4---------- dál/dál/Db------------- ././Z:-------------;0;NFC: oborová literatura
