id;left;kwic;right;VNP?;doc.txtype_group
1;Československý/československý/AAMS1----1A---- vyslanec/vyslanec/NNMS1-----A---- v/v/RR--6---------- Římě/Řím/NNIS6-----A---- Vlastimil/Vlastimil/NNMS1-----A---- Kybal/Kybal/NNMS1-----A---- dal/dát/VpMS----R-AAP-- 10/10/C=------------- ././Z0------------- listopadu/listopad/NNIS2-----A---- 1922/1922/C=------------- ,/,/Z:------------- po/po/RR--6---------- prvním/první/CrNS6---------- setkání/setkání/NNNS6-----A---- s/s/RR--7---------- Mussolinim/Mussolini/NNMS7-----A---- ,/,/Z:------------- do/do/RR--2---------- Prahy/Praha/NNFS2-----A---- vědět/vědět/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- ten/ten/PDMS1---------- při/při/RR--6---------- setkání/setkání/NNNS6-----A---- s/s/RR--7---------- uspokojením/uspokojení/NNNS7-----A---- hovořil/hovořit/VpMS----R-AAI-- o/o/RR--6---------- československo-italském/československo-italský/AANS6----1A---- přátelství/přátelství/NNNS6-----A---- a/a/J^------------- vyjádřil/vyjádřit/VpMS----R-AAP-- přání/přání/NNNS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- československý/československý/AAIS1----1A---- socialistický/socialistický/AAIS1----1A---- tisk/tisk/NNIS1-----A---- zmírnil/zmírnit/VpIS----R-AAP-- své/svůj/P8IP4---------1 výpady/výpad/NNIP4-----A---- proti/proti/RR--3---------- jeho/jeho/PSFS3-S3------- vládě/vláda/NNFS3-----A---- ,/,/Z:------------- neboť/neboť/J^------------- vůči/vůči/RR--3---------- Jugoslávii/Jugoslávie/NNFS3-----A----;nechová/chovat/VB-S---3P-NAI-- žádné/žádný/PWIP4---------- nepřátelské/přátelský/AAIP4----1N---- úmysly/úmysl/NNIP4-----A----;,/,/Z:------------- jak/jak/Db------------- to/ten/PDNS4---------- někteří/některý/PZMP1---------- tvrdili/tvrdit/VpMP----R-AAI-- ././Z:-------------;1;NFC: oborová literatura
2;Inger/Inger/NNFS1-----A---- (/(/Z:------------- strašně/strašně/Dg-------1A---- zlá/zlý/AAFS1----1A---- )/)/Z:-------------;nechová/chovat/VB-S---3P-NAI-- ani/ani/J^------------- ten/ten/PDIS4---------- nejmenší/malý/AAIS4----3A---- úmysl/úmysl/NNIS4-----A----;jít/jít/Vf--------A-I-- na/na/RR--4---------- návštěvu/návštěva/NNFS4-----A---- k/k/RR--3---------- mamince/maminka/NNFS3-----A---- ,/,/Z:------------- za/za/RR--7---------- kterou/který/P4FS7---------- se/se/P7--4---------- stydí/stydět/VB-S---3P-AAI-- ././Z:-------------;1;NFC: oborová literatura
3;Jižní/jižní/AAFS1----1A---- Korea/Korea/NNFS1-----A---- prý/prý/TT------------- vůči/vůči/RR--3---------- komunistickému/komunistický/AAIS3----1A---- severu/sever/NNIS3-----A----;chová/chovat/VB-S---3P-AAI-- nepřátelské/přátelský/AAIP4----1N---- úmysly/úmysl/NNIP4-----A----;././Z:-------------;1;NMG: publicistika
4;A/a/J^------------- jenom/jen/Db------------- vůči/vůči/RR--3---------- těm/ten/PDMP3---------- ,/,/Z:------------- kdo/kdo/PKM-1----------;chovají/chovat/VB-P---3P-AAI-- nekalé/nekalý/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----;,/,/Z:------------- je/být/VB-S---3P-AAI-- zde/zde/Db------------- institut/institut/NNIS1-----A---- kauce/kauce/NNFS2-----A---- či/či/J^------------- bankovní/bankovní/AAFS2----1A---- garance/garance/NNFS2-----A---- ve/v/RV--6---------- výši/výše/NNFS6-----A---- 20/20/C=------------- milionů/milion/CzIP2---------- korun/koruna/NNFP2-----A---- ,/,/Z:------------- která/který/P4FS1---------- omezí/omezit/VB-S---3P-AAP-- vznik/vznik/NNIS4-----A---- a/a/J^------------- zneužívání/zneužívání/NNNS4-----A---- účelově/účelově/Dg-------1A---- založených/založený/AAFP2----1A---- společností/společnost/NNFP2-----A---- ,/,/Z:------------- které/který/P4FP1---------- hrají/hrát/VB-P---3P-AAI-1 zásadní/zásadní/AAFS4----1A---- roli/role/NNFS4-----A---- ve/v/RV--6---------- všech/všechen/PLIP6---------- známých/známý/AAIP6----1A---- kriminálních/kriminální/AAIP6----1A---- deliktech/delikt/NNIP6-----A---- na/na/RR--6---------- trhu/trh/NNIS6-----A---- s/s/RR--7---------- pohonnými/pohonný/AAFP7----1A---- hmotami/hmota/NNFP7-----A---- v/v/RR--6---------- České/český/AAFS6----1A---- republice/republika/NNFS6-----A---- ././Z:-------------;1;NMG: publicistika
5;Příchozí/příchozí/AAMS1----1A---- ale/ale/J^-------------;nechoval/chovat/VpMS----R-NAI-- nepřátelské/přátelský/AAIP4----1N---- úmysly/úmysl/NNIP4-----A----;././Z:-------------;1;FIC: beletrie
6;Nemáme/mít/VB-P---1P-NAI-- žádné/žádný/PWNS4---------- svědectví/svědectví/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- Poutníci/poutník/NNMP1-----A---- byli/být/VpMP----R-AAI-- vůbec/vůbec/TT------------- schopni/schopný/ACMP------A----;chovat/chovat/Vf--------A-I-- dobré/dobrý/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----;vůči/vůči/RR--3---------- komukoli/kdokoli/PZM-3---------- ,/,/Z:------------- humanoidy/humanoid/NNMP4-----A---- nevyjímaje/vyjímat/VeMS------N-I-- ././Z:-------------;1;FIC: beletrie
7;A/a/J^-------------;choval/chovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- vznešený/vznešený/AAIS4----1A---- úmysl/úmysl/NNIS4-----A----;přečíst/přečíst/Vf--------A-P-- si/se/P7--3---------- ještě/ještě/Db------------- mnoho/mnoho/Ca--4---------- jiných/jiný/AAFP2----1A---- knih/kniha/NNFP2-----A---- ././Z:-------------;1;FIC: beletrie
8;Pokud/pokud/J,------------- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1-------;chová/chovat/VB-S---3P-AAI-- zdvořile/zdvořile/Dg-------1A---- někdo/někdo/PZM-1---------- cizí/cizí/AAMS1----1A---- v/v/RR--6---------- metru/metro/NNNS6-----A---- nebo/nebo/J^------------- na/na/RR--6---------- ulici/ulice/NNFS6-----A---- a/a/J^------------- nemá/mít/VB-S---3P-NAI-- přitom/přitom/Db------------- postranní/postranní/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----;",/,/Z:------------- líbí/líbit/VB-S---3P-AAI-- se/se/P7--4---------- mi/já/PH-S3--1------- to/ten/PDNS1---------- ,/,/Z:------------- “/""/Z:------------- vypráví/vyprávět/VB-S---3P-AAI-- ././Z:-------------";0;NMG: publicistika
9;Nezáleželo/záležet/VpNS----R-NAI-- to/ten/PDNS1---------- na/na/RR--6---------- něm/on/P5MS6--3------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3-------;choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- jaké/jaký/P4IP4---------- měl/mít/VpMS----R-AAI-- úmysly/úmysl/NNIP4-----A----;././Z:-------------;0;FIC: beletrie
10;Dovolte/dovolit/Vi-P---2--A-P-- mi/já/PH-S3--1------- otázku/otázka/NNFS4-----A---- kníže/kníže/NNMS1-----A---- :/:/Z:-------------;Chováte/chovat/VB-P---2P-AAI-- -/-/Z0------------- li/li/J,------------- takové/takový/PDIP4---------- úmysly/úmysl/NNIP4-----A----;",/,/Z:------------- na/na/RR--6---------- čem/co/PQ--6---------- tedy/tedy/TT------------- vlastně/vlastně/TT------------- hodláte/hodlat/VB-P---2P-AAI-- založit/založit/Vf--------A-P-- mé/můj/PSNS4-S1------1 štěstí/štěstí/NNNS4-----A---- ?/?/Z:------------- ""/""/Z:-------------";1;FIC: beletrie
